Player,Age,Born,Nation,Pos,Squad,Comp,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aaron Meijers,30.0,1987.0,NED,DF,ADO Den Haag,Eredivisie,31.0,31.0,2740.0,2.0,7.0,3.0,22.1,2.0,0.0,0.0,1243.0,1689.0,21343.0,9898.0,614.0,692.0,456.0,594.0,133.0,271.0,1.0,19.0,134.0,21.0,12.0,179.0,7.0,0.0,0.0,41.0,47.0,2.0,60.0,0.0,2.0,0.0,154.0,66.0,31.0,2056.0,141.0,609.0,1084.0,384.0,17.0,2056.0,36.0,18.0,18.0,801.0,5759.0,3295.0,62.0,23.0,7.0,29.0,19.0,1011.0,61.0,86.0,55.0,51.0,30.0,5.0,37.0,74.0,37.0,34.0,13.0,21.0,46.0,109.0,2.0
Abdenasser El Khayati,29.0,1989.0,NED,MF,ADO Den Haag,Eredivisie,33.0,33.0,2923.0,17.0,78.0,29.0,22.7,8.0,6.0,7.0,1004.0,1496.0,19296.0,6888.0,446.0,514.0,326.0,466.0,188.0,401.0,12.0,87.0,126.0,42.0,21.0,168.0,1.0,0.0,0.0,15.0,24.0,4.0,265.0,0.0,0.0,0.0,202.0,5.0,16.0,1774.0,14.0,208.0,862.0,740.0,75.0,1767.0,67.0,39.0,28.0,882.0,5664.0,2584.0,78.0,59.0,15.0,43.0,53.0,1094.0,166.0,32.0,17.0,8.0,19.0,5.0,8.0,35.0,27.0,17.0,1.0,16.0,11.0,19.0,2.0
Adam Maher,25.0,1993.0,NED,MF,AZ Alkmaar,Eredivisie,25.0,21.0,1987.0,1.0,25.0,7.0,28.0,6.0,0.0,0.0,1463.0,1842.0,30188.0,9317.0,528.0,606.0,613.0,706.0,282.0,426.0,4.0,42.0,222.0,32.0,5.0,214.0,5.0,0.0,0.0,48.0,53.0,2.0,87.0,0.0,0.0,0.0,246.0,45.0,66.0,2159.0,55.0,382.0,1381.0,439.0,10.0,2159.0,54.0,29.0,25.0,1317.0,9546.0,3999.0,71.0,52.0,8.0,37.0,29.0,1362.0,32.0,64.0,36.0,29.0,30.0,5.0,24.0,55.0,31.0,30.0,4.0,26.0,50.0,38.0,0.0
Adrián Dalmau,24.0,1994.0,ESP,FW,Heracles Almelo,Eredivisie,31.0,27.0,2383.0,19.0,65.0,37.0,11.0,0.0,0.0,0.0,283.0,431.0,3993.0,545.0,149.0,208.0,103.0,147.0,9.0,18.0,3.0,18.0,12.0,5.0,0.0,22.0,9.0,0.0,0.0,65.0,37.0,28.0,3.0,2.0,0.0,0.0,66.0,40.0,84.0,716.0,8.0,39.0,374.0,312.0,118.0,716.0,42.0,20.0,22.0,406.0,2586.0,906.0,31.0,20.0,20.0,89.0,46.0,491.0,120.0,20.0,6.0,3.0,8.0,9.0,6.0,29.0,23.0,17.0,2.0,15.0,6.0,5.0,0.0
Agim Zeka,19.0,1998.0,ALB,MF,Fortuna Sittard,Eredivisie,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,77.0,25.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,0.0,3.0,4.0,3.0,0.0,10.0,0.0,0.0,0.0,6.0,21.0,10.0,1.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
Ahmad Mendes Moreira,23.0,1995.0,GUI,FW,Groningen,Eredivisie,13.0,1.0,266.0,1.0,8.0,2.0,18.5,0.0,0.0,0.0,53.0,97.0,1017.0,399.0,22.0,31.0,20.0,39.0,9.0,19.0,2.0,4.0,4.0,3.0,3.0,7.0,1.0,0.0,0.0,4.0,3.0,1.0,18.0,0.0,0.0,0.0,14.0,5.0,8.0,142.0,3.0,19.0,38.0,87.0,13.0,142.0,12.0,3.0,9.0,80.0,601.0,254.0,11.0,8.0,3.0,11.0,3.0,95.0,34.0,7.0,2.0,4.0,2.0,1.0,2.0,6.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
Ahmed El Messaoudi,22.0,1995.0,MAR,MF,Fortuna Sittard,Eredivisie,29.0,22.0,1898.0,5.0,33.0,10.0,20.4,0.0,0.0,0.0,632.0,782.0,9710.0,3093.0,338.0,390.0,229.0,267.0,44.0,66.0,2.0,25.0,65.0,16.0,0.0,104.0,2.0,0.0,0.0,22.0,27.0,0.0,5.0,0.0,0.0,1.0,121.0,32.0,27.0,1077.0,47.0,252.0,573.0,271.0,34.0,1077.0,59.0,45.0,14.0,651.0,4134.0,2047.0,49.0,42.0,6.0,60.0,36.0,697.0,44.0,42.0,25.0,18.0,18.0,6.0,16.0,35.0,19.0,28.0,2.0,26.0,27.0,26.0,1.0
Ajdin Hrustic,22.0,1996.0,AUS,MF,Groningen,Eredivisie,18.0,10.0,1014.0,0.0,25.0,7.0,24.4,6.0,0.0,0.0,409.0,540.0,7482.0,2336.0,189.0,211.0,148.0,183.0,57.0,109.0,1.0,14.0,35.0,13.0,1.0,48.0,7.0,1.0,1.0,23.0,27.0,1.0,41.0,0.0,0.0,0.0,82.0,11.0,15.0,691.0,18.0,144.0,336.0,223.0,12.0,691.0,23.0,18.0,5.0,371.0,2029.0,858.0,25.0,20.0,8.0,24.0,26.0,398.0,40.0,26.0,17.0,11.0,12.0,3.0,14.0,31.0,17.0,16.0,1.0,15.0,6.0,14.0,0.0
Albert Guðmundsson,21.0,1997.0,ISL,FW,AZ Alkmaar,Eredivisie,25.0,14.0,1309.0,6.0,22.0,13.0,14.9,0.0,0.0,0.0,401.0,516.0,5808.0,1545.0,230.0,265.0,119.0,150.0,26.0,39.0,2.0,19.0,32.0,23.0,2.0,66.0,5.0,0.0,0.0,18.0,32.0,2.0,23.0,1.0,1.0,0.0,66.0,3.0,12.0,700.0,11.0,67.0,311.0,337.0,59.0,700.0,50.0,31.0,19.0,494.0,3404.0,1621.0,59.0,47.0,18.0,45.0,38.0,523.0,116.0,22.0,12.0,3.0,15.0,4.0,7.0,33.0,26.0,19.0,2.0,17.0,9.0,5.0,0.0
Alessandro Ciranni,22.0,1996.0,BEL,DF,Fortuna Sittard,Eredivisie,17.0,13.0,1337.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,585.0,832.0,10402.0,4544.0,295.0,341.0,196.0,275.0,82.0,186.0,1.0,6.0,54.0,22.0,9.0,65.0,2.0,0.0,0.0,12.0,17.0,0.0,59.0,0.0,0.0,0.0,74.0,4.0,10.0,1009.0,59.0,365.0,445.0,205.0,2.0,1009.0,10.0,4.0,6.0,449.0,2372.0,1588.0,35.0,31.0,0.0,6.0,5.0,521.0,42.0,48.0,34.0,30.0,15.0,3.0,26.0,47.0,21.0,31.0,11.0,20.0,16.0,52.0,0.0
