Player,Age,Born,Nation,Pos,Squad,Comp,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aaron Meijers,34.0,1987.0,NED,DF,Sparta R'dam,Eredivisie,13.0,1.0,294.0,0.0,1.0,1.0,22.0,0.0,0.0,0.0,179.0,233.0,3203.0,1226.0,84.0,91.0,78.0,96.0,16.0,35.0,0.0,4.0,13.0,3.0,2.0,12.0,0.0,0.0,0.0,4.0,7.0,0.0,15.0,0.0,0.0,0.0,32.0,6.0,4.0,268.0,13.0,87.0,110.0,72.0,2.0,268.0,6.0,2.0,1.0,142.0,810.0,342.0,9.0,7.0,0.0,1.0,2.0,151.0,18.0,12.0,7.0,4.0,5.0,3.0,9.0,19.0,10.0,2.0,0.0,2.0,4.0,8.0,0.0
Achraf Douiri,22.0,1999.0,NED,DF,Volendam,Eredivisie,9.0,5.0,382.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,121.0,167.0,2113.0,492.0,60.0,68.0,44.0,54.0,16.0,33.0,0.0,1.0,7.0,1.0,1.0,9.0,2.0,0.0,0.0,8.0,3.0,0.0,7.0,0.0,0.0,0.0,32.0,0.0,1.0,230.0,11.0,75.0,107.0,49.0,1.0,230.0,13.0,8.0,5.0,92.0,572.0,261.0,7.0,5.0,1.0,7.0,6.0,102.0,6.0,22.0,12.0,8.0,9.0,5.0,12.0,19.0,7.0,10.0,4.0,6.0,5.0,8.0,0.0
Adil Auassar,35.0,1986.0,NED,DF,Sparta R'dam,Eredivisie,29.0,22.0,1918.0,0.0,4.0,2.0,13.9,0.0,0.0,0.0,1010.0,1182.0,21747.0,8443.0,287.0,310.0,560.0,608.0,155.0,237.0,0.0,3.0,67.0,3.0,0.0,73.0,0.0,1.0,0.0,21.0,7.0,2.0,2.0,0.0,0.0,0.0,98.0,31.0,30.0,1428.0,275.0,815.0,601.0,21.0,12.0,1428.0,2.0,1.0,1.0,871.0,4664.0,2616.0,9.0,6.0,0.0,8.0,3.0,932.0,1.0,34.0,23.0,27.0,7.0,0.0,15.0,25.0,10.0,30.0,26.0,4.0,34.0,112.0,2.0
Adrian Fein,23.0,1999.0,GER,MF,Excelsior,Eredivisie,14.0,8.0,728.0,0.0,3.0,1.0,26.3,0.0,0.0,0.0,257.0,318.0,4253.0,1385.0,124.0,143.0,112.0,129.0,17.0,30.0,0.0,5.0,31.0,7.0,2.0,48.0,2.0,0.0,0.0,8.0,2.0,0.0,3.0,0.0,0.0,0.0,48.0,4.0,5.0,351.0,13.0,71.0,208.0,75.0,2.0,351.0,2.0,1.0,1.0,179.0,809.0,408.0,4.0,5.0,0.0,4.0,1.0,217.0,4.0,14.0,5.0,8.0,1.0,5.0,9.0,14.0,5.0,3.0,1.0,2.0,2.0,9.0,0.0
Ahmed El Messaoudi,26.0,1995.0,MAR,MF,Emmen,Eredivisie,25.0,16.0,1408.0,2.0,27.0,10.0,16.3,0.0,0.0,0.0,485.0,598.0,6967.0,2006.0,280.0,326.0,154.0,179.0,22.0,37.0,0.0,16.0,44.0,12.0,3.0,58.0,0.0,0.0,0.0,15.0,29.0,2.0,8.0,0.0,0.0,0.0,72.0,28.0,21.0,792.0,28.0,145.0,411.0,254.0,36.0,792.0,54.0,30.0,18.0,508.0,3033.0,1452.0,34.0,28.0,2.0,41.0,31.0,573.0,52.0,23.0,14.0,9.0,10.0,4.0,5.0,19.0,14.0,23.0,6.0,17.0,9.0,16.0,0.0
Aimar Sher,19.0,2002.0,SWE,MF,Groningen,Eredivisie,6.0,0.0,134.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,39.0,53.0,548.0,221.0,25.0,28.0,14.0,20.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,3.0,5.0,73.0,4.0,20.0,28.0,26.0,3.0,73.0,3.0,3.0,0.0,35.0,170.0,71.0,0.0,3.0,1.0,2.0,1.0,44.0,6.0,4.0,2.0,2.0,2.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0
Albert Lottin,20.0,2001.0,FRA,MF,Utrecht,Eredivisie,1.0,0.0,16.0,0.0,1.0,1.0,17.2,0.0,0.0,0.0,5.0,7.0,125.0,37.0,0.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,17.0,0.0,4.0,6.0,8.0,1.0,17.0,5.0,2.0,3.0,9.0,65.0,38.0,0.0,0.0,0.0,2.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
Alex Bangura,23.0,1999.0,SLE,DF,Cambuur,Eredivisie,29.0,28.0,2449.0,1.0,9.0,2.0,15.8,0.0,0.0,0.0,1005.0,1296.0,17414.0,5368.0,449.0,521.0,431.0,521.0,104.0,192.0,3.0,15.0,59.0,17.0,6.0,82.0,5.0,1.0,0.0,34.0,59.0,0.0,58.0,0.0,0.0,0.0,187.0,5.0,13.0,1531.0,80.0,547.0,667.0,346.0,39.0,1531.0,42.0,24.0,7.0,880.0,6198.0,3552.0,91.0,52.0,11.0,37.0,12.0,891.0,115.0,41.0,27.0,30.0,10.0,1.0,24.0,37.0,13.0,23.0,7.0,16.0,20.0,43.0,0.0
Alex Timossi Andersson,21.0,2001.0,SWE,FW,Heerenveen,Eredivisie,12.0,1.0,260.0,0.0,5.0,1.0,14.3,0.0,0.0,0.0,32.0,48.0,561.0,177.0,14.0,19.0,13.0,16.0,4.0,6.0,0.0,3.0,2.0,3.0,2.0,5.0,0.0,0.0,0.0,5.0,3.0,4.0,9.0,0.0,0.0,0.0,11.0,2.0,6.0,85.0,3.0,12.0,35.0,38.0,10.0,85.0,6.0,1.0,5.0,51.0,327.0,54.0,2.0,1.0,2.0,10.0,5.0,51.0,14.0,6.0,3.0,3.0,2.0,1.0,3.0,6.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0
Alfons Sampsted,24.0,1998.0,ISL,DF,Twente,Eredivisie,12.0,5.0,457.0,0.0,2.0,1.0,33.7,0.0,0.0,0.0,283.0,339.0,4656.0,1593.0,138.0,154.0,120.0,142.0,20.0,28.0,0.0,4.0,21.0,7.0,3.0,18.0,1.0,0.0,0.0,6.0,9.0,0.0,15.0,0.0,0.0,0.0,40.0,2.0,6.0,399.0,18.0,123.0,175.0,104.0,7.0,399.0,5.0,1.0,3.0,206.0,893.0,501.0,8.0,10.0,0.0,12.0,1.0,229.0,23.0,12.0,9.0,8.0,4.0,0.0,9.0,12.0,3.0,4.0,1.0,3.0,5.0,9.0,0.0
