Player,Age,Born,Nation,Pos,Squad,Comp,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aapo Halme,21.0,1998.0,FIN,DF,Barnsley,Championship,32.0,26.0,2292.0,4.0,19.0,7.0,13.6,0.0,0.0,0.0,606.0,941.0,11547.0,4833.0,229.0,338.0,293.0,398.0,70.0,158.0,0.0,7.0,56.0,3.0,0.0,64.0,9.0,0.0,0.0,48.0,30.0,2.0,0.0,0.0,1.0,0.0,142.0,141.0,106.0,1307.0,146.0,577.0,646.0,91.0,32.0,1307.0,10.0,5.0,5.0,461.0,2403.0,1261.0,9.0,8.0,0.0,39.0,9.0,482.0,8.0,46.0,28.0,20.0,23.0,3.0,20.0,43.0,23.0,31.0,11.0,20.0,40.0,110.0,1.0
Aaron Mooy,28.0,1990.0,AUS,MF,Huddersfield,Championship,1.0,1.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59.0,78.0,1024.0,350.0,28.0,31.0,21.0,24.0,7.0,14.0,0.0,2.0,8.0,3.0,1.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,11.0,1.0,0.0,89.0,0.0,10.0,46.0,34.0,0.0,89.0,0.0,0.0,0.0,48.0,279.0,113.0,2.0,4.0,1.0,1.0,3.0,57.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Aaron Rowe,18.0,2000.0,ENG,FW,Huddersfield,Championship,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,81.0,5.0,6.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,19.0,0.0,2.0,10.0,7.0,0.0,19.0,4.0,2.0,2.0,9.0,61.0,7.0,0.0,0.0,0.0,2.0,0.0,13.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Aboubakar Kamara,24.0,1995.0,MTN,FW,Fulham,Championship,25.0,8.0,919.0,4.0,25.0,11.0,18.1,0.0,0.0,0.0,286.0,391.0,4571.0,1148.0,148.0,189.0,103.0,133.0,22.0,34.0,4.0,24.0,12.0,23.0,9.0,31.0,2.0,0.0,0.0,17.0,10.0,2.0,28.0,0.0,0.0,0.0,41.0,18.0,13.0,534.0,11.0,60.0,174.0,307.0,56.0,534.0,42.0,27.0,15.0,315.0,2777.0,1240.0,44.0,26.0,24.0,39.0,19.0,377.0,121.0,15.0,8.0,8.0,4.0,3.0,5.0,23.0,18.0,8.0,0.0,8.0,2.0,12.0,0.0
Adam Armstrong,22.0,1997.0,ENG,FW,Blackburn,Championship,46.0,40.0,3471.0,16.0,101.0,45.0,19.7,4.0,2.0,2.0,752.0,1011.0,12176.0,2243.0,405.0,482.0,286.0,358.0,50.0,115.0,6.0,41.0,47.0,46.0,13.0,98.0,0.0,0.0,0.0,21.0,36.0,29.0,92.0,0.0,0.0,0.0,122.0,10.0,43.0,1422.0,11.0,117.0,548.0,774.0,152.0,1420.0,100.0,40.0,60.0,867.0,6349.0,2806.0,109.0,64.0,42.0,87.0,56.0,1053.0,281.0,25.0,8.0,5.0,12.0,8.0,7.0,27.0,20.0,23.0,2.0,21.0,16.0,8.0,0.0
Adam Clayton,30.0,1989.0,ENG,MF,Middlesbrough,Championship,27.0,21.0,1715.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,699.0,889.0,12670.0,4359.0,312.0,357.0,300.0,347.0,77.0,150.0,0.0,17.0,83.0,17.0,5.0,89.0,4.0,0.0,0.0,27.0,16.0,1.0,15.0,0.0,0.0,1.0,121.0,14.0,23.0,1044.0,57.0,241.0,695.0,123.0,3.0,1044.0,17.0,10.0,7.0,505.0,2033.0,908.0,8.0,13.0,2.0,14.0,3.0,596.0,7.0,30.0,18.0,16.0,13.0,1.0,15.0,48.0,33.0,14.0,4.0,10.0,20.0,41.0,3.0
Adam Forshaw,27.0,1991.0,ENG,MF,Leeds United,Championship,7.0,6.0,584.0,0.0,13.0,2.0,16.6,1.0,0.0,0.0,325.0,366.0,5368.0,1360.0,180.0,192.0,103.0,114.0,34.0,46.0,1.0,7.0,29.0,8.0,0.0,38.0,3.0,0.0,0.0,14.0,12.0,1.0,4.0,0.0,0.0,0.0,38.0,9.0,7.0,423.0,8.0,89.0,227.0,108.0,15.0,423.0,7.0,7.0,0.0,213.0,1098.0,494.0,6.0,8.0,0.0,7.0,9.0,328.0,26.0,8.0,5.0,3.0,3.0,2.0,1.0,17.0,16.0,3.0,0.0,3.0,1.0,9.0,0.0
Adam Matthews,27.0,1992.0,WAL,DF,Charlton Ath,Championship,29.0,28.0,2521.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,915.0,1255.0,16137.0,6459.0,436.0,503.0,361.0,483.0,105.0,211.0,1.0,18.0,69.0,32.0,15.0,94.0,4.0,0.0,0.0,14.0,5.0,1.0,84.0,0.0,0.0,0.0,156.0,29.0,35.0,1462.0,99.0,441.0,643.0,393.0,11.0,1462.0,24.0,13.0,11.0,617.0,3869.0,2374.0,50.0,38.0,2.0,9.0,7.0,679.0,79.0,40.0,23.0,29.0,10.0,1.0,22.0,38.0,16.0,18.0,7.0,11.0,23.0,76.0,0.0
Adam Reach,26.0,1993.0,ENG,MF,Sheffield Weds,Championship,37.0,26.0,2340.0,1.0,49.0,12.0,20.0,1.0,0.0,0.0,551.0,758.0,8951.0,2332.0,297.0,362.0,182.0,236.0,52.0,104.0,6.0,36.0,40.0,36.0,24.0,51.0,5.0,0.0,0.0,21.0,11.0,8.0,82.0,0.0,1.0,0.0,111.0,22.0,45.0,1020.0,27.0,152.0,444.0,441.0,63.0,1020.0,46.0,20.0,26.0,579.0,3853.0,1695.0,66.0,40.0,17.0,54.0,21.0,619.0,107.0,40.0,24.0,19.0,15.0,6.0,10.0,47.0,37.0,15.0,3.0,12.0,14.0,23.0,0.0
Adama Diakhaby,23.0,1996.0,FRA,FW,Nott'ham Forest,Championship,32.0,11.0,1220.0,0.0,26.0,3.0,22.9,2.0,0.0,0.0,257.0,356.0,3487.0,828.0,167.0,196.0,68.0,107.0,10.0,22.0,2.0,16.0,13.0,11.0,5.0,25.0,6.0,0.0,0.0,21.0,38.0,4.0,42.0,1.0,0.0,0.0,56.0,17.0,23.0,557.0,11.0,77.0,232.0,269.0,35.0,557.0,80.0,41.0,39.0,365.0,3158.0,1676.0,51.0,43.0,19.0,44.0,28.0,410.0,110.0,23.0,18.0,12.0,8.0,3.0,11.0,26.0,15.0,13.0,1.0,12.0,4.0,8.0,0.0
