Player,Age,Born,Nation,Pos,Squad,Comp,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aaron Meijers,33.0,1987.0,NED,DF,Sparta R'dam,Eredivisie,12.0,8.0,740.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,255.0,384.0,4428.0,1890.0,129.0,152.0,97.0,136.0,24.0,68.0,2.0,9.0,26.0,7.0,4.0,29.0,1.0,1.0,0.0,3.0,13.0,0.0,33.0,0.0,0.0,0.0,47.0,11.0,13.0,480.0,34.0,149.0,220.0,118.0,9.0,480.0,6.0,2.0,4.0,206.0,1128.0,523.0,17.0,9.0,2.0,13.0,5.0,235.0,37.0,21.0,15.0,12.0,6.0,3.0,12.0,21.0,9.0,7.0,1.0,6.0,4.0,31.0,0.0
Abdenasser El Khayati,32.0,1989.0,NED,MF,Willem II,Eredivisie,5.0,0.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,33.0,352.0,88.0,15.0,18.0,7.0,8.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,38.0,1.0,3.0,13.0,23.0,2.0,38.0,1.0,0.0,1.0,22.0,117.0,53.0,0.0,2.0,0.0,2.0,3.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdou Harroui,23.0,1998.0,NED,MF,Sparta R'dam,Eredivisie,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,52.0,849.0,113.0,14.0,15.0,25.0,28.0,3.0,6.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,62.0,0.0,11.0,44.0,8.0,0.0,62.0,5.0,4.0,1.0,43.0,218.0,77.0,2.0,0.0,0.0,2.0,1.0,45.0,1.0,5.0,3.0,2.0,2.0,1.0,3.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
Achraf El Bouchataoui,21.0,2000.0,NED,MF,RKC Waalwijk,Eredivisie,13.0,3.0,365.0,0.0,8.0,1.0,23.2,0.0,0.0,0.0,217.0,300.0,4255.0,1423.0,72.0,85.0,92.0,121.0,40.0,73.0,0.0,6.0,24.0,6.0,2.0,32.0,0.0,0.0,0.0,10.0,6.0,0.0,22.0,0.0,0.0,0.0,35.0,2.0,4.0,353.0,7.0,95.0,180.0,82.0,5.0,353.0,8.0,2.0,6.0,191.0,857.0,343.0,5.0,3.0,1.0,7.0,3.0,228.0,6.0,8.0,4.0,5.0,2.0,1.0,4.0,8.0,4.0,2.0,0.0,2.0,3.0,6.0,0.0
Achraf Madi,19.0,2002.0,NED,DF,Sparta R'dam,Eredivisie,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Maher,28.0,1993.0,NED,MF,Utrecht,Eredivisie,32.0,32.0,2754.0,1.0,21.0,4.0,26.5,5.0,0.0,0.0,1574.0,2130.0,31572.0,11718.0,580.0,670.0,689.0,822.0,271.0,540.0,3.0,67.0,204.0,31.0,11.0,235.0,10.0,0.0,0.0,51.0,42.0,1.0,216.0,0.0,0.0,0.0,317.0,62.0,54.0,2523.0,174.0,672.0,1396.0,488.0,2.0,2523.0,33.0,15.0,18.0,1201.0,6672.0,3150.0,42.0,34.0,0.0,48.0,37.0,1381.0,35.0,84.0,54.0,35.0,40.0,9.0,34.0,78.0,44.0,29.0,7.0,22.0,57.0,82.0,0.0
Adil Auassar,34.0,1986.0,NED,DF,Sparta R'dam,Eredivisie,32.0,31.0,2475.0,3.0,15.0,3.0,18.3,1.0,0.0,0.0,720.0,1062.0,14603.0,5809.0,233.0,297.0,365.0,460.0,107.0,237.0,1.0,10.0,64.0,9.0,1.0,74.0,7.0,0.0,0.0,27.0,10.0,2.0,7.0,0.0,1.0,0.0,143.0,69.0,55.0,1404.0,169.0,630.0,683.0,103.0,31.0,1404.0,17.0,10.0,7.0,663.0,3190.0,1428.0,8.0,6.0,1.0,27.0,17.0,718.0,12.0,45.0,26.0,25.0,19.0,1.0,18.0,43.0,25.0,32.0,20.0,12.0,47.0,113.0,0.0
Adrian Grbić,24.0,1996.0,AUT,FW,Vitesse,Eredivisie,14.0,9.0,754.0,0.0,19.0,5.0,17.9,2.0,0.0,0.0,77.0,141.0,1012.0,181.0,44.0,73.0,20.0,31.0,3.0,4.0,0.0,5.0,6.0,3.0,1.0,9.0,0.0,1.0,0.0,5.0,6.0,7.0,2.0,0.0,0.0,0.0,15.0,35.0,45.0,210.0,11.0,22.0,101.0,90.0,27.0,210.0,1.0,1.0,0.0,86.0,311.0,92.0,1.0,4.0,0.0,14.0,5.0,140.0,32.0,5.0,4.0,2.0,3.0,0.0,1.0,7.0,6.0,8.0,2.0,6.0,4.0,8.0,0.0
Adrian Szöke,23.0,1998.0,HUN,FW,Heracles Almelo,Eredivisie,10.0,1.0,144.0,0.0,2.0,1.0,21.1,0.0,0.0,0.0,18.0,27.0,231.0,42.0,9.0,13.0,5.0,6.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,40.0,0.0,5.0,22.0,14.0,2.0,40.0,2.0,0.0,2.0,14.0,103.0,12.0,0.0,1.0,0.0,6.0,3.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Adrián Dalmau,27.0,1994.0,ESP,FW,Sparta R'dam,Eredivisie,21.0,7.0,830.0,2.0,22.0,6.0,12.7,0.0,0.0,0.0,89.0,140.0,1232.0,177.0,49.0,76.0,30.0,43.0,3.0,4.0,0.0,11.0,1.0,2.0,0.0,11.0,1.0,0.0,0.0,23.0,21.0,11.0,3.0,0.0,0.0,0.0,22.0,19.0,29.0,242.0,7.0,19.0,104.0,120.0,40.0,242.0,5.0,1.0,4.0,131.0,440.0,125.0,4.0,3.0,3.0,34.0,13.0,185.0,49.0,3.0,1.0,0.0,2.0,1.0,2.0,10.0,8.0,8.0,1.0,7.0,1.0,4.0,0.0
Ahmed El Messaoudi,25.0,1995.0,MAR,FW,Groningen,Eredivisie,3.0,2.0,169.0,1.0,4.0,1.0,15.3,1.0,0.0,0.0,18.0,29.0,309.0,64.0,7.0,12.0,9.0,9.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,7.0,59.0,3.0,7.0,24.0,29.0,7.0,59.0,7.0,2.0,5.0,27.0,166.0,94.0,4.0,2.0,0.0,7.0,2.0,29.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0
Ahmed Touba,23.0,1998.0,ALG,DF,RKC Waalwijk,Eredivisie,28.0,28.0,2490.0,0.0,17.0,3.0,17.8,0.0,0.0,0.0,948.0,1201.0,18846.0,6960.0,298.0,357.0,530.0,601.0,109.0,194.0,1.0,7.0,67.0,8.0,1.0,93.0,7.0,0.0,0.0,28.0,11.0,1.0,6.0,0.0,4.0,0.0,215.0,68.0,32.0,1569.0,227.0,860.0,654.0,76.0,20.0,1569.0,21.0,14.0,7.0,901.0,4513.0,2390.0,16.0,25.0,1.0,27.0,8.0,843.0,5.0,51.0,31.0,34.0,15.0,2.0,20.0,36.0,16.0,50.0,28.0,22.0,59.0,113.0,1.0
