Player,Age,Born,Nation,Pos,Squad,Comp,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aapo Halme,23.0,1998.0,FIN,DF,Barnsley,Championship,5.0,2.0,204.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,67.0,99.0,1159.0,379.0,26.0,32.0,33.0,39.0,4.0,20.0,0.0,1.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,7.0,3.0,116.0,7.0,48.0,60.0,8.0,1.0,116.0,0.0,0.0,0.0,56.0,320.0,209.0,3.0,1.0,0.0,0.0,0.0,67.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,3.0,0.0,3.0,3.0,4.0,0.0
Aaron Connolly,21.0,2000.0,IRL,FW,Middlesbrough,Championship,19.0,13.0,1183.0,2.0,41.0,16.0,14.0,0.0,0.0,0.0,111.0,157.0,1728.0,333.0,54.0,74.0,41.0,52.0,9.0,13.0,0.0,7.0,12.0,4.0,0.0,19.0,2.0,0.0,0.0,17.0,33.0,7.0,1.0,0.0,0.0,0.0,39.0,9.0,61.0,304.0,0.0,4.0,117.0,187.0,62.0,304.0,17.0,9.0,8.0,209.0,1115.0,462.0,19.0,14.0,7.0,44.0,17.0,233.0,68.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,9.0,0.0,9.0,2.0,0.0,0.0
Aaron Leya Iseka,23.0,1997.0,BEL,FW,Barnsley,Championship,25.0,14.0,1287.0,3.0,19.0,7.0,18.3,0.0,0.0,0.0,277.0,383.0,3598.0,655.0,157.0,206.0,73.0,94.0,10.0,19.0,0.0,16.0,17.0,5.0,1.0,21.0,1.0,0.0,0.0,20.0,8.0,6.0,12.0,0.0,0.0,0.0,56.0,27.0,40.0,524.0,8.0,43.0,262.0,229.0,36.0,524.0,39.0,18.0,21.0,334.0,1896.0,727.0,22.0,24.0,10.0,46.0,38.0,418.0,92.0,6.0,2.0,0.0,6.0,0.0,3.0,6.0,3.0,5.0,0.0,5.0,5.0,7.0,0.0
Aaron Rowe,20.0,2000.0,ENG,DF,Huddersfield,Championship,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,52.0,26.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,4.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdallah Sima,20.0,2001.0,SEN,FW,Stoke City,Championship,2.0,1.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,160.0,7.0,9.0,10.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,26.0,1.0,2.0,10.0,14.0,2.0,26.0,2.0,1.0,1.0,16.0,89.0,36.0,3.0,2.0,0.0,3.0,2.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Aboubakar Kamara,26.0,1995.0,MTN,FW,Fulham,Championship,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,19.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Reach,28.0,1993.0,ENG,MF,West Brom,Championship,34.0,21.0,2008.0,2.0,22.0,6.0,21.0,0.0,0.0,0.0,780.0,1147.0,13243.0,5477.0,397.0,468.0,270.0,385.0,86.0,203.0,2.0,38.0,63.0,37.0,21.0,102.0,2.0,0.0,0.0,19.0,9.0,4.0,141.0,0.0,0.0,0.0,141.0,24.0,29.0,1328.0,27.0,291.0,551.0,504.0,30.0,1328.0,31.0,12.0,19.0,712.0,4324.0,2273.0,62.0,34.0,6.0,29.0,8.0,788.0,117.0,39.0,28.0,20.0,13.0,6.0,13.0,39.0,26.0,28.0,1.0,27.0,24.0,13.0,0.0
Adam Smith,30.0,1991.0,ENG,DF,Bournemouth,Championship,20.0,20.0,1711.0,0.0,6.0,2.0,19.7,0.0,0.0,0.0,940.0,1167.0,14518.0,5313.0,480.0,530.0,374.0,451.0,54.0,115.0,2.0,14.0,83.0,12.0,4.0,102.0,5.0,1.0,0.0,19.0,24.0,1.0,29.0,1.0,0.0,0.0,89.0,26.0,20.0,1345.0,43.0,459.0,632.0,268.0,24.0,1345.0,19.0,6.0,13.0,727.0,3948.0,2261.0,58.0,35.0,4.0,18.0,13.0,796.0,59.0,47.0,30.0,33.0,9.0,5.0,28.0,47.0,19.0,18.0,3.0,15.0,15.0,35.0,0.0
Aden Flint,32.0,1989.0,ENG,DF,Cardiff City,Championship,38.0,35.0,3270.0,6.0,50.0,17.0,10.1,0.0,0.0,0.0,877.0,1397.0,19982.0,9221.0,248.0,357.0,429.0,588.0,189.0,414.0,2.0,11.0,67.0,2.0,0.0,56.0,8.0,1.0,0.0,30.0,14.0,6.0,6.0,0.0,0.0,0.0,174.0,208.0,84.0,1798.0,254.0,1030.0,617.0,160.0,112.0,1798.0,4.0,1.0,3.0,707.0,3646.0,1591.0,5.0,3.0,2.0,10.0,1.0,786.0,15.0,36.0,21.0,28.0,8.0,0.0,17.0,33.0,16.0,39.0,28.0,11.0,67.0,168.0,1.0
Adlène Guedioura,35.0,1985.0,ALG,MF,Sheffield Utd,Championship,1.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,31.0,518.0,135.0,17.0,17.0,9.0,10.0,3.0,3.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,33.0,0.0,7.0,19.0,7.0,0.0,33.0,0.0,0.0,0.0,28.0,136.0,69.0,1.0,2.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
