Player,Age,Born,Nation,Pos,Squad,Comp,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Abdiel Arroyo,24,1993,PAN,FW,Santa Clara,Primeira Liga,5,0,80,0,1,0,0.0,0,0,0,11,14,132,0,9,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,22,1,2,10,10,2,22,1,0,1,9,23,4,0,0,0,3,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Abdoulay Diaby,27,1991,MLI,FW,Sporting CP,Primeira Liga,29,19,1726,2,37,10,13.4,0,0,0,435,563,6276,1345,241,300,145,170,23,41,3,13,33,14,2,57,3,0,0,40,25,8,25,2,0,0,68,16,31,740,5,72,310,367,79,740,36,21,15,500,2890,1398,59,24,19,37,40,593,174,26,15,9,12,5,3,24,21,14,0,14,11,10,0
Abdoulaye Diallo,22,1996,SEN,MF,Aves,Primeira Liga,3,0,27,0,1,0,0.0,0,0,0,3,5,56,23,1,1,2,2,0,2,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,6,0,0,3,3,2,6,0,0,0,6,27,11,0,0,0,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdul-Aziz Yakubu,19,1998,GHA,FW,Vitória,Primeira Liga,1,1,37,0,0,0,0.0,0,0,0,3,3,48,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,2,4,1,6,1,0,1,5,42,2,0,0,0,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdullahi Ibrahim Alhassan,21,1996,NGA,MF,Nacional,Primeira Liga,12,10,706,1,9,2,21.5,0,0,0,304,360,6326,1449,113,127,126,140,56,77,0,8,27,3,0,32,3,0,0,16,6,1,0,0,1,0,45,24,10,441,21,105,281,59,7,441,3,2,1,234,992,465,3,7,0,8,2,272,3,23,14,9,12,2,5,16,11,5,3,2,14,12,1
Ablaye Yare Faye,24,1994,SEN,MF,Aves,Primeira Liga,2,1,81,0,0,0,0.0,0,0,0,13,25,271,131,7,12,3,6,3,4,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,4,0,1,33,2,12,19,2,0,33,0,0,0,10,31,7,0,0,0,3,1,15,1,3,2,0,3,0,1,3,2,0,0,0,0,1,0
Adel Taarabt,29,1989,MAR,MF,Benfica,Primeira Liga,6,1,136,0,4,1,22.5,0,0,0,88,103,1588,470,37,42,36,41,12,15,0,3,13,1,1,19,1,0,0,3,0,0,3,0,0,0,9,2,1,120,1,15,69,36,1,120,1,1,0,60,374,243,8,2,1,4,0,78,8,4,1,2,2,0,2,3,1,1,0,1,1,2,0
Adrián López,30,1988,ESP,FW,Porto,Primeira Liga,11,3,306,1,11,4,15.7,2,0,0,113,151,1496,295,68,84,27,38,8,9,0,7,7,5,0,10,0,0,0,5,3,1,0,0,0,0,15,8,7,192,3,22,83,88,21,192,10,4,6,82,529,169,5,5,2,5,2,141,25,4,2,1,2,1,0,2,2,5,0,5,1,6,0
Afonso Brito,19,1999,POR,DF,Feirense,Primeira Liga,1,0,7,0,0,0,0.0,0,0,0,4,6,94,37,1,2,2,2,1,2,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,6,1,0,7,0,0,0,2,9,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Afonso Figueiredo,25,1993,POR,DF,Rio Ave,Primeira Liga,10,8,674,0,1,0,0.0,0,0,0,403,528,6377,2454,214,240,157,199,25,74,0,6,30,11,6,44,0,0,0,4,11,0,24,0,0,0,33,13,7,586,10,168,281,141,0,586,12,9,3,289,1555,907,19,17,0,8,8,355,33,14,13,8,6,0,2,7,5,8,2,6,7,15,0
Ailton,23,1995,BRA,DF,Braga,Primeira Liga,2,2,109,0,2,1,31.9,0,0,0,33,57,601,265,11,16,16,27,3,8,0,1,2,2,1,2,0,0,0,1,2,0,5,0,0,0,4,3,1,76,1,17,37,22,2,76,7,4,3,23,143,78,3,2,2,0,2,28,6,4,2,2,2,0,2,4,2,1,0,1,5,1,0
Alan Eduardo Schons,25,1993,BRA,MF,Moreirense,Primeira Liga,8,2,229,0,1,0,0.0,0,0,0,107,137,2059,693,44,52,37,47,22,31,0,5,10,2,0,16,2,0,0,5,2,0,15,0,0,0,14,4,2,151,2,29,82,41,1,151,1,1,0,77,265,106,1,3,0,4,4,100,4,3,3,0,0,3,0,1,1,1,0,1,1,3,0
Alberto Bueno,30,1988,ESP,FW,Boavista,Primeira Liga,15,10,891,2,10,3,24.9,4,0,0,256,364,5269,1471,106,127,88,109,55,103,4,20,27,5,0,45,1,0,0,11,29,0,28,0,1,0,54,9,18,442,12,73,258,123,10,442,16,8,8,234,1153,461,5,8,1,20,15,285,31,9,6,3,6,0,3,24,21,4,1,3,8,13,0
Aleksandar Paločević,24,1993,SRB,MF,Nacional,Primeira Liga,24,14,1445,1,25,6,22.8,1,0,0,479,679,9077,3240,191,238,209,267,70,143,2,23,60,7,0,99,2,0,0,13,37,1,67,0,0,0,105,12,19,818,18,133,472,233,16,818,21,14,7,456,3014,1357,36,20,3,18,33,493,42,21,15,5,12,4,4,22,18,21,4,17,21,10,0
Alex,26,1991,POR,MF,Vitória Setúbal,Primeira Liga,11,5,488,0,4,3,23.7,0,0,0,156,259,2705,1033,83,110,54,85,18,45,0,5,7,5,3,16,1,0,0,18,14,0,59,0,0,0,32,6,6,327,6,62,121,152,9,327,12,6,6,144,1087,563,19,9,0,9,5,171,51,17,13,9,6,2,5,9,4,14,1,13,3,7,0
Alex Telles,25,1992,BRA,DF,Porto,Primeira Liga,33,33,2917,4,29,9,26.7,13,3,3,1229,1798,22410,9806,551,632,477,675,172,410,7,86,89,47,28,135,4,0,0,38,21,2,346,0,0,0,136,63,40,2078,65,461,864,772,17,2075,27,15,12,757,4237,2007,78,37,3,33,11,927,179,37,23,23,10,4,16,30,14,22,7,15,61,67,0
Alexandre Guedes,24,1994,POR,FW,Vitória,Primeira Liga,29,25,2103,6,54,22,12.6,0,0,0,311,506,4142,624,192,289,82,139,15,21,3,22,15,8,2,32,2,0,0,24,30,21,6,1,1,0,38,108,159,712,22,39,326,347,91,712,25,10,15,340,1874,500,23,13,9,57,39,572,135,9,6,1,4,4,3,7,4,14,5,9,4,20,1
Alfa Semedo,20,1997,GNB,MF,Benfica,Primeira Liga,5,0,102,0,1,0,0.0,0,0,0,40,51,680,216,17,21,19,22,3,6,0,1,3,0,0,6,1,0,0,3,0,0,1,0,0,0,7,1,2,63,0,16,42,6,2,63,0,0,0,33,165,60,1,0,0,2,0,34,2,7,6,4,3,0,1,1,0,1,0,1,1,0,0
Alfredo Stephens,23,1994,PAN,FW,Santa Clara,Primeira Liga,16,10,906,0,16,3,14.3,0,0,0,121,170,1543,297,71,92,33,42,4,11,3,9,8,7,3,11,3,0,0,25,28,5,8,1,1,0,30,27,65,265,9,20,113,133,27,265,9,2,7,124,691,290,11,12,4,31,10,202,42,5,1,1,3,1,1,2,1,1,0,1,4,11,0
Alhassan Wakaso,26,1992,GHA,MF,Vitória,Primeira Liga,30,30,2616,2,27,6,23.1,0,0,0,1106,1283,21870,6142,371,418,569,625,149,196,0,8,77,2,0,86,12,1,1,75,46,0,5,0,0,0,154,66,60,1554,69,426,990,148,17,1554,9,7,2,781,3564,1281,8,11,0,31,18,975,7,74,59,35,37,2,31,59,28,36,11,25,43,47,0
Alhassane Keita,26,1992,GUI,FW,B-SAD,Primeira Liga,15,12,1085,3,26,7,12.4,0,0,0,163,248,2175,311,95,141,49,69,6,10,0,9,9,9,1,14,1,0,0,7,19,9,6,0,0,0,20,40,54,348,11,33,147,171,42,348,6,5,1,193,1031,437,21,15,5,32,27,288,64,2,2,1,1,0,0,1,1,7,1,6,5,10,0
Ali Ghazal,26,1992,EGY,MF,Feirense,Primeira Liga,11,10,831,0,2,0,0.0,0,0,0,221,278,3814,998,96,109,94,116,21,32,0,2,22,0,0,17,2,1,1,25,7,1,1,0,1,0,59,13,20,381,31,132,214,38,2,381,3,1,2,138,569,156,2,4,2,10,4,180,4,27,18,12,15,0,4,9,5,9,3,6,21,17,0
Allef,23,1994,BRA,FW,Vitória Setúbal,Primeira Liga,9,2,265,1,8,3,13.3,0,0,0,20,39,263,56,13,16,7,13,0,2,0,2,0,3,0,4,1,0,0,12,5,4,4,0,0,0,9,2,12,71,2,3,22,48,14,71,4,1,3,46,254,111,7,6,2,10,6,53,25,1,1,0,0,1,0,0,0,0,0,0,2,1,0
Aloísio Neto,20,1997,BRA,DF,Marítimo,Primeira Liga,2,1,168,0,0,0,0.0,0,0,0,52,66,1145,542,19,19,20,24,13,22,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,1,6,10,6,94,10,69,24,1,1,94,2,2,0,43,147,55,0,0,0,1,0,43,0,8,1,8,0,0,2,5,3,3,2,1,2,12,0
Amilton,28,1989,BRA,FW,Aves,Primeira Liga,15,13,1161,2,20,7,15.0,0,0,0,220,361,3657,1125,123,155,62,109,25,51,1,18,19,17,10,42,4,0,0,22,20,9,60,0,0,0,59,26,32,521,13,68,212,252,28,521,23,8,15,288,2264,1213,44,41,10,49,28,353,128,13,10,3,7,3,1,6,5,12,2,10,11,17,0
Anderson Carvalho,28,1990,BRA,MF,Santa Clara,Primeira Liga,16,15,1207,0,8,2,22.9,0,0,0,292,426,5413,1747,117,149,135,188,35,66,1,6,27,1,0,44,6,0,0,35,14,0,2,0,0,0,64,13,9,552,29,167,323,69,6,552,10,7,3,178,1157,498,9,9,0,9,13,243,9,45,36,24,21,0,14,30,16,13,2,11,18,26,0
Andreas Samaris,29,1989,GRE,MF,Benfica,Primeira Liga,19,17,1410,2,13,4,24.9,3,0,0,761,885,14705,4325,307,334,313,348,119,158,3,14,88,12,2,81,3,0,0,33,28,0,5,0,1,0,117,17,25,1032,45,259,662,122,11,1032,18,17,1,538,2539,1163,12,13,2,11,11,695,12,39,28,12,23,4,12,43,31,15,2,13,18,30,0
Andrija Živković,22,1996,SRB,FW,Benfica,Primeira Liga,16,6,667,0,12,4,21.0,0,0,0,275,410,4457,1556,144,173,95,133,24,70,3,17,28,20,4,47,1,0,0,19,7,3,62,0,0,0,35,0,6,483,2,44,198,247,22,483,18,12,6,283,1740,818,22,14,8,13,9,334,100,15,9,6,8,1,3,7,4,2,0,2,7,0,0
André Almeida,27,1990,POR,DF,Benfica,Primeira Liga,33,33,2914,2,22,5,15.9,0,0,0,1560,1998,24437,9639,838,958,568,700,99,209,11,38,84,44,23,139,6,0,0,51,37,4,109,0,0,0,138,101,47,2334,88,583,1099,667,68,2334,36,21,15,1070,5735,2877,59,45,6,41,33,1367,208,61,42,35,24,2,24,39,15,35,5,30,41,101,0
André Almeida Pinto,28,1989,POR,DF,Sporting CP,Primeira Liga,11,8,756,0,3,1,10.0,0,0,0,310,364,6681,2743,81,90,172,185,53,83,0,1,13,1,0,14,1,0,0,12,4,1,0,0,0,0,34,22,17,442,55,261,172,10,5,442,0,0,0,228,1018,524,2,1,0,0,0,273,1,9,6,7,2,0,5,8,3,12,10,2,16,31,0
André André,28,1989,POR,MF,Vitória,Primeira Liga,16,16,1338,6,16,8,21.6,0,5,5,497,584,7947,2440,271,306,170,192,37,48,1,14,63,10,1,94,5,0,0,26,31,1,4,0,0,0,69,10,16,692,15,85,433,181,39,687,20,15,5,364,1829,872,16,15,4,17,26,500,30,26,21,5,18,3,5,10,5,12,3,9,13,10,0
André Claro,27,1991,POR,MF,Boavista,Primeira Liga,16,8,598,1,13,7,16.1,0,0,0,132,198,1897,659,73,96,40,56,8,16,0,6,16,7,1,20,1,0,0,8,15,2,10,0,0,0,18,15,19,257,8,43,99,118,17,257,0,0,0,124,672,297,9,10,3,9,11,177,40,14,13,7,3,4,3,8,5,7,1,6,6,9,0
André Luis,24,1994,BRA,FW,Chaves,Primeira Liga,16,9,810,3,19,7,14.5,0,0,0,128,208,1663,271,87,127,31,54,5,8,2,9,15,3,0,13,1,1,0,18,11,2,4,0,0,0,20,49,49,284,12,26,137,126,30,284,5,3,2,131,619,173,3,7,2,16,16,216,50,6,5,0,5,1,2,6,4,8,1,7,4,11,0
