Player,Age,Born,Nation,Pos,Squad,Comp,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Abbas Ibrahim,23,1998,NGA,MF,Paços,Primeira Liga,10,1,181,0,2,0,0.0,0,0,0,84,94,1423,296,36,38,41,46,5,6,0,2,4,0,0,10,2,0,0,6,2,0,0,0,0,0,19,2,3,120,8,28,73,20,0,120,3,2,1,49,222,83,2,0,0,4,1,62,4,6,3,2,4,0,2,5,3,3,2,1,3,2,2
Abdoulaye Ba,30,1991,SEN,DF,Arouca,Primeira Liga,21,16,1433,0,8,2,39.7,1,0,0,647,787,14213,5550,178,196,341,367,122,210,0,3,28,2,0,35,4,0,0,18,5,1,0,0,0,2,115,36,14,946,119,575,360,13,10,946,4,3,1,527,2200,957,0,0,0,13,1,554,2,25,13,20,5,0,13,20,7,14,7,7,30,67,0
Abdu Conté,23,1998,POR,DF,Moreirense,Primeira Liga,16,16,1376,0,5,1,13.3,0,0,0,566,757,9309,4078,288,336,219,280,48,91,0,9,48,10,6,70,2,0,0,28,12,0,62,0,0,0,82,7,5,861,32,230,388,260,22,861,36,23,13,447,2547,1445,39,26,5,25,6,500,78,23,10,19,4,0,12,16,4,8,2,6,7,18,0
Abdul Mumin,23,1998,GHA,DF,Vitória,Primeira Liga,26,26,2224,0,9,1,9.6,0,0,0,1000,1186,21223,7526,279,315,568,623,148,231,0,4,71,0,0,70,11,2,2,25,18,0,3,0,1,0,113,35,30,1430,176,820,580,37,16,1430,15,8,7,836,3924,1831,8,4,1,18,3,946,8,34,25,20,13,1,17,24,7,23,17,6,34,100,1
Abdulwahab Ibrahim,22,1999,GHA,MF,Famalicão,Primeira Liga,1,0,1,0,0,0,0.0,0,0,0,2,3,54,34,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,0,1,0,3,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abel Camará,31,1990,GNB,FW,B-SAD,Primeira Liga,24,16,1560,5,47,18,14.6,0,0,0,203,313,2738,631,128,163,54,85,8,18,0,10,16,6,1,25,4,2,0,27,44,23,18,0,0,0,42,44,75,516,15,48,246,225,70,516,16,5,11,284,1243,410,18,9,3,61,9,392,79,18,12,7,8,3,7,20,13,15,5,10,8,10,0
Abel Ruiz,21,2000,ESP,FW,Braga,Primeira Liga,28,14,1384,2,19,5,15.9,0,0,0,275,349,3667,495,175,197,75,94,10,16,3,18,13,10,3,29,2,0,0,14,13,5,13,0,0,0,42,12,43,454,9,25,212,226,45,454,29,20,9,283,1694,751,33,11,11,37,16,353,95,2,0,0,1,1,2,12,10,7,2,5,3,5,0
Abraham Marcus,21,2000,NGA,FW,Portimonense,Primeira Liga,3,1,81,0,2,0,0.0,0,0,0,19,21,309,135,11,11,3,5,3,3,0,2,3,1,0,4,0,0,0,0,2,2,0,0,0,0,4,1,1,35,1,5,17,16,2,35,2,2,0,22,102,54,0,0,0,4,4,22,5,0,0,0,0,0,0,1,1,2,0,2,1,2,0
Achraf Lazaar,29,1992,MAR,DF,Portimonense,Primeira Liga,4,3,241,0,2,1,19.2,1,0,0,42,69,729,307,20,25,13,23,5,14,0,1,6,1,0,4,0,0,0,6,5,0,5,0,1,0,11,6,0,102,15,49,38,15,1,102,4,3,1,46,210,87,1,1,0,2,4,45,2,7,6,6,0,1,3,7,4,2,1,1,5,14,0
Adel Taarabt,32,1989,MAR,MF,Benfica,Primeira Liga,23,9,864,1,12,5,28.0,1,0,0,463,569,8107,2184,214,239,182,216,53,77,4,17,73,14,6,69,3,1,0,13,14,0,20,0,0,0,62,5,1,673,8,67,410,204,8,673,40,27,13,399,1974,992,27,10,1,17,8,499,29,16,10,9,5,2,13,25,12,12,3,9,7,4,0
Adewele Sapara,26,1995,NGA,MF,Portimonense,Primeira Liga,4,0,58,0,3,1,22.4,0,0,0,16,19,269,62,6,9,8,8,1,1,0,1,2,1,1,4,1,0,0,4,1,0,1,0,0,0,2,2,1,25,1,1,11,13,4,25,6,5,1,17,135,99,4,1,3,0,0,20,8,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Adrián Butzke,22,1999,ESP,FW,Paços,Primeira Liga,13,7,580,2,13,4,17.7,0,0,0,136,166,2143,250,74,87,45,50,11,14,1,7,9,4,0,12,3,0,0,11,9,2,2,0,0,0,9,19,18,222,8,14,126,83,22,222,8,4,4,120,650,165,4,5,1,18,8,181,34,1,1,0,1,0,1,2,1,0,0,0,1,7,0
