Player,Age,Born,Nation,Pos,Squad,Comp,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Sam Lammers,23.0,1997.0,NED,FW,PSV Eindhoven,Eredivisie,1.0,1.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,74.0,10.0,4.0,5.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,14.0,0.0,0.0,4.0,10.0,2.0,14.0,0.0,0.0,0.0,8.0,23.0,13.0,0.0,1.0,0.0,2.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Schreck,21.0,1999.0,GER,MF,Groningen,Eredivisie,13.0,2.0,328.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,114.0,151.0,2008.0,518.0,52.0,59.0,51.0,65.0,9.0,14.0,0.0,1.0,14.0,2.0,0.0,15.0,2.0,0.0,0.0,7.0,6.0,0.0,4.0,0.0,0.0,0.0,26.0,5.0,4.0,187.0,6.0,36.0,116.0,38.0,1.0,187.0,3.0,1.0,2.0,89.0,637.0,363.0,8.0,2.0,0.0,4.0,0.0,102.0,9.0,8.0,7.0,3.0,4.0,1.0,2.0,5.0,3.0,4.0,0.0,4.0,5.0,0.0,0.0
Samir Lagsir,17.0,2003.0,NED,FW,Zwolle,Eredivisie,4.0,0.0,35.0,1.0,1.0,1.0,16.4,0.0,0.0,0.0,8.0,10.0,106.0,25.0,5.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,0.0,2.0,9.0,3.0,1.0,13.0,0.0,0.0,0.0,6.0,16.0,7.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Samuel Moutoussamy,23.0,1996.0,COD,MF,Fortuna Sittard,Eredivisie,14.0,1.0,354.0,0.0,6.0,2.0,19.4,0.0,0.0,0.0,126.0,160.0,2194.0,658.0,51.0,65.0,61.0,69.0,10.0,16.0,0.0,2.0,11.0,3.0,2.0,20.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,22.0,3.0,4.0,207.0,9.0,44.0,115.0,50.0,7.0,207.0,9.0,4.0,5.0,93.0,441.0,211.0,1.0,3.0,0.0,8.0,1.0,130.0,11.0,5.0,2.0,1.0,2.0,2.0,2.0,9.0,7.0,5.0,1.0,4.0,2.0,3.0,0.0
Samy Bourard,24.0,1996.0,BEL,MF,ADO Den Haag,Eredivisie,17.0,10.0,924.0,3.0,19.0,5.0,22.4,0.0,0.0,0.0,191.0,265.0,3146.0,1019.0,93.0,107.0,78.0,103.0,14.0,26.0,1.0,7.0,20.0,6.0,2.0,27.0,3.0,0.0,0.0,21.0,23.0,0.0,12.0,0.0,0.0,0.0,54.0,7.0,18.0,396.0,13.0,65.0,209.0,128.0,15.0,396.0,30.0,20.0,10.0,218.0,1302.0,688.0,20.0,17.0,3.0,36.0,20.0,252.0,39.0,15.0,7.0,8.0,6.0,1.0,3.0,27.0,24.0,9.0,4.0,5.0,8.0,6.0,0.0
Sander van de Streek,27.0,1993.0,NED,MF,Utrecht,Eredivisie,32.0,27.0,2459.0,11.0,74.0,29.0,15.6,1.0,1.0,2.0,534.0,810.0,8531.0,2443.0,273.0,383.0,191.0,271.0,45.0,76.0,5.0,26.0,55.0,23.0,1.0,102.0,2.0,0.0,0.0,27.0,44.0,4.0,11.0,2.0,0.0,0.0,149.0,104.0,90.0,1157.0,37.0,169.0,603.0,400.0,112.0,1155.0,41.0,21.0,20.0,508.0,1904.0,860.0,21.0,25.0,5.0,59.0,39.0,714.0,122.0,53.0,30.0,20.0,27.0,6.0,16.0,55.0,39.0,37.0,5.0,32.0,22.0,27.0,0.0
Saïd Bakari,25.0,1994.0,COM,DF,RKC Waalwijk,Eredivisie,30.0,29.0,2622.0,1.0,10.0,4.0,18.1,0.0,0.0,0.0,1337.0,1780.0,22189.0,8888.0,660.0,771.0,525.0,653.0,111.0,235.0,1.0,25.0,97.0,29.0,9.0,133.0,1.0,0.0,0.0,22.0,12.0,1.0,101.0,0.0,0.0,0.0,229.0,24.0,26.0,2118.0,102.0,752.0,863.0,531.0,36.0,2118.0,70.0,40.0,30.0,1062.0,6137.0,3302.0,98.0,53.0,7.0,28.0,33.0,1111.0,129.0,79.0,43.0,51.0,24.0,4.0,45.0,90.0,45.0,37.0,8.0,29.0,71.0,64.0,3.0
Sean Klaiber,26.0,1994.0,SUR,DF,Ajax,Eredivisie,17.0,8.0,939.0,1.0,16.0,6.0,38.3,0.0,0.0,0.0,682.0,783.0,10444.0,3184.0,354.0,380.0,259.0,286.0,37.0,63.0,3.0,20.0,66.0,23.0,6.0,83.0,1.0,0.0,0.0,12.0,10.0,0.0,26.0,1.0,0.0,0.0,81.0,11.0,11.0,915.0,17.0,195.0,409.0,321.0,32.0,915.0,15.0,9.0,6.0,505.0,2629.0,1239.0,28.0,25.0,6.0,15.0,6.0,584.0,87.0,29.0,22.0,18.0,7.0,4.0,7.0,14.0,7.0,11.0,2.0,9.0,27.0,15.0,0.0
Sebastian Holmén,28.0,1992.0,SWE,DF,Willem II,Eredivisie,30.0,29.0,2564.0,3.0,15.0,6.0,10.6,0.0,0.0,0.0,1062.0,1336.0,25187.0,9328.0,212.0,255.0,612.0,697.0,233.0,358.0,1.0,6.0,64.0,3.0,0.0,71.0,5.0,0.0,0.0,27.0,15.0,1.0,1.0,0.0,0.0,0.0,159.0,74.0,37.0,1617.0,182.0,943.0,646.0,39.0,25.0,1617.0,4.0,4.0,0.0,819.0,3937.0,1984.0,10.0,6.0,0.0,2.0,2.0,920.0,4.0,30.0,15.0,15.0,15.0,0.0,13.0,25.0,12.0,44.0,33.0,11.0,57.0,115.0,1.0
Sebastian Polter,29.0,1991.0,GER,FW,Fortuna Sittard,Eredivisie,32.0,31.0,2634.0,9.0,41.0,15.0,11.5,0.0,1.0,1.0,403.0,704.0,4888.0,1092.0,271.0,408.0,81.0,168.0,14.0,28.0,4.0,28.0,29.0,9.0,1.0,48.0,1.0,1.0,0.0,90.0,51.0,10.0,8.0,1.0,0.0,1.0,79.0,155.0,147.0,1053.0,39.0,83.0,543.0,433.0,113.0,1052.0,13.0,7.0,6.0,500.0,1631.0,562.0,16.0,18.0,8.0,128.0,64.0,840.0,156.0,24.0,15.0,4.0,15.0,5.0,5.0,20.0,15.0,13.0,3.0,10.0,8.0,37.0,0.0
