Player,Age,Born,Nation,Pos,Squad,Comp,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Abbas Ibrahim,22,1998,NGA,MF,Paços,Primeira Liga,10,3,276,0,1,0,0.0,0,0,0,104,124,1884,372,44,52,45,47,13,21,0,4,6,1,0,9,1,1,0,4,8,1,3,0,0,0,31,2,3,162,2,42,90,33,0,162,3,2,1,92,594,216,4,2,0,10,4,98,7,7,4,4,2,1,4,8,4,5,1,4,3,3,0
Abdel Jalil Medioub,22,1997,ALG,DF,Tondela,Primeira Liga,16,12,1034,0,5,0,0.0,0,0,0,445,565,9129,3388,116,141,280,311,46,103,1,9,40,5,0,36,3,0,0,16,2,1,0,0,0,0,44,24,11,663,52,368,252,49,10,663,6,6,0,360,1579,915,3,8,0,9,4,450,7,11,6,6,5,0,6,9,3,12,5,7,21,36,0
Abdoulaye Ba,29,1991,SEN,DF,Moreirense,Primeira Liga,12,11,982,0,7,2,24.7,5,0,0,308,386,6469,2163,90,101,170,191,45,86,0,0,8,1,0,18,2,0,0,6,4,2,0,0,0,0,54,31,11,490,60,268,213,12,6,490,5,3,2,263,1063,490,0,2,1,8,0,272,0,17,9,13,4,0,7,14,7,11,6,5,15,40,0
Abdu Conté,22,1998,POR,DF,Moreirense,Primeira Liga,22,21,1842,0,9,1,23.4,0,0,0,826,1093,14123,5443,425,492,308,392,78,150,3,18,61,19,12,74,2,0,0,33,25,3,92,0,1,0,128,13,17,1259,44,380,547,360,17,1259,33,13,20,645,3600,1900,54,42,8,28,14,685,96,29,22,19,6,4,16,24,8,21,2,19,13,20,0
Abdul Mumin,22,1998,GHA,DF,Vitória,Primeira Liga,25,24,2025,0,5,0,0.0,0,0,0,946,1137,20315,6775,232,262,565,621,144,237,0,1,46,1,0,46,4,1,0,27,14,0,1,0,1,0,108,38,36,1326,128,727,580,26,14,1326,3,2,1,795,4091,2076,14,4,0,17,4,906,3,18,12,14,4,0,5,14,9,15,11,4,18,97,2
Abdullahi Ibrahim Alhassan,23,1996,NGA,MF,Nacional,Primeira Liga,21,12,1113,0,12,4,20.1,0,0,0,448,546,8053,2507,195,219,199,218,46,81,1,7,26,3,2,27,5,1,1,29,13,1,4,0,0,0,107,25,24,670,47,255,366,53,11,670,4,2,2,335,1414,511,4,1,1,10,3,378,3,24,15,15,9,0,9,35,26,19,7,12,29,23,1
Abdulwahab Ibrahim,21,1999,GHA,DF,Famalicão,Primeira Liga,1,0,45,0,0,0,0.0,0,0,0,11,16,189,78,5,7,4,4,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,12,7,3,0,22,1,0,1,5,18,10,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Abel Ruiz,20,2000,ESP,FW,Braga,Primeira Liga,25,16,1284,3,20,9,9.8,0,0,0,248,321,3239,408,158,185,68,88,7,11,3,15,9,9,1,26,1,0,0,19,22,6,9,0,0,0,31,15,23,425,12,21,187,223,63,425,24,14,10,236,1214,527,18,14,12,33,15,324,105,7,5,1,3,3,2,4,2,3,1,2,1,9,0
Abner,24,1996,BRA,DF,Farense,Primeira Liga,14,14,1223,0,0,0,0.0,0,0,0,342,536,6740,3189,126,155,163,244,51,111,1,1,27,5,1,34,4,0,0,23,30,0,19,0,0,0,61,14,21,662,42,238,304,125,3,662,5,2,3,264,1177,447,7,12,3,19,6,261,25,20,11,14,5,1,9,18,9,9,3,6,34,28,1
Abou Ouattara,20,1999,BFA,FW,Vitória,Primeira Liga,1,0,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,5,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
