Player,Age,Born,Nation,Pos,Squad,Comp,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aaron Tshibola,24,1995,COD,MF,Aves,Primeira Liga,4,2,128,0,2,0,0.0,0,0,0,65,74,1123,246,32,33,27,30,5,7,0,0,7,0,0,11,0,0,0,5,3,0,3,0,0,0,5,1,1,89,1,12,49,29,1,89,4,2,2,61,210,52,0,2,0,3,1,61,4,0,0,0,0,0,0,2,2,2,0,2,0,3,0
Abdoulay Diaby,28,1991,MLI,FW,Sporting CP,Primeira Liga,2,1,83,0,0,0,0.0,0,0,0,21,30,337,66,13,14,7,12,1,2,0,0,3,1,0,3,1,0,0,3,0,1,1,0,0,0,7,0,3,37,0,10,15,12,1,37,1,1,0,26,134,90,3,2,0,2,4,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdoulaye Diallo,23,1996,SEN,MF,Aves,Primeira Liga,3,0,51,0,1,0,0.0,0,0,0,9,10,190,37,6,7,1,1,2,2,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,1,2,3,16,0,1,6,9,4,16,4,3,1,17,88,31,2,2,0,3,3,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdu Conté,21,1998,POR,DF,Moreirense,Primeira Liga,23,22,1974,0,2,0,0.0,2,0,0,793,1034,14288,6886,363,417,331,420,89,150,3,15,79,9,6,72,5,0,0,43,16,3,41,0,2,0,111,14,10,1171,52,385,579,220,8,1171,23,16,7,640,2610,1466,38,17,7,12,9,618,59,36,23,25,8,3,16,27,11,8,3,5,18,44,0
Abel Ruiz,19,2000,ESP,FW,Braga,Primeira Liga,6,0,114,1,2,1,13.1,0,0,0,28,36,410,74,18,22,7,7,2,3,0,1,4,1,0,4,0,0,0,2,1,0,3,0,0,0,2,2,5,48,2,5,16,28,6,48,2,0,2,29,129,21,0,0,1,4,3,36,12,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Abou Ouattara,19,1999,BFA,FW,Vitória,Primeira Liga,10,2,278,1,13,6,18.7,0,0,0,49,70,819,186,23,34,16,21,6,8,0,0,3,3,1,5,2,0,0,18,13,1,6,0,0,0,11,6,4,117,0,5,45,68,16,117,8,6,2,83,503,230,9,2,6,8,3,92,31,4,2,0,4,0,0,4,4,7,0,7,2,0,0
Adam Dźwigała,23,1995,POL,DF,Aves,Primeira Liga,16,15,1312,0,3,0,0.0,0,0,0,361,499,7724,3884,105,132,193,225,60,132,1,3,27,0,0,35,4,0,0,13,5,0,0,0,0,0,50,24,24,651,96,386,259,12,5,651,2,2,0,217,1222,736,2,2,0,3,0,291,1,34,20,28,6,0,17,30,13,19,11,8,13,70,1
Adel Taarabt,30,1989,MAR,MF,Benfica,Primeira Liga,24,19,1672,1,20,6,25.5,0,0,0,912,1091,15965,4815,422,489,364,414,103,128,1,18,134,26,2,156,8,1,0,37,40,0,14,0,0,0,147,11,12,1278,20,159,857,280,16,1278,64,45,19,805,4575,2367,58,44,4,33,9,948,45,40,26,12,24,4,15,37,22,14,3,11,18,16,0
Aderlan Santos,30,1989,BRA,DF,Rio Ave,Primeira Liga,30,30,2666,0,24,7,13.2,1,0,0,1563,1741,34455,13358,358,404,916,963,274,349,0,2,55,2,0,52,7,0,0,32,13,2,0,0,0,0,156,77,53,2060,236,1213,820,35,28,2060,5,5,0,1210,5014,2206,4,2,0,5,1,1404,1,48,34,28,18,2,16,31,15,34,22,12,53,147,1
Adi Mehremić,27,1992,BIH,DF,Aves,Primeira Liga,8,8,702,1,3,2,20.8,0,0,0,175,256,4110,1811,50,63,88,109,37,81,0,2,18,1,0,10,2,0,0,10,10,0,1,0,3,1,34,22,11,354,54,218,133,7,3,354,3,2,1,165,1244,836,8,4,0,2,0,161,0,13,11,9,4,0,5,7,2,10,8,2,23,40,0
