Player,Age,Born,Nation,Pos,Squad,Comp,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aaron Cresswell,28.0,1989.0,ENG,DF,West Ham,Premier League,20.0,18.0,1589.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,848.0,1082.0,12647.0,5043.0,484.0,545.0,279.0,345.0,48.0,106.0,1.0,17.0,60.0,19.0,8.0,94.0,1.0,0.0,0.0,2.0,12.0,1.0,75.0,0.0,0.0,0.0,85.0,25.0,18.0,1279.0,71.0,309.0,642.0,335.0,29.0,1279.0,13.0,6.0,7.0,563.0,2544.0,1349.0,35.0,25.0,6.0,13.0,6.0,707.0,103.0,29.0,16.0,14.0,11.0,4.0,13.0,25.0,12.0,28.0,7.0,21.0,23.0,58.0,0.0
Aaron Lennon,31.0,1987.0,ENG,MF,Burnley,Premier League,16.0,14.0,1215.0,1.0,4.0,2.0,13.4,0.0,0.0,0.0,227.0,307.0,3224.0,613.0,136.0,167.0,75.0,92.0,9.0,16.0,1.0,7.0,10.0,6.0,3.0,18.0,1.0,0.0,0.0,12.0,16.0,0.0,23.0,0.0,1.0,0.0,44.0,1.0,12.0,431.0,22.0,75.0,201.0,159.0,21.0,431.0,15.0,7.0,8.0,201.0,1162.0,522.0,21.0,5.0,6.0,15.0,13.0,261.0,55.0,26.0,16.0,11.0,12.0,3.0,6.0,14.0,8.0,24.0,0.0,24.0,10.0,18.0,0.0
Aaron Leya Iseka,20.0,1997.0,BEL,FW,Toulouse,Ligue 1,28.0,15.0,1444.0,4.0,28.0,11.0,14.4,0.0,0.0,0.0,208.0,265.0,2491.0,446.0,143.0,155.0,44.0,62.0,4.0,9.0,0.0,10.0,15.0,5.0,0.0,20.0,2.0,1.0,0.0,23.0,14.0,7.0,2.0,0.0,0.0,0.0,25.0,31.0,47.0,402.0,17.0,30.0,180.0,195.0,49.0,402.0,20.0,7.0,12.0,244.0,1009.0,363.0,15.0,14.0,9.0,47.0,26.0,319.0,95.0,6.0,4.0,1.0,4.0,1.0,1.0,4.0,3.0,5.0,3.0,2.0,1.0,10.0,0.0
Aaron Mooy,27.0,1990.0,AUS,MF,Huddersfield,Premier League,29.0,25.0,2330.0,3.0,42.0,13.0,23.3,8.0,1.0,1.0,1073.0,1435.0,16856.0,5417.0,606.0,693.0,287.0,370.0,123.0,238.0,1.0,43.0,143.0,24.0,8.0,154.0,4.0,0.0,0.0,26.0,12.0,1.0,137.0,0.0,0.0,0.0,203.0,14.0,26.0,1697.0,28.0,207.0,893.0,627.0,31.0,1696.0,37.0,22.0,15.0,916.0,4656.0,2016.0,61.0,56.0,7.0,35.0,45.0,1082.0,94.0,62.0,42.0,19.0,27.0,16.0,21.0,52.0,31.0,43.0,7.0,36.0,14.0,22.0,0.0
Aaron Ramsey,27.0,1990.0,WAL,MF,Arsenal,Premier League,28.0,14.0,1331.0,4.0,33.0,13.0,17.2,0.0,0.0,0.0,652.0,807.0,9568.0,2275.0,368.0,419.0,192.0,226.0,43.0,59.0,6.0,25.0,51.0,16.0,4.0,88.0,0.0,0.0,0.0,21.0,20.0,4.0,15.0,0.0,0.0,0.0,89.0,13.0,20.0,972.0,9.0,113.0,488.0,379.0,72.0,972.0,23.0,12.0,11.0,574.0,3368.0,1688.0,47.0,42.0,6.0,35.0,27.0,768.0,133.0,34.0,18.0,11.0,15.0,8.0,7.0,25.0,18.0,7.0,1.0,6.0,9.0,3.0,0.0
Aaron Rowe,17.0,2000.0,ENG,FW,Huddersfield,Premier League,2.0,1.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,20.0,171.0,69.0,8.0,12.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,33.0,1.0,8.0,10.0,15.0,0.0,33.0,3.0,1.0,2.0,24.0,111.0,35.0,0.0,2.0,0.0,1.0,4.0,20.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Aaron Wan-Bissaka,20.0,1997.0,ENG,DF,Crystal Palace,Premier League,35.0,35.0,3134.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1146.0,1566.0,15705.0,7716.0,720.0,829.0,341.0,485.0,49.0,139.0,3.0,14.0,84.0,25.0,11.0,159.0,4.0,1.0,0.0,23.0,16.0,2.0,56.0,0.0,1.0,0.0,206.0,43.0,30.0,2143.0,164.0,827.0,837.0,501.0,27.0,2143.0,90.0,61.0,29.0,831.0,5737.0,3255.0,100.0,80.0,10.0,43.0,37.0,907.0,119.0,129.0,90.0,90.0,33.0,6.0,55.0,65.0,10.0,49.0,16.0,33.0,84.0,161.0,0.0
Aarón Martín,21.0,1997.0,ESP,DF,Mainz 05,Bundesliga,33.0,32.0,2878.0,0.0,18.0,5.0,23.6,2.0,0.0,0.0,1284.0,1739.0,20885.0,7229.0,714.0,787.0,439.0,590.0,110.0,278.0,3.0,63.0,74.0,38.0,23.0,106.0,3.0,0.0,0.0,29.0,28.0,6.0,235.0,1.0,0.0,0.0,166.0,23.0,36.0,2043.0,114.0,504.0,824.0,731.0,28.0,2043.0,56.0,45.0,11.0,976.0,6575.0,3864.0,115.0,85.0,11.0,22.0,23.0,1079.0,187.0,55.0,30.0,29.0,21.0,5.0,20.0,38.0,18.0,38.0,11.0,27.0,38.0,75.0,1.0
Abdallah N'dour,24.0,1993.0,SEN,DF,Strasbourg,Ligue 1,4.0,4.0,292.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,136.0,177.0,2556.0,858.0,57.0,66.0,59.0,71.0,18.0,31.0,0.0,2.0,5.0,2.0,2.0,5.0,0.0,0.0,0.0,3.0,4.0,0.0,11.0,0.0,0.0,0.0,18.0,3.0,2.0,212.0,16.0,87.0,101.0,25.0,0.0,212.0,1.0,0.0,1.0,122.0,558.0,298.0,7.0,4.0,0.0,4.0,2.0,122.0,10.0,6.0,4.0,3.0,3.0,0.0,4.0,9.0,5.0,4.0,2.0,2.0,5.0,8.0,0.0
Abdelhamid Sabiri,21.0,1996.0,MAR,FW,Huddersfield,Premier League,2.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,62.0,11.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,12.0,0.0,4.0,6.0,2.0,1.0,12.0,0.0,0.0,0.0,6.0,28.0,20.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
