Player,Age,Born,Nation,Pos,Squad,Comp,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aapo Halme,20.0,1998.0,FIN,DF,Leeds United,Championship,4.0,1.0,144.0,0.0,1.0,1.0,10.7,0.0,0.0,0.0,49.0,60.0,900.0,261.0,16.0,20.0,28.0,32.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,8.0,87.0,11.0,46.0,39.0,2.0,2.0,87.0,1.0,0.0,1.0,35.0,113.0,55.0,0.0,0.0,0.0,2.0,0.0,35.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,5.0,2.0,3.0,3.0,10.0,1.0
Achraf Lazaar,26.0,1992.0,MAR,DF,Sheffield Weds,Championship,4.0,3.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,130.0,1455.0,754.0,39.0,46.0,30.0,48.0,11.0,25.0,0.0,2.0,9.0,1.0,1.0,9.0,0.0,0.0,0.0,3.0,2.0,2.0,16.0,0.0,0.0,0.0,25.0,2.0,6.0,170.0,11.0,55.0,83.0,34.0,0.0,170.0,4.0,3.0,1.0,89.0,429.0,250.0,6.0,4.0,1.0,9.0,4.0,72.0,5.0,7.0,4.0,5.0,2.0,0.0,5.0,10.0,5.0,2.0,1.0,1.0,17.0,9.0,0.0
Adam Armstrong,21.0,1997.0,ENG,FW,Blackburn,Championship,44.0,31.0,2853.0,5.0,75.0,31.0,18.2,2.0,0.0,0.0,557.0,824.0,8757.0,2240.0,293.0,359.0,205.0,303.0,38.0,105.0,3.0,36.0,34.0,46.0,12.0,80.0,1.0,0.0,0.0,26.0,16.0,17.0,98.0,1.0,0.0,0.0,118.0,17.0,21.0,1184.0,14.0,143.0,364.0,695.0,121.0,1184.0,85.0,38.0,47.0,760.0,5809.0,2823.0,100.0,57.0,38.0,92.0,46.0,874.0,266.0,23.0,12.0,11.0,5.0,7.0,3.0,22.0,19.0,19.0,1.0,18.0,12.0,23.0,0.0
Adam Clayton,29.0,1989.0,ENG,MF,Middlesbrough,Championship,36.0,29.0,2490.0,0.0,3.0,1.0,24.1,0.0,0.0,0.0,1039.0,1272.0,20552.0,6539.0,406.0,444.0,439.0,510.0,175.0,270.0,0.0,22.0,105.0,20.0,7.0,122.0,11.0,0.0,0.0,46.0,39.0,0.0,16.0,0.0,0.0,0.0,216.0,19.0,22.0,1543.0,80.0,410.0,980.0,170.0,5.0,1543.0,28.0,17.0,11.0,772.0,3468.0,1628.0,20.0,13.0,0.0,24.0,21.0,839.0,15.0,65.0,38.0,30.0,31.0,4.0,21.0,51.0,30.0,39.0,13.0,26.0,48.0,50.0,1.0
Adam Forshaw,26.0,1991.0,ENG,MF,Leeds United,Championship,30.0,19.0,1892.0,0.0,26.0,9.0,26.7,0.0,0.0,0.0,1225.0,1397.0,21977.0,6757.0,561.0,625.0,476.0,521.0,151.0,193.0,0.0,28.0,139.0,18.0,6.0,182.0,3.0,0.0,0.0,24.0,41.0,1.0,13.0,0.0,0.0,0.0,150.0,35.0,29.0,1618.0,35.0,393.0,972.0,264.0,11.0,1618.0,27.0,19.0,8.0,853.0,5322.0,2898.0,44.0,31.0,5.0,23.0,24.0,1144.0,44.0,66.0,39.0,24.0,41.0,1.0,29.0,56.0,27.0,19.0,2.0,17.0,20.0,18.0,4.0
Adam O'Reilly,17.0,2001.0,IRL,MF,Preston,Championship,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,30.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,17.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Reach,25.0,1993.0,ENG,MF,Sheffield Weds,Championship,42.0,42.0,3670.0,8.0,81.0,22.0,22.9,1.0,0.0,0.0,1114.0,1499.0,17307.0,5021.0,591.0,696.0,374.0,484.0,85.0,173.0,7.0,72.0,80.0,63.0,26.0,119.0,2.0,0.0,0.0,35.0,23.0,5.0,144.0,0.0,0.0,0.0,197.0,57.0,51.0,1943.0,59.0,265.0,888.0,824.0,90.0,1943.0,84.0,39.0,45.0,1136.0,7563.0,3438.0,128.0,89.0,30.0,86.0,39.0,1281.0,227.0,44.0,29.0,16.0,19.0,9.0,18.0,59.0,41.0,44.0,6.0,38.0,24.0,50.0,0.0
Adam Webster,23.0,1995.0,ENG,DF,Bristol City,Championship,44.0,43.0,3744.0,3.0,29.0,7.0,12.1,0.0,0.0,0.0,1937.0,2616.0,40150.0,16649.0,662.0,804.0,954.0,1162.0,308.0,596.0,0.0,26.0,184.0,11.0,2.0,240.0,5.0,0.0,0.0,36.0,41.0,1.0,7.0,0.0,1.0,0.0,274.0,278.0,109.0,3115.0,268.0,1491.0,1441.0,218.0,76.0,3115.0,29.0,21.0,8.0,1498.0,11208.0,7688.0,86.0,45.0,4.0,18.0,17.0,1665.0,19.0,61.0,36.0,39.0,18.0,4.0,20.0,36.0,16.0,64.0,35.0,29.0,91.0,190.0,0.0
Adam le Fondre,31.0,1986.0,ENG,FW,Bolton,Championship,1.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,44.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,5.0,1.0,1.0,6.0,0.0,0.0,0.0,3.0,10.0,6.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Aden Flint,29.0,1989.0,ENG,DF,Middlesbrough,Championship,39.0,39.0,3453.0,1.0,49.0,5.0,9.7,0.0,0.0,0.0,836.0,1185.0,16327.0,7746.0,330.0,416.0,367.0,513.0,120.0,220.0,1.0,8.0,42.0,5.0,1.0,61.0,5.0,0.0,0.0,25.0,27.0,5.0,5.0,0.0,0.0,0.0,141.0,186.0,76.0,1620.0,227.0,903.0,587.0,140.0,94.0,1620.0,6.0,2.0,4.0,511.0,2037.0,875.0,2.0,2.0,1.0,11.0,1.0,665.0,25.0,36.0,24.0,23.0,13.0,0.0,18.0,33.0,15.0,43.0,36.0,7.0,26.0,230.0,1.0
