Player,Age,Born,Nation,Pos,Squad,Comp,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Clayton,23.0,1999.0,BRA,FW,Casa Pia,Primeira Liga,29.0,11.0,1184.0,4.0,41.0,16.0,17.0,0.0,0.0,0.0,163.0,222.0,2406.0,349.0,91.0,113.0,54.0,68.0,8.0,14.0,0.0,9.0,16.0,3.0,0.0,18.0,6.0,1.0,0.0,44.0,35.0,19.0,2.0,0.0,0.0,0.0,31.0,30.0,64.0,414.0,11.0,22.0,227.0,170.0,54.0,414.0,35.0,17.0,12.0,253.0,1228.0,364.0,15.0,13.0,6.0,67.0,25.0,345.0,76.0,11.0,5.0,1.0,8.0,2.0,5.0,15.0,10.0,3.0,0.0,3.0,4.0,10.0,0.0
Cláudio Winck,28.0,1994.0,BRA,DF,Marítimo,Primeira Liga,34.0,27.0,2421.0,6.0,37.0,5.0,22.7,1.0,4.0,4.0,907.0,1371.0,16352.0,8034.0,400.0,482.0,392.0,557.0,92.0,242.0,3.0,33.0,87.0,30.0,9.0,132.0,4.0,0.0,0.0,32.0,48.0,5.0,102.0,0.0,0.0,0.0,169.0,36.0,33.0,1715.0,67.0,447.0,773.0,527.0,60.0,1711.0,88.0,31.0,46.0,749.0,5079.0,2947.0,84.0,65.0,16.0,48.0,20.0,925.0,138.0,62.0,39.0,34.0,20.0,8.0,36.0,61.0,25.0,34.0,8.0,26.0,28.0,36.0,0.0
Clésio Baúque,27.0,1994.0,MOZ,MF,Marítimo,Primeira Liga,2.0,0.0,61.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,102.0,46.0,2.0,2.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,27.0,1.0,3.0,9.0,15.0,1.0,27.0,5.0,1.0,4.0,16.0,171.0,47.0,2.0,3.0,0.0,4.0,1.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Costinha,22.0,2000.0,POR,DF,Rio Ave,Primeira Liga,33.0,33.0,2797.0,3.0,26.0,15.0,17.3,0.0,0.0,0.0,1029.0,1465.0,17803.0,6448.0,484.0,575.0,440.0,592.0,88.0,213.0,3.0,24.0,76.0,27.0,20.0,106.0,5.0,0.0,0.0,49.0,52.0,6.0,124.0,0.0,2.0,0.0,182.0,49.0,56.0,1960.0,102.0,548.0,867.0,564.0,52.0,1960.0,79.0,23.0,41.0,845.0,5197.0,2564.0,74.0,64.0,7.0,60.0,42.0,946.0,201.0,106.0,63.0,49.0,49.0,8.0,60.0,102.0,42.0,76.0,16.0,60.0,40.0,81.0,0.0
Costinha,29.0,1992.0,POR,MF,Santa Clara,Primeira Liga,13.0,8.0,676.0,0.0,14.0,3.0,21.8,1.0,0.0,0.0,189.0,264.0,3233.0,1020.0,90.0,108.0,64.0,84.0,22.0,45.0,0.0,7.0,17.0,4.0,0.0,22.0,4.0,0.0,0.0,9.0,10.0,2.0,29.0,0.0,0.0,0.0,36.0,5.0,12.0,342.0,5.0,39.0,184.0,121.0,12.0,342.0,14.0,4.0,8.0,163.0,669.0,323.0,7.0,9.0,3.0,19.0,9.0,223.0,29.0,8.0,6.0,1.0,5.0,2.0,3.0,9.0,6.0,7.0,1.0,6.0,4.0,1.0,0.0
Cristian Borja,29.0,1993.0,COL,DF,Braga,Primeira Liga,14.0,8.0,680.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,345.0,436.0,5559.0,1957.0,170.0,195.0,145.0,172.0,21.0,40.0,0.0,9.0,35.0,9.0,4.0,35.0,1.0,0.0,0.0,10.0,12.0,0.0,24.0,0.0,0.0,0.0,36.0,6.0,11.0,520.0,30.0,142.0,255.0,129.0,7.0,520.0,12.0,9.0,2.0,243.0,1187.0,622.0,17.0,8.0,3.0,10.0,0.0,295.0,42.0,20.0,14.0,13.0,4.0,3.0,10.0,15.0,5.0,10.0,4.0,6.0,11.0,25.0,0.0
Cristian González,26.0,1996.0,URU,DF,Santa Clara,Primeira Liga,13.0,11.0,1055.0,1.0,10.0,3.0,12.7,0.0,0.0,0.0,347.0,413.0,7563.0,2626.0,89.0,98.0,197.0,214.0,57.0,91.0,0.0,1.0,11.0,0.0,0.0,11.0,6.0,1.0,1.0,18.0,9.0,0.0,0.0,0.0,1.0,0.0,65.0,17.0,17.0,562.0,99.0,379.0,163.0,25.0,14.0,562.0,3.0,1.0,1.0,259.0,1007.0,334.0,0.0,1.0,0.0,5.0,3.0,296.0,1.0,22.0,16.0,15.0,5.0,2.0,8.0,10.0,2.0,19.0,11.0,8.0,20.0,57.0,1.0
Cuca,31.0,1991.0,CPV,MF,Casa Pia,Primeira Liga,20.0,2.0,391.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,153.0,191.0,2502.0,980.0,73.0,88.0,63.0,76.0,12.0,17.0,0.0,1.0,22.0,0.0,0.0,29.0,4.0,0.0,0.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,55.0,5.0,7.0,249.0,9.0,72.0,144.0,36.0,1.0,249.0,5.0,3.0,1.0,105.0,412.0,206.0,3.0,5.0,1.0,6.0,3.0,138.0,5.0,9.0,8.0,3.0,4.0,2.0,6.0,12.0,6.0,6.0,0.0,6.0,7.0,7.0,0.0
Daniel Bandeira,22.0,2000.0,POR,MF,Vitória,Primeira Liga,30.0,17.0,1643.0,1.0,16.0,2.0,20.5,0.0,0.0,0.0,796.0,936.0,13168.0,3652.0,364.0,413.0,331.0,368.0,64.0,93.0,0.0,12.0,85.0,12.0,1.0,105.0,3.0,0.0,0.0,25.0,20.0,0.0,15.0,0.0,0.0,1.0,150.0,32.0,19.0,1124.0,45.0,276.0,676.0,188.0,11.0,1124.0,32.0,18.0,12.0,566.0,3119.0,1545.0,22.0,21.0,2.0,19.0,15.0,673.0,24.0,44.0,27.0,21.0,17.0,6.0,20.0,39.0,19.0,18.0,4.0,14.0,24.0,25.0,0.0
Danilo Veiga,19.0,2002.0,POR,DF,Gil Vicente FC,Primeira Liga,9.0,8.0,681.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,321.0,406.0,5591.0,1639.0,144.0,167.0,140.0,168.0,32.0,49.0,0.0,4.0,16.0,6.0,4.0,27.0,0.0,0.0,0.0,12.0,19.0,0.0,18.0,0.0,0.0,0.0,40.0,12.0,6.0,501.0,27.0,158.0,216.0,131.0,3.0,501.0,21.0,10.0,9.0,246.0,1430.0,807.0,20.0,21.0,1.0,13.0,4.0,277.0,37.0,24.0,14.0,12.0,10.0,2.0,11.0,13.0,2.0,5.0,1.0,4.0,14.0,20.0,0.0
Danny Loader,21.0,2000.0,ENG,FW,Porto,Primeira Liga,22.0,5.0,453.0,3.0,15.0,7.0,15.8,0.0,0.0,0.0,124.0,159.0,1717.0,330.0,74.0,85.0,35.0,44.0,6.0,11.0,2.0,12.0,11.0,6.0,2.0,18.0,2.0,0.0,0.0,21.0,9.0,2.0,10.0,0.0,0.0,0.0,29.0,11.0,17.0,225.0,4.0,20.0,92.0,114.0,27.0,225.0,22.0,10.0,12.0,136.0,846.0,434.0,17.0,9.0,5.0,13.0,5.0,164.0,36.0,8.0,6.0,4.0,2.0,2.0,2.0,6.0,4.0,4.0,0.0,4.0,2.0,4.0,0.0
Dario Essugo,17.0,2005.0,POR,MF,Sporting CP,Primeira Liga,4.0,3.0,200.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,90.0,104.0,1330.0,365.0,51.0,57.0,33.0,34.0,4.0,7.0,0.0,1.0,10.0,0.0,0.0,9.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,2.0,130.0,3.0,22.0,91.0,20.0,1.0,130.0,3.0,1.0,2.0,56.0,262.0,159.0,2.0,1.0,0.0,1.0,1.0,81.0,0.0,10.0,5.0,3.0,6.0,1.0,6.0,9.0,3.0,2.0,1.0,1.0,4.0,0.0,0.0
David Carmo,23.0,1999.0,POR,DF,Porto,Primeira Liga,9.0,7.0,636.0,0.0,4.0,1.0,7.6,0.0,0.0,0.0,344.0,417.0,7427.0,2557.0,94.0,100.0,197.0,216.0,53.0,91.0,0.0,0.0,27.0,1.0,0.0,18.0,1.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,16.0,7.0,478.0,64.0,279.0,186.0,13.0,9.0,478.0,0.0,0.0,0.0,337.0,1487.0,689.0,3.0,1.0,0.0,4.0,0.0,356.0,1.0,5.0,3.0,2.0,3.0,0.0,3.0,4.0,1.0,8.0,4.0,4.0,10.0,25.0,0.0
David Neres,25.0,1997.0,BRA,FW,Benfica,Primeira Liga,31.0,22.0,1959.0,6.0,50.0,19.0,17.8,1.0,0.0,0.0,861.0,1114.0,11910.0,2936.0,502.0,572.0,245.0,301.0,47.0,103.0,8.0,49.0,60.0,53.0,18.0,107.0,2.0,0.0,0.0,25.0,24.0,5.0,118.0,0.0,0.0,0.0,96.0,4.0,13.0,1370.0,2.0,52.0,472.0,864.0,122.0,1370.0,115.0,57.0,53.0,838.0,5354.0,2529.0,94.0,66.0,33.0,57.0,31.0,1091.0,211.0,21.0,8.0,5.0,10.0,6.0,10.0,27.0,17.0,11.0,0.0,11.0,3.0,1.0,0.0
David Pastor,22.0,2000.0,BRA,MF,Portimonense,Primeira Liga,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,81.0,62.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Simão,32.0,1990.0,POR,MF,Arouca,Primeira Liga,31.0,30.0,2580.0,0.0,16.0,3.0,29.0,0.0,0.0,0.0,1346.0,1656.0,25177.0,8758.0,564.0,631.0,558.0,649.0,183.0,299.0,4.0,32.0,136.0,15.0,4.0,139.0,7.0,0.0,0.0,48.0,34.0,0.0,79.0,0.0,1.0,0.0,185.0,15.0,11.0,1910.0,62.0,541.0,1091.0,298.0,4.0,1910.0,32.0,17.0,11.0,966.0,4081.0,1721.0,16.0,19.0,0.0,37.0,14.0,1313.0,36.0,55.0,31.0,28.0,21.0,6.0,29.0,64.0,35.0,35.0,15.0,20.0,29.0,26.0,0.0
David Tavares,23.0,1999.0,CPV,MF,Famalicão,Primeira Liga,5.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,22.0,215.0,86.0,10.0,14.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,29.0,0.0,13.0,13.0,3.0,0.0,29.0,1.0,1.0,0.0,12.0,52.0,26.0,1.0,0.0,0.0,1.0,2.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0
