Player,Age,Born,Nation,Pos,Squad,Comp,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aaron Bastiaans,17.0,2002.0,NED,FW,VVV-Venlo,Eredivisie,1.0,0.0,17.0,1.0,1.0,1.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,17.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Meijers,31.0,1987.0,NED,DF,ADO Den Haag,Eredivisie,26.0,23.0,2106.0,2.0,12.0,5.0,23.7,3.0,0.0,0.0,770.0,1157.0,13430.0,6069.0,351.0,408.0,323.0,449.0,74.0,210.0,2.0,17.0,74.0,14.0,10.0,89.0,5.0,0.0,0.0,42.0,43.0,2.0,120.0,2.0,1.0,0.0,121.0,42.0,35.0,1403.0,93.0,379.0,679.0,361.0,15.0,1403.0,27.0,18.0,9.0,508.0,3247.0,1750.0,41.0,36.0,4.0,32.0,21.0,718.0,73.0,60.0,40.0,28.0,25.0,7.0,29.0,55.0,26.0,31.0,10.0,21.0,26.0,47.0,1.0
Abdallah Aberkane,19.0,2000.0,NED,DF,Sparta R'dam,Eredivisie,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,39.0,20.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,15.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdou Harroui,21.0,1998.0,NED,MF,Sparta R'dam,Eredivisie,26.0,26.0,2140.0,4.0,49.0,18.0,20.4,0.0,0.0,0.0,522.0,731.0,9207.0,2513.0,239.0,298.0,223.0,292.0,52.0,94.0,8.0,28.0,59.0,20.0,8.0,90.0,2.0,0.0,0.0,46.0,30.0,2.0,52.0,1.0,0.0,0.0,173.0,38.0,44.0,1142.0,28.0,197.0,540.0,440.0,77.0,1142.0,118.0,62.0,56.0,636.0,4374.0,2054.0,76.0,48.0,20.0,79.0,50.0,671.0,151.0,79.0,49.0,31.0,38.0,10.0,21.0,53.0,32.0,42.0,6.0,36.0,19.0,17.0,0.0
Adam Maher,26.0,1993.0,NED,MF,Utrecht,Eredivisie,23.0,22.0,1923.0,3.0,36.0,9.0,25.3,5.0,1.0,1.0,1361.0,1695.0,27878.0,8482.0,449.0,498.0,654.0,752.0,225.0,362.0,5.0,37.0,185.0,25.0,3.0,208.0,4.0,0.0,0.0,30.0,40.0,0.0,100.0,0.0,0.0,0.0,176.0,26.0,21.0,1962.0,68.0,374.0,1219.0,398.0,9.0,1961.0,37.0,25.0,12.0,1221.0,7608.0,3488.0,52.0,36.0,4.0,29.0,23.0,1327.0,37.0,53.0,32.0,26.0,26.0,1.0,18.0,72.0,54.0,27.0,7.0,20.0,39.0,34.0,0.0
Adil Auassar,32.0,1986.0,NED,MF,Sparta R'dam,Eredivisie,23.0,23.0,1796.0,2.0,18.0,3.0,20.5,2.0,0.0,0.0,565.0,795.0,10853.0,4514.0,246.0,308.0,223.0,296.0,86.0,154.0,0.0,17.0,102.0,15.0,1.0,127.0,11.0,1.0,1.0,48.0,13.0,1.0,17.0,1.0,0.0,0.0,134.0,40.0,31.0,1043.0,60.0,247.0,642.0,167.0,23.0,1043.0,14.0,5.0,9.0,465.0,2480.0,1116.0,17.0,19.0,2.0,23.0,14.0,523.0,25.0,44.0,22.0,19.0,22.0,3.0,13.0,49.0,36.0,40.0,8.0,32.0,31.0,44.0,0.0
Adnan Ugur,18.0,2001.0,BEL,MF,Fortuna Sittard,Eredivisie,6.0,4.0,293.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,65.0,85.0,950.0,126.0,37.0,44.0,26.0,31.0,1.0,5.0,0.0,1.0,4.0,4.0,0.0,9.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,13.0,2.0,1.0,112.0,3.0,25.0,61.0,27.0,3.0,112.0,4.0,3.0,1.0,78.0,502.0,252.0,4.0,7.0,0.0,4.0,5.0,78.0,11.0,5.0,3.0,3.0,2.0,0.0,3.0,8.0,5.0,3.0,0.0,3.0,2.0,1.0,0.0
Adrian Szöke,21.0,1998.0,HUN,MF,Heracles Almelo,Eredivisie,10.0,1.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,42.0,259.0,45.0,16.0,26.0,5.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,2.0,0.0,0.0,0.0,5.0,8.0,6.0,55.0,1.0,8.0,27.0,20.0,2.0,55.0,1.0,0.0,1.0,22.0,185.0,54.0,1.0,2.0,0.0,1.0,4.0,36.0,7.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Adrián Dalmau,25.0,1994.0,ESP,FW,Utrecht,Eredivisie,7.0,4.0,418.0,4.0,15.0,8.0,11.0,0.0,0.0,0.0,34.0,53.0,430.0,98.0,23.0,31.0,7.0,11.0,1.0,4.0,0.0,3.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,13.0,5.0,8.0,107.0,5.0,9.0,45.0,55.0,34.0,107.0,3.0,1.0,2.0,62.0,326.0,95.0,5.0,4.0,5.0,15.0,10.0,74.0,21.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,1.0,5.0,0.0
Agim Zeka,20.0,1998.0,ALB,FW,Fortuna Sittard,Eredivisie,5.0,0.0,84.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,30.0,294.0,78.0,14.0,17.0,3.0,6.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,5.0,45.0,2.0,8.0,9.0,28.0,6.0,45.0,7.0,4.0,3.0,30.0,207.0,81.0,3.0,1.0,1.0,4.0,1.0,29.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
