Player,Age,Born,Nation,Pos,Squad,Comp,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aapo Halme,22.0,1998.0,FIN,MF,Barnsley,Championship,18.0,3.0,666.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,129.0,240.0,2018.0,1186.0,67.0,106.0,45.0,84.0,9.0,32.0,1.0,5.0,16.0,1.0,0.0,24.0,4.0,0.0,0.0,18.0,8.0,1.0,0.0,0.0,1.0,0.0,45.0,51.0,32.0,329.0,24.0,129.0,167.0,40.0,11.0,329.0,1.0,1.0,0.0,79.0,419.0,100.0,2.0,0.0,0.0,10.0,2.0,78.0,1.0,14.0,10.0,4.0,10.0,0.0,7.0,14.0,7.0,9.0,3.0,6.0,13.0,19.0,0.0
Aaron Pressley,19.0,2001.0,SCO,FW,Brentford,Championship,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Rowe,19.0,2000.0,ENG,DF,Huddersfield,Championship,20.0,10.0,987.0,1.0,13.0,6.0,19.5,0.0,0.0,0.0,247.0,336.0,3677.0,1143.0,141.0,162.0,86.0,114.0,12.0,35.0,1.0,7.0,11.0,6.0,1.0,25.0,1.0,0.0,0.0,22.0,13.0,2.0,23.0,1.0,0.0,0.0,52.0,5.0,16.0,477.0,25.0,121.0,183.0,180.0,23.0,477.0,34.0,17.0,17.0,264.0,2103.0,1074.0,38.0,11.0,11.0,30.0,13.0,263.0,57.0,14.0,10.0,6.0,4.0,4.0,7.0,10.0,3.0,21.0,3.0,18.0,10.0,12.0,0.0
Achraf Lazaar,28.0,1992.0,MAR,DF,Watford,Championship,5.0,2.0,224.0,0.0,4.0,2.0,24.6,0.0,0.0,0.0,83.0,134.0,1318.0,710.0,39.0,46.0,38.0,57.0,4.0,24.0,0.0,0.0,6.0,2.0,0.0,8.0,0.0,0.0,0.0,5.0,1.0,0.0,9.0,0.0,0.0,0.0,16.0,7.0,2.0,161.0,9.0,59.0,70.0,37.0,3.0,161.0,6.0,3.0,3.0,72.0,442.0,256.0,5.0,2.0,1.0,2.0,4.0,80.0,11.0,9.0,8.0,7.0,1.0,1.0,6.0,11.0,5.0,1.0,1.0,0.0,5.0,6.0,0.0
Adam Armstrong,23.0,1997.0,ENG,FW,Blackburn,Championship,40.0,40.0,3459.0,28.0,181.0,77.0,18.1,6.0,5.0,8.0,569.0,788.0,9084.0,1645.0,296.0,363.0,200.0,272.0,47.0,83.0,5.0,41.0,40.0,36.0,3.0,83.0,3.0,0.0,0.0,51.0,32.0,41.0,42.0,0.0,0.0,0.0,80.0,14.0,43.0,1253.0,0.0,43.0,441.0,793.0,236.0,1245.0,103.0,49.0,54.0,792.0,5132.0,2260.0,104.0,70.0,55.0,106.0,47.0,972.0,307.0,17.0,11.0,6.0,8.0,3.0,3.0,13.0,10.0,28.0,0.0,28.0,6.0,1.0,1.0
Adam Clayton,31.0,1989.0,ENG,MF,Birmingham City,Championship,14.0,10.0,873.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,329.0,438.0,6900.0,2099.0,101.0,124.0,153.0,177.0,66.0,113.0,0.0,3.0,33.0,2.0,0.0,35.0,5.0,1.0,1.0,23.0,9.0,0.0,5.0,0.0,1.0,0.0,64.0,10.0,7.0,522.0,32.0,137.0,330.0,57.0,1.0,522.0,7.0,3.0,4.0,250.0,1006.0,431.0,4.0,5.0,0.0,7.0,6.0,288.0,1.0,14.0,8.0,6.0,6.0,2.0,5.0,23.0,18.0,12.0,6.0,6.0,15.0,16.0,1.0
Adam Idah,19.0,2001.0,IRL,FW,Norwich City,Championship,17.0,1.0,340.0,3.0,13.0,8.0,16.0,0.0,0.0,0.0,56.0,94.0,780.0,203.0,33.0,46.0,13.0,21.0,4.0,9.0,1.0,6.0,6.0,1.0,1.0,6.0,3.0,1.0,0.0,9.0,2.0,5.0,7.0,0.0,1.0,0.0,21.0,4.0,16.0,161.0,6.0,26.0,56.0,86.0,28.0,161.0,16.0,10.0,6.0,99.0,610.0,229.0,8.0,6.0,4.0,22.0,6.0,109.0,37.0,4.0,4.0,1.0,2.0,1.0,2.0,5.0,3.0,1.0,0.0,1.0,1.0,6.0,0.0
Adam Masina,26.0,1994.0,MAR,DF,Watford,Championship,25.0,21.0,1927.0,2.0,10.0,3.0,18.0,3.0,0.0,0.0,915.0,1294.0,18137.0,7844.0,376.0,438.0,394.0,525.0,137.0,285.0,0.0,13.0,86.0,22.0,12.0,123.0,4.0,0.0,0.0,20.0,13.0,0.0,44.0,0.0,0.0,0.0,125.0,69.0,30.0,1543.0,82.0,597.0,735.0,223.0,19.0,1543.0,15.0,8.0,7.0,667.0,3315.0,1792.0,24.0,23.0,3.0,25.0,3.0,782.0,28.0,39.0,19.0,25.0,13.0,1.0,15.0,42.0,27.0,22.0,7.0,15.0,37.0,78.0,0.0
Adam Reach,27.0,1993.0,ENG,DF,Sheffield Weds,Championship,44.0,38.0,3455.0,5.0,55.0,17.0,21.3,0.0,0.0,0.0,1170.0,1692.0,18529.0,6915.0,677.0,777.0,339.0,473.0,112.0,296.0,3.0,37.0,82.0,50.0,29.0,111.0,2.0,0.0,0.0,19.0,22.0,4.0,168.0,0.0,0.0,0.0,250.0,25.0,30.0,2067.0,72.0,506.0,894.0,705.0,73.0,2067.0,69.0,32.0,37.0,1151.0,6002.0,2914.0,90.0,56.0,12.0,82.0,29.0,1282.0,186.0,43.0,29.0,28.0,12.0,3.0,18.0,55.0,37.0,37.0,2.0,35.0,39.0,50.0,0.0
Adam Smith,29.0,1991.0,ENG,DF,Bournemouth,Championship,41.0,38.0,3329.0,0.0,13.0,5.0,12.3,0.0,0.0,0.0,1504.0,1903.0,22699.0,7576.0,852.0,956.0,535.0,657.0,79.0,189.0,4.0,30.0,82.0,23.0,5.0,123.0,4.0,0.0,0.0,56.0,74.0,4.0,68.0,0.0,1.0,0.0,149.0,48.0,61.0,2240.0,60.0,674.0,966.0,619.0,70.0,2240.0,43.0,22.0,21.0,1192.0,7361.0,3524.0,91.0,65.0,11.0,58.0,29.0,1355.0,183.0,51.0,38.0,31.0,10.0,10.0,24.0,44.0,20.0,27.0,3.0,24.0,28.0,64.0,2.0
