Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Aaron Ramsey,29.0,1990.0,WAL,MF,Juventus,7.0,5.0,357.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,18.0,0.0,3235.0,761.0,77.0,86.0,78.0,93.0,21.0,30.0,6.0,17.0,6.0,0.0,0.0,6.0,2.0,1.0,5.0,0.0,0.0,0.0,29.0,5.0,2.0,252.0,7.0,45.0,140.0,80.0,18.0,249.0,3.0,5.0,3.0,0.0,174.0,800.0,352.0,15.0,2.0,4.0,6.0,3.0,236.0,200.0,26.0,4.0,3.0,1.0,1.0,2.0,5.0,49.0,19.0,19.0,19.0,11.0,1.0,0.0,0.0,1.0,3.0,4.0,0.0
Aaron Wan-Bissaka,22.0,1997.0,ENG,DF,Manchester,6.0,6.0,469.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3291.0,1314.0,117.0,128.0,89.0,107.0,9.0,20.0,4.0,10.0,1.0,0.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,43.0,3.0,5.0,327.0,26.0,123.0,138.0,80.0,7.0,286.0,3.0,4.0,3.0,0.0,175.0,806.0,394.0,18.0,6.0,1.0,5.0,2.0,185.0,177.0,4.0,8.0,9.0,6.0,0.0,4.0,1.0,62.0,14.0,26.0,26.0,10.0,22.0,3.0,0.0,19.0,10.0,12.0,0.0
Abdou Diallo,24.0,1996.0,SEN,DF,Paris,8.0,6.0,508.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3905.0,1663.0,118.0,129.0,96.0,113.0,18.0,34.0,2.0,7.0,1.0,0.0,0.0,10.0,2.0,0.0,6.0,0.0,1.0,0.0,48.0,10.0,5.0,346.0,48.0,184.0,134.0,41.0,2.0,314.0,14.0,16.0,14.0,0.0,223.0,853.0,401.0,13.0,2.0,0.0,5.0,3.0,214.0,205.0,1.0,11.0,11.0,4.0,2.0,9.0,8.0,77.0,24.0,42.0,27.0,8.0,11.0,3.0,0.0,8.0,6.0,22.0,0.0
Abraham Frimpong,27.0,1993.0,GHA,DF,Ferencváros,2.0,2.0,180.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1989.0,378.0,17.0,20.0,49.0,51.0,18.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,1.0,113.0,16.0,79.0,39.0,0.0,0.0,110.0,2.0,2.0,2.0,1.0,70.0,371.0,135.0,0.0,0.0,0.0,1.0,1.0,77.0,73.0,0.0,4.0,5.0,1.0,0.0,0.0,3.0,21.0,10.0,18.0,3.0,0.0,7.0,2.0,0.0,5.0,1.0,5.0,0.0
Achraf Hakimi,21.0,1998.0,MAR,DF,Inter,5.0,4.0,358.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,12.8,0.0,2645.0,668.0,78.0,92.0,65.0,71.0,12.0,24.0,3.0,2.0,5.0,3.0,0.0,3.0,5.0,2.0,13.0,0.0,0.0,1.0,31.0,4.0,5.0,237.0,4.0,31.0,97.0,129.0,12.0,196.0,5.0,9.0,6.0,1.0,146.0,718.0,442.0,21.0,8.0,4.0,6.0,6.0,192.0,138.0,26.0,6.0,2.0,5.0,2.0,3.0,10.0,70.0,17.0,16.0,28.0,26.0,7.0,2.0,0.0,5.0,4.0,3.0,1.0
Adam Marušić,27.0,1992.0,MNE,DF,Lazio,8.0,8.0,720.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,16.0,0.0,4192.0,1469.0,133.0,151.0,86.0,97.0,27.0,35.0,9.0,11.0,4.0,3.0,0.0,5.0,12.0,1.0,7.0,0.0,0.0,0.0,55.0,12.0,7.0,355.0,30.0,146.0,141.0,93.0,9.0,313.0,7.0,10.0,7.0,1.0,202.0,1104.0,516.0,26.0,6.0,2.0,5.0,5.0,233.0,198.0,21.0,8.0,8.0,4.0,0.0,5.0,4.0,60.0,18.0,37.0,17.0,6.0,11.0,0.0,0.0,11.0,13.0,17.0,0.0
Adnan Kovačević,26.0,1993.0,BIH,DF,Ferencváros,2.0,2.0,175.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2559.0,816.0,29.0,34.0,76.0,79.0,15.0,24.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,14.0,1.0,0.0,158.0,25.0,85.0,84.0,2.0,1.0,157.0,0.0,0.0,0.0,0.0,107.0,629.0,353.0,2.0,0.0,0.0,0.0,2.0,124.0,124.0,1.0,3.0,5.0,0.0,1.0,3.0,2.0,18.0,5.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,9.0,0.0
Adrien Hunou,26.0,1994.0,FRA,FW,Rennes,3.0,1.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,16.8,0.0,210.0,35.0,7.0,7.0,4.0,6.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,31.0,0.0,4.0,13.0,15.0,5.0,30.0,0.0,0.0,0.0,0.0,14.0,80.0,32.0,1.0,0.0,0.0,3.0,2.0,55.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Adrien Rabiot,25.0,1995.0,FRA,MF,Juventus,7.0,5.0,500.0,1.0,1.0,0.0,0.0,2.0,0.0,7.0,4.0,22.8,0.0,5840.0,1299.0,122.0,130.0,140.0,153.0,39.0,46.0,7.0,31.0,6.0,1.0,0.0,13.0,8.0,0.0,4.0,0.0,0.0,0.0,56.0,15.0,3.0,407.0,16.0,82.0,260.0,100.0,11.0,395.0,3.0,6.0,3.0,0.0,291.0,2060.0,924.0,39.0,12.0,2.0,5.0,0.0,306.0,284.0,17.0,11.0,5.0,11.0,3.0,5.0,10.0,105.0,30.0,30.0,54.0,21.0,7.0,0.0,0.0,7.0,10.0,8.0,0.0
Adrien Truffert,18.0,2001.0,FRA,DF,Rennes,5.0,2.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,22.3,0.0,2604.0,779.0,66.0,73.0,72.0,88.0,9.0,18.0,2.0,8.0,4.0,2.0,0.0,3.0,1.0,0.0,9.0,0.0,0.0,0.0,37.0,3.0,4.0,217.0,6.0,59.0,104.0,69.0,2.0,194.0,5.0,6.0,5.0,0.0,133.0,786.0,372.0,22.0,11.0,0.0,1.0,2.0,147.0,133.0,5.0,5.0,6.0,1.0,2.0,2.0,4.0,34.0,15.0,11.0,15.0,8.0,4.0,1.0,0.0,3.0,2.0,6.0,0.0
