Player,Age,Born,Pos,Nation,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Aaron Mooy,27.0,1990.0,MF,Australia,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,28.4,1.0,3062,775,75,85,68,74,20,40,11,10,2,0,0.0,4.0,1.0,0.0,10.0,0.0,0.0,0.0,32.0,1.0,1.0,229.0,7.0,50.0,126.0,70.0,0.0,206.0,1.0,1.0,1.0,0.0,136.0,796.0,322.0,12.0,4.0,0.0,1.0,2.0,159.0,149.0,1.0,3.0,3.0,0.0,2.0,1.0,5.0,49.0,15.0,22.0,23.0,4.0,6.0,1.0,0.0,5.0,3.0,7.0,0.0
Abdallah Said,32.0,1985.0,MF,Egypt,3.0,3.0,224.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,22.8,0.0,1935,582,58,69,43,53,9,19,5,13,6,0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,17.0,2.0,5.0,161.0,1.0,23.0,78.0,70.0,1.0,152.0,0.0,0.0,0.0,0.0,88.0,542.0,310.0,10.0,8.0,0.0,5.0,1.0,166.0,122.0,14.0,3.0,2.0,1.0,0.0,2.0,5.0,64.0,12.0,16.0,32.0,16.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0
Abdiel Arroyo,24.0,1993.0,FW,Panama,2.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86,26,2,2,2,2,1,2,2,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,10.0,0.0,2.0,4.0,4.0,1.0,9.0,0.0,1.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,3.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Abdullah Otayf,25.0,1992.0,MF,Saudi,3.0,3.0,243.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,19.8,0.0,3791,1131,118,122,78,85,24,35,2,22,1,0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,280.0,8.0,78.0,169.0,56.0,2.0,277.0,3.0,4.0,4.0,0.0,219.0,1053.0,506.0,25.0,13.0,0.0,4.0,2.0,228.0,219.0,3.0,2.0,1.0,2.0,0.0,1.0,6.0,43.0,18.0,19.0,21.0,3.0,1.0,1.0,0.0,0.0,9.0,1.0,0.0
Abel Aguilar,33.0,1985.0,MF,Colombia,1.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,50,6,8,3,4,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,13.0,0.0,0.0,10.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,9.0,30.0,14.0,1.0,0.0,0.0,0.0,0.0,11.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achraf Hakimi,19.0,1998.0,DF,Morocco,3.0,3.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.6,0.0,1562,649,53,57,32,41,8,18,5,7,3,1,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,21.0,2.0,1.0,149.0,14.0,46.0,64.0,48.0,2.0,128.0,5.0,7.0,5.0,1.0,101.0,431.0,280.0,13.0,5.0,2.0,3.0,4.0,104.0,88.0,3.0,4.0,4.0,2.0,1.0,3.0,3.0,47.0,12.0,28.0,14.0,5.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0
Adem Ljajić,26.0,1991.0,MF,Serbia,3.0,2.0,170.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,17.5,0.0,1049,208,29,32,22,27,6,15,3,3,4,0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,15.0,0.0,0.0,89.0,3.0,6.0,43.0,54.0,4.0,81.0,6.0,8.0,6.0,1.0,71.0,542.0,283.0,16.0,10.0,0.0,2.0,1.0,78.0,56.0,7.0,3.0,2.0,0.0,1.0,1.0,3.0,55.0,15.0,11.0,28.0,16.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0
Adnan Januzaj,23.0,1995.0,FW,Belgium,1.0,1.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,21.3,0.0,255,68,8,9,6,8,1,3,1,3,0,0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,34.0,0.0,4.0,16.0,15.0,4.0,33.0,2.0,6.0,3.0,0.0,33.0,243.0,139.0,9.0,0.0,2.0,2.0,1.0,43.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,4.0,5.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adolfo Machado,33.0,1985.0,DF,Panama,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,171,5,8,8,10,3,11,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,42.0,3.0,18.0,19.0,6.0,0.0,35.0,0.0,0.0,0.0,0.0,17.0,59.0,38.0,1.0,0.0,0.0,0.0,0.0,20.0,16.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,11.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
Adrien Silva,29.0,1989.0,MF,Portugal,3.0,2.0,156.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,23.4,0.0,2812,585,57,62,60,64,24,24,3,20,2,0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,176.0,0.0,20.0,114.0,55.0,1.0,174.0,0.0,1.0,1.0,0.0,131.0,552.0,233.0,13.0,7.0,0.0,0.0,3.0,144.0,138.0,4.0,4.0,1.0,2.0,1.0,3.0,5.0,46.0,20.0,12.0,27.0,7.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0
Ahmed Fathy,33.0,1984.0,DF,Egypt,3.0,3.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,28.4,0.0,2184,1081,59,69,51,61,16,31,3,13,5,4,0.0,9.0,1.0,0.0,9.0,0.0,1.0,1.0,32.0,0.0,3.0,205.0,12.0,81.0,92.0,43.0,0.0,178.0,0.0,1.0,1.0,0.0,102.0,538.0,333.0,12.0,4.0,0.0,2.0,0.0,116.0,105.0,2.0,10.0,13.0,2.0,0.0,5.0,11.0,61.0,14.0,41.0,15.0,5.0,11.0,1.0,0.0,10.0,5.0,4.0,0.0
Ahmed Hegazi,27.0,1991.0,DF,Egypt,3.0,3.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2379,860,14,20,45,58,32,45,0,5,0,0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,3.0,161.0,27.0,110.0,61.0,5.0,1.0,160.0,0.0,0.0,0.0,0.0,92.0,598.0,309.0,3.0,1.0,0.0,0.0,2.0,90.0,90.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,20.0,9.0,19.0,1.0,0.0,7.0,5.0,0.0,2.0,6.0,20.0,0.0
Ahmed Khalil,23.0,1994.0,MF,Tunisia,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,22,3,4,2,3,0,0,0,1,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,6.0,2.0,0.0,9.0,0.0,1.0,1.0,0.0,5.0,37.0,24.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Ahmed Musa,25.0,1992.0,FW,Nigeria,3.0,2.0,208.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,15.6,0.0,639,176,20,24,19,24,1,8,4,2,2,1,0.0,5.0,4.0,1.0,7.0,0.0,0.0,0.0,8.0,1.0,2.0,90.0,2.0,10.0,33.0,55.0,6.0,84.0,7.0,10.0,8.0,0.0,69.0,297.0,129.0,9.0,2.0,2.0,8.0,2.0,107.0,65.0,24.0,1.0,0.0,1.0,0.0,0.0,1.0,64.0,17.0,9.0,36.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Alan Dzagoev,27.0,1990.0,MF,Russia,2.0,1.0,42.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.9,0.0,257,85,5,8,5,6,2,4,2,2,0,0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,23.0,0.0,4.0,5.0,14.0,2.0,21.0,0.0,0.0,0.0,0.0,11.0,82.0,58.0,4.0,0.0,1.0,0.0,1.0,24.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,3.0,9.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Albert Guðmundsson,20.0,1997.0,FW,Iceland,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberto Rodríguez,34.0,1984.0,DF,Peru,2.0,2.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.1,0.0,1056,299,13,14,22,23,11,13,0,4,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,1.0,69.0,7.0,43.0,29.0,3.0,2.0,69.0,0.0,1.0,1.0,0.0,36.0,220.0,130.0,6.0,1.0,0.0,1.0,0.0,38.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,9.0,2.0,0.0,4.0,3.0,0.0,1.0,2.0,4.0,0.0
Albin Ekdal,28.0,1989.0,MF,Sweden,5.0,5.0,419.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,18.0,0.0,2401,531,58,68,54,64,17,25,0,13,0,0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,48.0,4.0,5.0,222.0,15.0,68.0,133.0,39.0,1.0,220.0,9.0,11.0,10.0,0.0,141.0,890.0,457.0,19.0,7.0,0.0,6.0,3.0,142.0,125.0,8.0,5.0,5.0,3.0,0.0,4.0,9.0,124.0,32.0,63.0,53.0,8.0,8.0,1.0,0.0,7.0,8.0,11.0,0.0
Aleksandar Kolarov,32.0,1985.0,DF,Serbia,3.0,3.0,270.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,30.7,1.0,1686,782,54,61,35,44,12,30,3,7,4,0,0.0,6.0,5.0,0.0,9.0,0.0,0.0,0.0,29.0,4.0,1.0,162.0,11.0,41.0,71.0,66.0,1.0,135.0,0.0,0.0,0.0,0.0,90.0,601.0,395.0,12.0,6.0,0.0,4.0,3.0,92.0,83.0,7.0,1.0,2.0,0.0,0.0,1.0,3.0,45.0,11.0,23.0,20.0,2.0,5.0,1.0,0.0,4.0,8.0,4.0,0.0
Aleksandar Mitrović,23.0,1994.0,FW,Serbia,3.0,3.0,266.0,1.0,0.0,0.0,0.0,2.0,0.0,16.0,4.0,10.0,0.0,477,83,23,36,8,21,2,2,2,2,0,0,0.0,6.0,8.0,3.0,1.0,0.0,0.0,0.0,7.0,8.0,11.0,114.0,4.0,9.0,34.0,75.0,33.0,111.0,1.0,3.0,2.0,0.0,59.0,180.0,89.0,6.0,2.0,2.0,8.0,7.0,163.0,86.0,35.0,3.0,1.0,2.0,1.0,1.0,0.0,92.0,19.0,7.0,45.0,40.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0
Aleksandar Prijović,28.0,1990.0,FW,Serbia,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33,8,1,2,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Aleksandr Erokhin,28.0,1989.0,FW,Russia,2.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.7,0.0,141,58,3,5,2,4,2,3,1,1,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,28.0,2.0,4.0,7.0,17.0,9.0,27.0,0.0,1.0,0.0,0.0,12.0,62.0,16.0,2.0,0.0,1.0,1.0,0.0,29.0,16.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,24.0,3.0,10.0,12.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
Aleksandr Golovin,22.0,1996.0,MF,Russia,4.0,4.0,401.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,21.1,1.0,1572,398,43,55,34,48,10,22,4,6,2,1,0.0,14.0,4.0,0.0,11.0,0.0,0.0,0.0,36.0,1.0,2.0,186.0,4.0,32.0,79.0,88.0,12.0,174.0,5.0,6.0,5.0,0.0,112.0,784.0,410.0,22.0,7.0,6.0,7.0,11.0,158.0,108.0,25.0,1.0,1.0,4.0,2.0,2.0,5.0,140.0,28.0,28.0,71.0,41.0,9.0,0.0,0.0,9.0,3.0,1.0,0.0
Aleksandr Samedov,33.0,1984.0,FW,Russia,5.0,5.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.9,0.0,1821,560,57,69,34,45,14,31,6,5,8,3,0.0,9.0,7.0,0.0,17.0,0.0,0.0,0.0,21.0,3.0,3.0,191.0,0.0,31.0,69.0,103.0,9.0,174.0,4.0,6.0,4.0,1.0,119.0,763.0,345.0,18.0,7.0,1.0,6.0,4.0,160.0,130.0,20.0,4.0,5.0,0.0,1.0,3.0,5.0,94.0,19.0,40.0,44.0,10.0,4.0,0.0,0.0,4.0,5.0,1.0,0.0
Aleksei Miranchuk,22.0,1995.0,MF,Russia,1.0,1.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260,6,5,6,9,11,1,2,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,23.0,0.0,3.0,15.0,7.0,1.0,21.0,1.0,1.0,1.0,0.0,20.0,107.0,54.0,3.0,1.0,1.0,1.0,1.0,21.0,15.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,30.0,6.0,6.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Iwobi,22.0,1996.0,MF,Nigeria,3.0,1.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,20.4,0.0,356,146,7,10,6,7,4,6,1,2,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,33.0,1.0,7.0,18.0,11.0,3.0,33.0,0.0,2.0,0.0,0.0,23.0,103.0,51.0,3.0,1.0,1.0,2.0,0.0,28.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Alfred N'Diaye,28.0,1990.0,MF,Senegal,2.0,2.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,871,251,12,14,16,19,10,13,0,6,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,55.0,1.0,16.0,35.0,5.0,1.0,55.0,1.0,1.0,1.0,0.0,37.0,182.0,93.0,3.0,1.0,0.0,0.0,1.0,44.0,38.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,36.0,12.0,13.0,20.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0
Alfreð Finnbogason,29.0,1989.0,FW,Iceland,3.0,3.0,262.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,10.5,0.0,492,96,21,30,9,11,2,3,2,2,2,1,0.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,15.0,2.0,8.0,79.0,1.0,13.0,34.0,38.0,12.0,78.0,1.0,2.0,2.0,0.0,43.0,201.0,79.0,6.0,0.0,0.0,5.0,5.0,122.0,50.0,20.0,1.0,1.0,1.0,2.0,1.0,4.0,89.0,16.0,13.0,51.0,25.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0
Ali Al-Bulaihi,28.0,1989.0,DF,Saudi,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718,232,17,18,10,13,9,11,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,52.0,6.0,28.0,29.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,32.0,211.0,125.0,1.0,0.0,0.0,0.0,0.0,36.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,5.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,2.0,0.0
Ali Gabr,29.0,1989.0,DF,Egypt,3.0,3.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,13.9,0.0,1506,461,15,16,32,38,15,24,0,0,1,1,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,13.0,2.0,2.0,104.0,22.0,82.0,23.0,3.0,2.0,104.0,0.0,0.0,0.0,0.0,52.0,215.0,90.0,0.0,0.0,0.0,1.0,0.0,62.0,61.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,12.0,7.0,9.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,15.0,0.0
Ali Maâloul,28.0,1990.0,DF,Tunisia,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1781,832,40,42,47,56,9,13,4,10,4,3,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,122.0,5.0,54.0,55.0,26.0,0.0,110.0,1.0,1.0,1.0,0.0,84.0,430.0,276.0,4.0,1.0,0.0,2.0,1.0,91.0,85.0,4.0,2.0,1.0,0.0,1.0,0.0,4.0,53.0,13.0,26.0,22.0,5.0,4.0,1.0,0.0,3.0,1.0,1.0,1.0
Alireza Jahanbakhsh,24.0,1993.0,MF,Iran,3.0,2.0,170.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,25.3,1.0,525,156,9,11,13,19,4,9,3,1,0,0,0.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,3.0,69.0,0.0,15.0,21.0,36.0,4.0,63.0,5.0,6.0,5.0,0.0,40.0,221.0,134.0,4.0,2.0,1.0,2.0,1.0,62.0,35.0,7.0,4.0,3.0,3.0,1.0,6.0,7.0,47.0,11.0,23.0,17.0,7.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
Amine Harit,20.0,1997.0,FW,Morocco,1.0,1.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,14.5,0.0,283,33,14,15,4,7,2,4,2,1,0,0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,43.0,0.0,4.0,20.0,23.0,4.0,43.0,8.0,13.0,9.0,0.0,39.0,182.0,88.0,3.0,0.0,0.0,0.0,3.0,48.0,38.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,6.0,2.0,5.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Amr Warda,24.0,1993.0,MF,Egypt,3.0,1.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.1,0.0,678,163,16,23,18,27,3,13,1,1,1,0,0.0,1.0,6.0,0.0,9.0,0.0,0.0,0.0,15.0,3.0,4.0,85.0,3.0,15.0,25.0,51.0,6.0,83.0,3.0,3.0,3.0,0.0,62.0,524.0,276.0,18.0,3.0,3.0,2.0,1.0,79.0,57.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,4.0,5.0,15.0,6.0,4.0,2.0,0.0,2.0,4.0,1.0,0.0
Anderson Santamaría,26.0,1992.0,DF,Peru,2.0,1.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257,444,35,38,22,23,12,13,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,2.0,85.0,10.0,52.0,37.0,1.0,0.0,85.0,1.0,1.0,1.0,0.0,61.0,327.0,159.0,4.0,1.0,0.0,0.0,0.0,58.0,58.0,0.0,3.0,4.0,0.0,0.0,1.0,6.0,12.0,4.0,11.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0
Andreas Christensen,22.0,1996.0,DF,Denmark,4.0,4.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2995,840,55,58,80,83,18,23,0,7,0,0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,1.0,196.0,22.0,83.0,119.0,4.0,1.0,194.0,0.0,1.0,1.0,0.0,132.0,678.0,395.0,4.0,0.0,0.0,1.0,2.0,130.0,124.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,40.0,14.0,30.0,9.0,1.0,5.0,3.0,0.0,2.0,6.0,14.0,0.0
Andreas Cornelius,25.0,1993.0,FW,Denmark,3.0,2.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.1,0.0,270,51,10,15,6,10,1,6,2,0,0,0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,7.0,9.0,50.0,0.0,1.0,23.0,29.0,5.0,50.0,3.0,4.0,4.0,0.0,30.0,145.0,21.0,2.0,1.0,0.0,6.0,0.0,76.0,41.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,8.0,1.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreas Granqvist,33.0,1985.0,DF,Sweden,5.0,5.0,450.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,16.9,0.0,3298,1282,44,49,65,74,31,48,2,13,1,0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,33.0,6.0,2.0,234.0,54.0,127.0,108.0,14.0,9.0,220.0,2.0,2.0,2.0,0.0,124.0,834.0,501.0,19.0,4.0,0.0,2.0,0.0,130.0,120.0,6.0,1.0,3.0,0.0,0.0,1.0,1.0,25.0,7.0,18.0,7.0,0.0,13.0,11.0,0.0,2.0,4.0,36.0,0.0
Andrej Kramarić,26.0,1991.0,MF,Croatia,7.0,3.0,334.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,20.1,0.0,1886,250,67,77,37,44,11,18,8,8,4,2,0.0,3.0,4.0,3.0,9.0,0.0,0.0,0.0,18.0,0.0,3.0,176.0,3.0,15.0,70.0,104.0,19.0,174.0,6.0,10.0,6.0,0.0,144.0,907.0,439.0,21.0,6.0,3.0,5.0,6.0,201.0,149.0,44.0,0.0,0.0,0.0,0.0,0.0,1.0,63.0,12.0,13.0,29.0,21.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
Andrew Nabbout,25.0,1992.0,FW,Australia,2.0,2.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212,44,7,8,7,8,0,3,1,1,0,0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,29.0,0.0,1.0,17.0,12.0,2.0,27.0,1.0,2.0,1.0,0.0,17.0,74.0,45.0,2.0,1.0,1.0,4.0,3.0,57.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,9.0,2.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrija Živković,21.0,1996.0,MF,Serbia,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.8,0.0,178,84,3,4,7,8,0,0,1,1,2,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,15.0,1.0,3.0,6.0,10.0,1.0,15.0,0.0,0.0,0.0,0.0,12.0,135.0,97.0,3.0,2.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,14.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
André Carrillo,27.0,1991.0,FW,Peru,3.0,3.0,258.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,22.1,0.0,1272,220,38,47,30,37,7,13,6,3,4,1,0.0,3.0,4.0,1.0,10.0,0.0,0.0,0.0,21.0,2.0,2.0,138.0,1.0,19.0,59.0,69.0,13.0,137.0,14.0,18.0,14.0,1.0,118.0,720.0,397.0,20.0,6.0,4.0,8.0,6.0,136.0,106.0,17.0,2.0,2.0,1.0,0.0,0.0,4.0,58.0,13.0,15.0,34.0,9.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0
André Silva,22.0,1995.0,FW,Portugal,3.0,1.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21.5,0.0,427,69,14,15,7,10,3,5,0,3,0,0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,41.0,2.0,3.0,21.0,18.0,1.0,40.0,3.0,3.0,3.0,0.0,32.0,185.0,91.0,4.0,1.0,0.0,2.0,2.0,61.0,32.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,12.0,5.0,16.0,15.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Andrés Guardado,31.0,1986.0,MF,Mexico,4.0,4.0,303.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,20.4,0.0,2218,510,42,44,58,65,12,19,3,8,3,0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,36.0,2.0,1.0,171.0,6.0,40.0,89.0,58.0,8.0,158.0,3.0,7.0,3.0,0.0,119.0,783.0,458.0,23.0,7.0,1.0,5.0,4.0,114.0,104.0,15.0,3.0,3.0,2.0,0.0,2.0,4.0,68.0,18.0,30.0,30.0,8.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0
