Player,Age,Born,Pos,Nation,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Timo Werner,22.0,1996.0,FW,Germany,3.0,3.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,11.8,0.0,850,130,38,53,18,24,3,4,5,0,2,1,0.0,2.0,5.0,3.0,10.0,0.0,0.0,0.0,25.0,0.0,1.0,122.0,1.0,9.0,23.0,100.0,32.0,117.0,3.0,5.0,3.0,0.0,88.0,663.0,385.0,18.0,6.0,6.0,5.0,3.0,123.0,79.0,34.0,0.0,0.0,0.0,0.0,0.0,3.0,54.0,16.0,6.0,18.0,30.0,7.0,1.0,0.0,6.0,0.0,1.0,0.0
Tin Jedvaj,22.0,1995.0,DF,Croatia,1.0,1.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,627,205,19,24,15,19,3,7,0,1,1,1,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,3.0,1.0,60.0,3.0,20.0,26.0,16.0,0.0,47.0,0.0,0.0,0.0,0.0,33.0,183.0,45.0,1.0,1.0,0.0,2.0,0.0,33.0,32.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,27.0,7.0,12.0,11.0,4.0,2.0,0.0,0.0,2.0,1.0,4.0,0.0
Toby Alderweireld,29.0,1989.0,DF,Belgium,6.0,6.0,540.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,1.0,16.9,0.0,8210,2588,118,121,213,226,61,88,1,44,0,0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,44.0,0.0,1.0,490.0,49.0,230.0,275.0,40.0,5.0,484.0,0.0,0.0,0.0,0.0,372.0,2422.0,1492.0,59.0,12.0,1.0,0.0,0.0,389.0,381.0,1.0,5.0,4.0,1.0,0.0,4.0,1.0,47.0,9.0,30.0,15.0,2.0,11.0,7.0,1.0,4.0,4.0,18.0,0.0
Tom Rogić,25.0,1992.0,MF,Australia,3.0,3.0,223.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,22.9,0.0,949,285,27,33,18,20,6,7,0,7,3,0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,90.0,3.0,10.0,53.0,36.0,1.0,88.0,8.0,9.0,8.0,0.0,75.0,556.0,292.0,18.0,6.0,0.0,4.0,10.0,86.0,66.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,16.0,5.0,28.0,12.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0
Tomi Juric,26.0,1991.0,FW,Australia,3.0,1.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,62,2,5,6,8,0,1,1,1,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,30.0,1.0,1.0,17.0,17.0,1.0,29.0,0.0,1.0,0.0,0.0,18.0,81.0,46.0,3.0,1.0,0.0,6.0,3.0,36.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,9.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Tomoaki Makino,31.0,1987.0,DF,Japan,1.0,1.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,6.9,0.0,1356,334,36,37,34,39,6,10,0,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,93.0,4.0,34.0,64.0,2.0,2.0,93.0,0.0,0.0,0.0,0.0,68.0,258.0,110.0,2.0,0.0,0.0,0.0,0.0,75.0,73.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,3.0,9.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0
Toni Kroos,28.0,1990.0,MF,Germany,3.0,3.0,270.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,23.2,1.0,6470,2001,93,99,131,137,66,80,7,56,10,1,0.0,2.0,6.0,0.0,9.0,0.0,0.0,0.0,29.0,0.0,1.0,355.0,2.0,45.0,194.0,144.0,6.0,328.0,5.0,5.0,5.0,0.0,281.0,1915.0,1109.0,66.0,18.0,2.0,1.0,0.0,277.0,268.0,6.0,5.0,1.0,4.0,2.0,6.0,6.0,55.0,14.0,19.0,21.0,15.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0
Trent Alexander-Arnold,19.0,1998.0,MF,England,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,1.0,1014,311,22,23,22,24,7,17,2,1,2,1,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,9.0,1.0,0.0,74.0,2.0,23.0,29.0,23.0,0.0,59.0,1.0,2.0,1.0,0.0,51.0,155.0,61.0,1.0,0.0,0.0,2.0,1.0,53.0,47.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
Trent Sainsbury,26.0,1992.0,DF,Australia,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.7,0.0,3811,1555,45,51,83,91,38,46,2,13,1,0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,37.0,8.0,4.0,220.0,16.0,128.0,104.0,13.0,4.0,218.0,1.0,1.0,1.0,0.0,145.0,1018.0,605.0,9.0,4.0,0.0,0.0,2.0,152.0,151.0,4.0,2.0,3.0,0.0,0.0,1.0,3.0,25.0,7.0,21.0,3.0,1.0,6.0,0.0,0.0,6.0,4.0,13.0,2.0
Trézéguet,23.0,1994.0,FW,Egypt,3.0,3.0,237.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,19.5,0.0,1035,254,43,50,21,29,3,7,2,5,1,0,0.0,6.0,2.0,0.0,4.0,0.0,0.0,0.0,17.0,4.0,2.0,135.0,1.0,26.0,67.0,56.0,10.0,134.0,5.0,11.0,5.0,2.0,88.0,564.0,356.0,18.0,5.0,2.0,6.0,4.0,132.0,90.0,16.0,4.0,3.0,2.0,0.0,1.0,3.0,59.0,15.0,24.0,28.0,7.0,9.0,1.0,0.0,8.0,3.0,1.0,0.0
