Player,Pos,Nation,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Lucas Digne,DF,France,27.0,1993.0,2.0,1.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.1,0.0,831,250,44,48,17,20,1,2,1,3,2,2,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,11.0,6.0,0.0,78.0,0.0,11.0,34.0,36.0,2.0,69.0,0.0,1.0,0.0,0.0,37.0,197.0,107.0,4.0,2.0,0.0,0.0,0.0,60.0,53.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,4.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Igor Diveev,DF,Russia,21.0,1999.0,3.0,2.0,225.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,2578,812,14,15,49,51,32,50,0,8,0,0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,4.0,154.0,17.0,69.0,85.0,4.0,1.0,147.0,0.0,0.0,0.0,0.0,77.0,343.0,144.0,6.0,0.0,0.0,0.0,0.0,87.0,85.0,0.0,4.0,4.0,2.0,0.0,3.0,3.0,31.0,13.0,18.0,13.0,0.0,6.0,5.0,1.0,1.0,6.0,21.0,0.0
Jeremy Doku,MF,Belgium,18.0,2002.0,2.0,2.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,17.9,0.0,710,100,29,34,16,22,3,3,3,2,3,0,0.0,3.0,6.0,0.0,5.0,1.0,0.0,0.0,14.0,1.0,1.0,96.0,0.0,13.0,25.0,68.0,14.0,96.0,10.0,19.0,11.0,0.0,88.0,648.0,531.0,25.0,6.0,9.0,8.0,5.0,82.0,75.0,7.0,2.0,2.0,1.0,0.0,1.0,1.0,24.0,7.0,5.0,7.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Kasper Dolberg,FW,Denmark,23.0,1997.0,4.0,3.0,224.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,16.0,0.0,474,48,26,32,7,9,2,4,2,1,0,0,0.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,10.0,4.0,10.0,82.0,4.0,7.0,42.0,35.0,9.0,80.0,3.0,5.0,3.0,0.0,53.0,213.0,90.0,8.0,2.0,1.0,7.0,2.0,103.0,59.0,10.0,1.0,0.0,2.0,0.0,0.0,0.0,28.0,5.0,1.0,15.0,12.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0
Artem Dovbyk,FW,Ukraine,23.0,1997.0,1.0,0.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,9.0,0.0,43,11,4,4,0,0,0,1,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0,4.0,5.0,4.0,8.0,0.0,0.0,0.0,0.0,4.0,48.0,23.0,2.0,1.0,0.0,2.0,0.0,9.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandar Dragović,DF,Austria,29.0,1991.0,4.0,4.0,338.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,4702,1569,50,59,101,113,48,57,0,20,1,0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,36.0,12.0,0.0,270.0,28.0,119.0,155.0,12.0,2.0,259.0,2.0,2.0,2.0,0.0,171.0,827.0,469.0,18.0,4.0,0.0,0.0,1.0,186.0,184.0,2.0,3.0,3.0,1.0,0.0,2.0,3.0,29.0,12.0,14.0,14.0,1.0,8.0,5.0,0.0,3.0,8.0,16.0,0.0
Ondrej Duda,FW,Slovakia,26.0,1994.0,3.0,3.0,224.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,21.0,0.0,1404,212,33,42,26,29,12,16,4,5,2,0,0.0,5.0,9.0,1.0,1.0,0.0,0.0,0.0,9.0,2.0,8.0,117.0,4.0,19.0,69.0,33.0,6.0,111.0,4.0,5.0,5.0,0.0,77.0,320.0,131.0,8.0,1.0,2.0,4.0,3.0,121.0,88.0,9.0,3.0,2.0,2.0,0.0,2.0,4.0,78.0,13.0,17.0,52.0,9.0,4.0,0.0,0.0,4.0,0.0,5.0,0.0
Denzel Dumfries,DF,Netherlands,24.0,1996.0,4.0,4.0,315.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,8.7,0.0,1614,637,51,62,33,41,10,21,4,4,2,1,0.0,4.0,7.0,1.0,8.0,1.0,0.0,0.0,21.0,8.0,11.0,170.0,4.0,29.0,68.0,79.0,20.0,140.0,3.0,6.0,3.0,1.0,94.0,322.0,203.0,12.0,2.0,2.0,3.0,13.0,140.0,104.0,14.0,3.0,2.0,2.0,2.0,4.0,3.0,64.0,25.0,19.0,24.0,21.0,4.0,1.0,0.0,3.0,2.0,0.0,0.0
Michal Ďuriš,FW,Slovakia,32.0,1988.0,3.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.1,0.0,205,3,6,6,4,4,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,22.0,1.0,4.0,11.0,7.0,1.0,19.0,0.0,1.0,0.0,0.0,13.0,25.0,10.0,0.0,0.0,0.0,1.0,1.0,23.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,1.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Lyndon Dykes,FW,Scotland,25.0,1995.0,3.0,3.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,11.7,0.0,371,102,14,27,8,18,1,2,3,3,0,0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,9.0,20.0,23.0,79.0,3.0,6.0,31.0,44.0,12.0,77.0,0.0,0.0,0.0,0.0,24.0,77.0,15.0,1.0,0.0,0.0,8.0,4.0,134.0,61.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,53.0,10.0,3.0,23.0,27.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0
