Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Fabian Delph,28.0,1989.0,ENG,DF,Manchester,6.0,2.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,24.7,0.0,3865.0,1061.0,109.0,117.0,84.0,90.0,22.0,36.0,0.0,18.0,3.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,30.0,5.0,3.0,275.0,9.0,50.0,180.0,58.0,2.0,255.0,6.0,8.0,7.0,0.0,217.0,878.0,418.0,12.0,6.0,0.0,1.0,0.0,211.0,207.0,4.0,2.0,2.0,2.0,1.0,0.0,5.0,39.0,13.0,16.0,16.0,7.0,2.0,1.0,0.0,1.0,3.0,6.0,1.0
Fabinho,24.0,1993.0,BRA,MF,Liverpool,11.0,7.0,730.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,24.8,0.0,7521.0,1809.0,105.0,127.0,196.0,227.0,58.0,85.0,4.0,42.0,3.0,0.0,0.0,22.0,16.0,0.0,0.0,0.0,0.0,0.0,97.0,14.0,11.0,521.0,19.0,151.0,344.0,62.0,1.0,515.0,2.0,3.0,2.0,0.0,334.0,1848.0,956.0,32.0,6.0,0.0,0.0,1.0,360.0,338.0,6.0,19.0,13.0,15.0,2.0,4.0,20.0,208.0,60.0,56.0,135.0,17.0,7.0,1.0,0.0,6.0,10.0,20.0,0.0
Fabián Ruiz Peña,22.0,1996.0,ESP,MF,Napoli,6.0,6.0,468.0,0.0,1.0,0.0,0.0,1.0,0.0,18.0,5.0,23.4,0.0,4493.0,1053.0,177.0,196.0,93.0,111.0,19.0,26.0,5.0,25.0,14.0,2.0,0.0,2.0,5.0,0.0,3.0,0.0,0.0,0.0,44.0,4.0,5.0,413.0,8.0,52.0,248.0,141.0,18.0,411.0,12.0,16.0,12.0,0.0,342.0,1345.0,801.0,41.0,16.0,3.0,5.0,6.0,382.0,331.0,42.0,7.0,4.0,5.0,2.0,3.0,8.0,140.0,34.0,29.0,59.0,52.0,6.0,0.0,0.0,6.0,7.0,6.0,0.0
Faouzi Ghoulam,27.0,1991.0,ALG,DF,Napoli,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,123.0,10.0,13.0,3.0,5.0,2.0,6.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,26.0,1.0,5.0,10.0,11.0,0.0,23.0,0.0,0.0,0.0,0.0,17.0,69.0,23.0,1.0,0.0,0.0,0.0,0.0,22.0,18.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Bernardeschi,24.0,1994.0,ITA,MF,Juventus,8.0,6.0,552.0,0.0,1.0,0.0,0.0,2.0,0.0,13.0,3.0,19.1,3.0,3215.0,736.0,68.0,77.0,65.0,77.0,27.0,55.0,12.0,5.0,10.0,2.0,0.0,7.0,15.0,2.0,14.0,1.0,0.0,0.0,31.0,1.0,2.0,312.0,10.0,47.0,152.0,141.0,22.0,284.0,15.0,29.0,19.0,0.0,237.0,1280.0,552.0,24.0,9.0,4.0,11.0,18.0,265.0,216.0,42.0,2.0,2.0,3.0,1.0,2.0,1.0,110.0,24.0,35.0,44.0,31.0,13.0,0.0,0.0,13.0,9.0,4.0,0.0
Federico Fazio,31.0,1987.0,ARG,DF,Roma,6.0,6.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,9.9,0.0,6322.0,2488.0,121.0,135.0,149.0,168.0,51.0,60.0,2.0,18.0,2.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,87.0,26.0,4.0,430.0,60.0,220.0,205.0,27.0,9.0,420.0,2.0,3.0,2.0,0.0,258.0,1230.0,688.0,14.0,5.0,0.0,0.0,0.0,278.0,272.0,4.0,3.0,7.0,2.0,1.0,3.0,4.0,21.0,7.0,13.0,6.0,2.0,8.0,7.0,0.0,1.0,5.0,31.0,1.0
Federico Valverde,20.0,1998.0,URU,MF,Real,4.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,23.1,0.0,2350.0,451.0,58.0,62.0,44.0,48.0,20.0,24.0,2.0,13.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,1.0,0.0,160.0,6.0,25.0,105.0,36.0,3.0,156.0,2.0,4.0,2.0,0.0,124.0,474.0,228.0,11.0,4.0,1.0,1.0,1.0,121.0,119.0,10.0,5.0,4.0,2.0,0.0,2.0,1.0,32.0,5.0,11.0,16.0,5.0,4.0,0.0,0.0,4.0,2.0,3.0,0.0
Felipe,29.0,1989.0,BRA,DF,Porto,10.0,10.0,930.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,2.0,11.0,0.0,10898.0,3630.0,108.0,129.0,227.0,252.0,120.0,177.0,0.0,31.0,2.0,0.0,0.0,9.0,9.0,1.0,2.0,1.0,1.0,0.0,142.0,33.0,12.0,695.0,80.0,384.0,331.0,27.0,16.0,678.0,6.0,7.0,6.0,1.0,405.0,2285.0,1006.0,15.0,4.0,0.0,6.0,0.0,427.0,418.0,14.0,3.0,4.0,2.0,1.0,2.0,9.0,61.0,20.0,41.0,17.0,3.0,19.0,7.0,0.0,12.0,16.0,69.0,0.0
Ferland Mendy,23.0,1995.0,FRA,DF,Lyon,8.0,8.0,706.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,2.0,19.8,0.0,6099.0,2146.0,170.0,193.0,135.0,160.0,38.0,57.0,10.0,29.0,11.0,2.0,0.0,9.0,10.0,0.0,16.0,0.0,0.0,0.0,57.0,8.0,6.0,496.0,30.0,113.0,266.0,150.0,18.0,445.0,12.0,16.0,13.0,0.0,363.0,1743.0,1094.0,52.0,17.0,6.0,10.0,12.0,368.0,344.0,21.0,6.0,6.0,1.0,2.0,3.0,3.0,141.0,23.0,82.0,41.0,18.0,9.0,1.0,0.0,8.0,7.0,14.0,0.0
Fernandinho,33.0,1985.0,BRA,MF,Manchester,8.0,7.0,643.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,19.8,0.0,8706.0,2638.0,157.0,172.0,210.0,240.0,60.0,78.0,4.0,65.0,16.0,0.0,0.0,21.0,10.0,0.0,0.0,0.0,1.0,0.0,88.0,16.0,7.0,578.0,28.0,125.0,400.0,88.0,6.0,572.0,3.0,3.0,3.0,0.0,418.0,1949.0,1178.0,47.0,8.0,0.0,2.0,7.0,425.0,414.0,11.0,12.0,2.0,12.0,2.0,2.0,11.0,92.0,13.0,27.0,49.0,16.0,17.0,7.0,0.0,10.0,14.0,12.0,0.0
