Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Aaron Appindangoyé,28.0,1992.0,GAB,DF,Sivasspor,3.0,3.0,270.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2429.0,860.0,29.0,31.0,54.0,58.0,27.0,49.0,0.0,6.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,28.0,8.0,5.0,165.0,25.0,102.0,67.0,3.0,1.0,164.0,1.0,2.0,2.0,1.0,106.0,636.0,270.0,3.0,0.0,0.0,0.0,0.0,116.0,109.0,0.0,3.0,2.0,2.0,0.0,1.0,1.0,26.0,8.0,17.0,9.0,0.0,2.0,0.0,0.0,2.0,6.0,12.0,0.0
Aaron Wan-Bissaka,22.0,1997.0,ENG,DF,Manchester,9.0,9.0,723.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,17.0,0.0,6319.0,2124.0,201.0,214.0,164.0,185.0,22.0,38.0,2.0,28.0,2.0,2.0,0.0,6.0,5.0,0.0,14.0,0.0,0.0,0.0,62.0,5.0,7.0,551.0,33.0,177.0,258.0,146.0,6.0,483.0,14.0,17.0,14.0,0.0,350.0,1590.0,816.0,30.0,9.0,0.0,5.0,9.0,346.0,324.0,14.0,13.0,11.0,7.0,4.0,4.0,7.0,115.0,39.0,44.0,51.0,20.0,18.0,2.0,0.0,16.0,18.0,25.0,0.0
Abbas Huseynov,25.0,1995.0,AZE,DF,Qarabağ,3.0,2.0,210.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,27.8,0.0,1263.0,548.0,43.0,50.0,26.0,38.0,6.0,12.0,0.0,3.0,2.0,1.0,0.0,6.0,1.0,0.0,3.0,0.0,1.0,0.0,23.0,3.0,2.0,128.0,3.0,37.0,62.0,34.0,2.0,105.0,0.0,3.0,1.0,0.0,72.0,308.0,145.0,6.0,1.0,0.0,2.0,3.0,75.0,67.0,2.0,3.0,4.0,2.0,0.0,2.0,3.0,39.0,10.0,25.0,12.0,2.0,3.0,0.0,0.0,3.0,3.0,2.0,0.0
Abdallah Sima,19.0,2001.0,SEN,MF,Slavia,11.0,9.0,797.0,4.0,0.0,0.0,0.0,1.0,0.0,18.0,9.0,16.7,0.0,2390.0,737.0,68.0,85.0,51.0,77.0,15.0,24.0,7.0,12.0,7.0,1.0,0.0,13.0,7.0,2.0,10.0,0.0,1.0,0.0,60.0,16.0,28.0,315.0,9.0,47.0,150.0,143.0,32.0,310.0,12.0,22.0,17.0,0.0,210.0,961.0,505.0,25.0,6.0,3.0,26.0,17.0,364.0,201.0,47.0,6.0,3.0,5.0,2.0,5.0,2.0,144.0,34.0,24.0,63.0,57.0,19.0,3.0,0.0,16.0,8.0,7.0,0.0
Abdellah Zoubir,28.0,1991.0,FRA,FW,Qarabağ,5.0,5.0,436.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,17.5,0.0,2662.0,465.0,103.0,115.0,62.0,67.0,6.0,8.0,2.0,10.0,3.0,0.0,0.0,6.0,12.0,1.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,267.0,2.0,29.0,150.0,119.0,18.0,266.0,24.0,32.0,24.0,1.0,248.0,1312.0,691.0,35.0,15.0,4.0,16.0,17.0,283.0,218.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,54.0,15.0,9.0,28.0,17.0,5.0,0.0,0.0,5.0,2.0,1.0,0.0
Abdoul-Fessal Tapsoba,18.0,2001.0,BFA,FW,Standard,3.0,2.0,206.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,12.2,0.0,363.0,55.0,8.0,14.0,10.0,16.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,9.0,5.0,11.0,63.0,0.0,7.0,32.0,27.0,9.0,58.0,1.0,3.0,1.0,0.0,31.0,154.0,83.0,5.0,2.0,0.0,5.0,4.0,81.0,42.0,17.0,4.0,3.0,3.0,0.0,2.0,1.0,43.0,10.0,5.0,24.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Abdoulaye Seck,28.0,1992.0,SEN,DF,Antwerp,6.0,6.0,518.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,2.0,8.3,0.0,6460.0,2266.0,60.0,77.0,149.0,198.0,61.0,95.0,0.0,17.0,0.0,0.0,1.0,13.0,4.0,0.0,3.0,0.0,0.0,0.0,91.0,29.0,5.0,465.0,47.0,222.0,235.0,27.0,8.0,417.0,7.0,8.0,7.0,0.0,246.0,1084.0,471.0,9.0,1.0,0.0,2.0,2.0,252.0,243.0,0.0,10.0,11.0,5.0,0.0,6.0,5.0,75.0,26.0,42.0,32.0,1.0,16.0,8.0,0.0,8.0,9.0,36.0,0.0
Abdulla Yusuf Helal,27.0,1993.0,BHR,FW,Slovan,5.0,5.0,358.0,2.0,0.0,0.0,0.0,1.0,0.0,15.0,3.0,19.6,1.0,798.0,161.0,24.0,47.0,15.0,25.0,6.0,9.0,0.0,7.0,0.0,0.0,0.0,9.0,13.0,5.0,4.0,0.0,0.0,0.0,26.0,32.0,35.0,165.0,14.0,21.0,83.0,71.0,16.0,161.0,8.0,13.0,10.0,0.0,84.0,463.0,245.0,10.0,7.0,1.0,18.0,5.0,232.0,108.0,18.0,4.0,1.0,3.0,0.0,0.0,2.0,53.0,19.0,4.0,29.0,20.0,4.0,2.0,0.0,2.0,1.0,12.0,0.0
Abel Ruiz,20.0,2000.0,ESP,FW,Braga,4.0,2.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,10.9,0.0,595.0,39.0,24.0,31.0,14.0,17.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,2.0,75.0,2.0,5.0,36.0,39.0,9.0,70.0,3.0,4.0,3.0,0.0,48.0,262.0,183.0,7.0,1.0,3.0,5.0,1.0,90.0,54.0,16.0,1.0,0.0,0.0,1.0,0.0,1.0,43.0,5.0,3.0,14.0,26.0,3.0,0.0,0.0,3.0,2.0,2.0,0.0
Adalberto Peñaranda,23.0,1997.0,VEN,MF,CSKA,2.0,1.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,20.5,0.0,378.0,116.0,6.0,8.0,10.0,11.0,3.0,4.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,42.0,0.0,4.0,26.0,18.0,5.0,39.0,3.0,8.0,4.0,3.0,34.0,139.0,96.0,5.0,3.0,2.0,3.0,6.0,32.0,30.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
