Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Renan,25.0,1997.0,BRA,FW,Žalgiris,6.0,5.0,458.0,1.0,9.0,3.0,18.2,0.0,0.0,0.0,65.0,98.0,1106.0,204.0,35.0,45.0,20.0,34.0,8.0,10.0,1.0,7.0,3.0,5.0,2.0,8.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0,0.0,0.0,0.0,11.0,4.0,12.0,132.0,2.0,10.0,49.0,78.0,11.0,132.0,10.0,6.0,3.0,92.0,699.0,320.0,11.0,10.0,0.0,6.0,8.0,105.0,26.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0
Renan Guedes,24.0,1998.0,BRA,DF,Sheriff,2.0,1.0,70.0,0.0,1.0,1.0,28.3,0.0,0.0,0.0,24.0,37.0,376.0,120.0,13.0,19.0,11.0,16.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,50.0,1.0,9.0,24.0,17.0,4.0,50.0,2.0,0.0,1.0,25.0,132.0,69.0,1.0,3.0,0.0,0.0,0.0,23.0,3.0,5.0,2.0,2.0,3.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0
Renārs Varslavāns,20.0,2001.0,LVA,MF,FK,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,69.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricardo Horta,27.0,1994.0,POR,MF,Braga,2.0,1.0,96.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,34.0,422.0,112.0,16.0,18.0,8.0,9.0,2.0,3.0,0.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,44.0,1.0,4.0,24.0,16.0,3.0,44.0,0.0,0.0,0.0,34.0,121.0,34.0,0.0,0.0,0.0,3.0,1.0,31.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricardo Jorge Pires Gomes,30.0,1991.0,CPV,FW,Partizan,8.0,8.0,696.0,4.0,18.0,7.0,13.1,0.0,0.0,0.0,110.0,169.0,1290.0,240.0,67.0,90.0,24.0,36.0,3.0,6.0,1.0,7.0,6.0,2.0,0.0,10.0,0.0,0.0,0.0,6.0,15.0,1.0,6.0,0.0,0.0,0.0,16.0,20.0,29.0,260.0,7.0,19.0,90.0,153.0,40.0,260.0,16.0,6.0,7.0,169.0,970.0,330.0,11.0,10.0,7.0,36.0,17.0,208.0,46.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,5.0,1.0,4.0,0.0,5.0,0.0
Riccardo Calafiori,20.0,2002.0,ITA,DF,Basel,8.0,7.0,698.0,1.0,5.0,2.0,15.0,0.0,0.0,0.0,328.0,401.0,6018.0,1942.0,139.0,155.0,147.0,178.0,37.0,53.0,1.0,5.0,33.0,8.0,5.0,31.0,2.0,0.0,0.0,10.0,6.0,0.0,11.0,0.0,0.0,0.0,51.0,14.0,10.0,494.0,34.0,186.0,247.0,68.0,9.0,494.0,4.0,3.0,0.0,277.0,1586.0,982.0,10.0,13.0,1.0,9.0,1.0,297.0,15.0,21.0,14.0,8.0,8.0,5.0,9.0,20.0,11.0,6.0,3.0,3.0,17.0,24.0,0.0
Riccardo Saponara,30.0,1991.0,ITA,FW,Fiorentina,10.0,6.0,570.0,2.0,13.0,3.0,17.4,0.0,0.0,0.0,155.0,218.0,2462.0,730.0,75.0,93.0,63.0,88.0,9.0,19.0,1.0,10.0,21.0,11.0,3.0,30.0,0.0,0.0,0.0,8.0,4.0,2.0,17.0,1.0,0.0,0.0,26.0,5.0,4.0,277.0,3.0,18.0,109.0,152.0,32.0,277.0,16.0,6.0,10.0,215.0,1267.0,564.0,17.0,11.0,8.0,15.0,5.0,222.0,75.0,8.0,5.0,4.0,3.0,1.0,3.0,6.0,3.0,2.0,0.0,2.0,2.0,3.0,1.0
Riccardo Sottil,23.0,1999.0,ITA,FW,Fiorentina,4.0,1.0,168.0,1.0,7.0,2.0,18.6,0.0,0.0,0.0,39.0,56.0,698.0,121.0,15.0,24.0,22.0,27.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,2.0,7.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,2.0,80.0,0.0,3.0,16.0,63.0,14.0,80.0,9.0,6.0,1.0,61.0,587.0,386.0,18.0,4.0,9.0,5.0,3.0,70.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
Richard Almeida,33.0,1989.0,AZE,MF,Qarabağ,2.0,1.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,78.0,1001.0,299.0,29.0,33.0,16.0,27.0,9.0,15.0,0.0,2.0,9.0,2.0,1.0,9.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,21.0,3.0,4.0,98.0,10.0,33.0,56.0,13.0,0.0,98.0,4.0,3.0,1.0,45.0,302.0,131.0,3.0,2.0,0.0,2.0,2.0,54.0,0.0,5.0,3.0,3.0,2.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,3.0,5.0,0.0
Richie Towell,31.0,1991.0,IRL,MF,Shamrock,3.0,3.0,221.0,0.0,4.0,2.0,24.5,0.0,0.0,0.0,65.0,76.0,909.0,190.0,38.0,45.0,23.0,24.0,1.0,3.0,1.0,6.0,3.0,4.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,8.0,1.0,4.0,99.0,2.0,18.0,36.0,45.0,5.0,99.0,1.0,0.0,1.0,59.0,160.0,53.0,1.0,0.0,0.0,4.0,1.0,61.0,10.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0
