Player,Age,Born,Pos,Nation,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Edson Álvarez,20.0,1997.0,DF,Mexico,4.0,3.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,172.0,2607.0,951.0,53.0,60.0,83.0,94.0,8.0,14.0,0.0,1.0,12.0,0.0,0.0,19.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,18.0,5.0,4.0,204.0,15.0,48.0,137.0,21.0,2.0,204.0,7.0,6.0,1.0,112.0,661.0,485.0,8.0,3.0,0.0,2.0,4.0,131.0,1.0,7.0,6.0,3.0,3.0,1.0,5.0,11.0,6.0,6.0,3.0,3.0,5.0,9.0,0.0
Eduardo Salvio,27.0,1990.0,DF,Argentina,2.0,2.0,145.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,109.0,1267.0,198.0,55.0,59.0,29.0,39.0,3.0,5.0,0.0,3.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,12.0,5.0,7.0,133.0,5.0,28.0,53.0,53.0,9.0,133.0,4.0,2.0,2.0,79.0,410.0,236.0,8.0,7.0,4.0,2.0,0.0,76.0,8.0,4.0,2.0,3.0,1.0,0.0,3.0,5.0,2.0,3.0,0.0,3.0,2.0,7.0,0.0
Ehsan Hajsafi,28.0,1990.0,DF,IR,3.0,3.0,213.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,43.0,72.0,794.0,409.0,21.0,23.0,16.0,25.0,5.0,21.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,6.0,2.0,1.0,97.0,8.0,39.0,41.0,17.0,0.0,97.0,2.0,2.0,0.0,32.0,163.0,95.0,1.0,1.0,0.0,5.0,0.0,37.0,2.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,0.0,2.0,8.0,0.0
Ellyes Skhiri,23.0,1995.0,MF,Tunisia,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,165.0,2716.0,524.0,67.0,73.0,55.0,62.0,21.0,24.0,0.0,2.0,10.0,0.0,0.0,14.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,2.0,183.0,5.0,48.0,123.0,13.0,0.0,183.0,3.0,2.0,1.0,100.0,404.0,156.0,1.0,2.0,0.0,1.0,3.0,143.0,3.0,6.0,5.0,4.0,2.0,0.0,2.0,11.0,9.0,3.0,1.0,2.0,6.0,2.0,0.0
Emil Forsberg,26.0,1991.0,MF,Sweden,5.0,5.0,415.0,1.0,14.0,3.0,22.5,3.0,0.0,0.0,85.0,106.0,1208.0,331.0,51.0,57.0,25.0,27.0,5.0,12.0,0.0,2.0,7.0,2.0,0.0,15.0,0.0,0.0,0.0,3.0,10.0,0.0,5.0,0.0,0.0,0.0,17.0,3.0,7.0,163.0,8.0,32.0,72.0,64.0,6.0,163.0,10.0,7.0,3.0,108.0,514.0,262.0,8.0,12.0,1.0,9.0,9.0,109.0,19.0,5.0,3.0,2.0,1.0,2.0,1.0,4.0,3.0,4.0,2.0,2.0,7.0,6.0,0.0
Emil Hallfreðsson,33.0,1984.0,MF,Iceland,2.0,2.0,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,62.0,901.0,282.0,23.0,24.0,18.0,18.0,7.0,11.0,0.0,1.0,4.0,1.0,1.0,13.0,1.0,0.0,0.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,21.0,1.0,0.0,81.0,5.0,22.0,44.0,15.0,0.0,81.0,5.0,3.0,2.0,53.0,223.0,115.0,1.0,1.0,0.0,1.0,2.0,39.0,2.0,4.0,3.0,3.0,1.0,0.0,0.0,9.0,9.0,2.0,0.0,2.0,3.0,2.0,1.0
Emil Krafth,23.0,1994.0,DF,Sweden,2.0,1.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,60.0,792.0,357.0,22.0,22.0,11.0,16.0,7.0,16.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,1.0,1.0,72.0,7.0,29.0,38.0,6.0,0.0,72.0,3.0,2.0,1.0,30.0,157.0,108.0,2.0,2.0,0.0,0.0,1.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,6.0,0.0
Enzo Pérez,32.0,1986.0,MF,Argentina,3.0,3.0,192.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,107.0,115.0,1489.0,309.0,62.0,65.0,34.0,38.0,4.0,4.0,0.0,0.0,8.0,1.0,0.0,14.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,125.0,1.0,3.0,96.0,26.0,1.0,125.0,1.0,1.0,0.0,91.0,363.0,159.0,1.0,6.0,0.0,2.0,3.0,104.0,3.0,3.0,2.0,0.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0
Eric Dier,24.0,1994.0,MF,England,6.0,2.0,251.0,0.0,5.0,1.0,18.0,0.0,0.0,0.0,173.0,197.0,2868.0,801.0,90.0,94.0,54.0,61.0,19.0,30.0,0.0,0.0,13.0,2.0,0.0,15.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,6.0,216.0,4.0,39.0,160.0,20.0,4.0,216.0,4.0,4.0,0.0,151.0,710.0,322.0,2.0,3.0,1.0,2.0,1.0,176.0,0.0,5.0,3.0,2.0,3.0,0.0,1.0,6.0,5.0,1.0,1.0,0.0,1.0,4.0,0.0
Erick Davis,27.0,1991.0,DF,Panama,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,116.0,1486.0,590.0,62.0,67.0,22.0,28.0,9.0,18.0,0.0,0.0,6.0,2.0,2.0,8.0,1.0,0.0,0.0,4.0,1.0,0.0,6.0,0.0,0.0,0.0,12.0,1.0,1.0,128.0,7.0,32.0,65.0,34.0,0.0,128.0,0.0,0.0,0.0,70.0,372.0,259.0,4.0,5.0,0.0,1.0,1.0,89.0,4.0,3.0,2.0,3.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0
Fabian Delph,28.0,1989.0,MF,England,4.0,2.0,222.0,0.0,3.0,1.0,29.6,0.0,0.0,0.0,139.0,158.0,1641.0,308.0,93.0,95.0,25.0,29.0,5.0,13.0,0.0,3.0,16.0,2.0,1.0,8.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,12.0,2.0,3.0,181.0,2.0,18.0,125.0,39.0,2.0,181.0,8.0,5.0,3.0,136.0,569.0,283.0,4.0,4.0,0.0,1.0,3.0,142.0,11.0,4.0,3.0,1.0,3.0,0.0,3.0,7.0,4.0,2.0,0.0,2.0,4.0,3.0,0.0
Fabian Schär,26.0,1991.0,DF,Switzerland,3.0,3.0,270.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,184.0,219.0,3831.0,1442.0,60.0,66.0,87.0,93.0,33.0,54.0,0.0,0.0,10.0,2.0,0.0,12.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,6.0,247.0,23.0,134.0,111.0,3.0,2.0,247.0,0.0,0.0,0.0,183.0,706.0,423.0,4.0,0.0,0.0,3.0,1.0,177.0,0.0,4.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,0.0,9.0,10.0,1.0
Fagner,29.0,1989.0,DF,Brazil,4.0,4.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,240.0,2937.0,853.0,133.0,143.0,63.0,69.0,8.0,16.0,0.0,3.0,19.0,3.0,2.0,10.0,1.0,0.0,0.0,7.0,3.0,0.0,5.0,0.0,0.0,0.0,14.0,0.0,6.0,274.0,11.0,76.0,158.0,41.0,4.0,274.0,2.0,2.0,0.0,160.0,610.0,391.0,10.0,3.0,1.0,0.0,3.0,172.0,11.0,9.0,5.0,3.0,5.0,1.0,2.0,10.0,8.0,4.0,0.0,4.0,9.0,10.0,0.0
Fahad Al Muwallad,23.0,1994.0,FW,Saudi,3.0,2.0,182.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,23.0,199.0,28.0,14.0,16.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,45.0,1.0,1.0,12.0,32.0,9.0,44.0,6.0,2.0,4.0,31.0,108.0,33.0,3.0,1.0,3.0,11.0,3.0,30.0,16.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Fakhreddine Ben Youssef,26.0,1991.0,MF,Tunisia,3.0,3.0,270.0,1.0,7.0,2.0,14.3,0.0,0.0,0.0,71.0,95.0,962.0,267.0,38.0,45.0,25.0,34.0,3.0,7.0,0.0,4.0,6.0,2.0,0.0,7.0,0.0,0.0,0.0,3.0,6.0,0.0,3.0,1.0,0.0,0.0,11.0,4.0,5.0,122.0,7.0,28.0,60.0,35.0,9.0,122.0,0.0,0.0,0.0,64.0,283.0,158.0,5.0,4.0,0.0,4.0,1.0,89.0,14.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0
Fayçal Fajr,29.0,1988.0,MF,Morocco,2.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,24.0,269.0,80.0,9.0,10.0,5.0,6.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0,0.0,4.0,17.0,4.0,0.0,24.0,1.0,0.0,1.0,6.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Fazio,31.0,1987.0,DF,Argentina,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,26.0,402.0,102.0,7.0,8.0,12.0,16.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,30.0,2.0,13.0,15.0,2.0,1.0,30.0,0.0,0.0,0.0,20.0,74.0,49.0,1.0,1.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Felipe Baloy,37.0,1981.0,DF,Panama,1.0,0.0,22.0,1.0,1.0,1.0,14.0,0.0,0.0,0.0,17.0,17.0,310.0,149.0,6.0,6.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21.0,4.0,12.0,8.0,1.0,1.0,21.0,0.0,0.0,0.0,13.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Ferjani Sassi,26.0,1992.0,MF,Tunisia,3.0,3.0,193.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,127.0,155.0,2240.0,643.0,59.0,66.0,45.0,49.0,18.0,30.0,0.0,3.0,15.0,4.0,0.0,18.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,5.0,173.0,2.0,28.0,123.0,23.0,1.0,172.0,2.0,1.0,1.0,100.0,289.0,181.0,1.0,0.0,0.0,1.0,2.0,134.0,5.0,5.0,2.0,1.0,2.0,2.0,0.0,3.0,3.0,2.0,0.0,2.0,2.0,2.0,0.0
Fernandinho,33.0,1985.0,MF,Brazil,5.0,1.0,158.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,110.0,123.0,1614.0,517.0,59.0,64.0,37.0,42.0,7.0,9.0,0.0,5.0,12.0,1.0,0.0,10.0,1.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,19.0,8.0,3.0,140.0,3.0,37.0,79.0,26.0,2.0,140.0,1.0,0.0,1.0,88.0,299.0,122.0,3.0,1.0,0.0,2.0,2.0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,2.0,8.0,1.0,0.0
Fidel Escobar,23.0,1995.0,DF,Panama,3.0,3.0,270.0,0.0,2.0,2.0,28.3,1.0,0.0,0.0,74.0,85.0,1727.0,668.0,27.0,28.0,29.0,32.0,17.0,24.0,0.0,0.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,5.0,119.0,20.0,57.0,59.0,3.0,1.0,119.0,0.0,0.0,0.0,56.0,171.0,87.0,0.0,1.0,1.0,2.0,1.0,66.0,0.0,8.0,3.0,8.0,0.0,0.0,3.0,3.0,0.0,4.0,3.0,1.0,3.0,10.0,0.0
Filip Bradarić,26.0,1992.0,MF,Croatia,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,114.0,62.0,8.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,1.0,7.0,3.0,2.0,0.0,12.0,0.0,0.0,0.0,8.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Filip Kostić,25.0,1992.0,FW,Serbia,3.0,2.0,165.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,318.0,51.0,18.0,24.0,3.0,11.0,2.0,7.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,3.0,0.0,7.0,0.0,0.0,0.0,7.0,1.0,2.0,68.0,0.0,9.0,23.0,38.0,6.0,68.0,8.0,4.0,4.0,44.0,361.0,176.0,6.0,4.0,1.0,2.0,5.0,48.0,13.0,8.0,5.0,4.0,3.0,1.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Filipe Luís,32.0,1985.0,DF,Brazil,2.0,1.0,171.0,0.0,1.0,1.0,27.4,0.0,0.0,0.0,116.0,136.0,1643.0,694.0,65.0,73.0,32.0,38.0,9.0,13.0,0.0,3.0,10.0,2.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,1.0,151.0,8.0,40.0,90.0,22.0,2.0,151.0,2.0,1.0,1.0,79.0,424.0,304.0,4.0,4.0,0.0,0.0,0.0,101.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0
Florian Thauvin,25.0,1993.0,FW,France,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francisco Calvo,25.0,1992.0,DF,Costa,2.0,1.0,106.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,58.0,718.0,306.0,30.0,32.0,15.0,17.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,3.0,3.0,77.0,11.0,26.0,32.0,20.0,0.0,77.0,1.0,0.0,1.0,31.0,92.0,42.0,0.0,0.0,0.0,2.0,0.0,29.0,1.0,7.0,5.0,7.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,4.0,0.0
Fyodor Kudryashov,31.0,1987.0,DF,Russia,4.0,3.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,127.0,1574.0,763.0,55.0,61.0,42.0,51.0,4.0,11.0,0.0,1.0,9.0,2.0,0.0,15.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,13.0,5.0,5.0,147.0,9.0,48.0,79.0,20.0,1.0,147.0,0.0,0.0,0.0,52.0,209.0,132.0,2.0,2.0,1.0,0.0,0.0,60.0,6.0,4.0,1.0,4.0,0.0,0.0,2.0,3.0,1.0,4.0,1.0,3.0,0.0,10.0,0.0
Fyodor Smolov,28.0,1990.0,FW,Russia,5.0,1.0,222.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,54.0,80.0,646.0,98.0,32.0,41.0,16.0,23.0,1.0,6.0,0.0,3.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,11.0,6.0,11.0,109.0,1.0,8.0,52.0,51.0,8.0,109.0,10.0,6.0,4.0,85.0,461.0,178.0,7.0,7.0,4.0,8.0,17.0,85.0,21.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0
Gabriel Gómez,34.0,1984.0,MF,Panama,3.0,3.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,119.0,2112.0,552.0,55.0,55.0,32.0,36.0,18.0,22.0,0.0,1.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,137.0,8.0,41.0,92.0,4.0,1.0,137.0,1.0,1.0,0.0,65.0,176.0,82.0,0.0,0.0,0.0,3.0,0.0,93.0,0.0,6.0,4.0,4.0,2.0,0.0,3.0,6.0,3.0,2.0,1.0,1.0,4.0,4.0,0.0
Gabriel Jesus,21.0,1997.0,FW,Brazil,5.0,5.0,404.0,0.0,9.0,1.0,11.0,0.0,0.0,0.0,74.0,103.0,927.0,175.0,44.0,57.0,21.0,27.0,3.0,5.0,1.0,4.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,6.0,3.0,3.0,2.0,0.0,0.0,0.0,12.0,9.0,8.0,156.0,5.0,12.0,65.0,81.0,31.0,156.0,12.0,6.0,6.0,91.0,432.0,201.0,7.0,4.0,8.0,8.0,7.0,104.0,29.0,6.0,6.0,1.0,4.0,1.0,0.0,3.0,3.0,7.0,0.0,7.0,6.0,4.0,0.0
Gabriel Mercado,31.0,1987.0,DF,Argentina,3.0,3.0,270.0,1.0,1.0,1.0,10.8,0.0,0.0,0.0,158.0,182.0,2077.0,522.0,109.0,114.0,40.0,51.0,3.0,10.0,1.0,1.0,5.0,1.0,1.0,15.0,1.0,0.0,0.0,8.0,5.0,0.0,4.0,0.0,0.0,0.0,9.0,4.0,5.0,213.0,7.0,43.0,137.0,33.0,2.0,213.0,2.0,1.0,1.0,142.0,558.0,330.0,6.0,4.0,0.0,2.0,0.0,148.0,8.0,8.0,4.0,3.0,5.0,0.0,4.0,7.0,3.0,2.0,1.0,1.0,2.0,9.0,0.0
Gabriel Torres,29.0,1988.0,FW,Panama,2.0,1.0,73.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,142.0,23.0,6.0,8.0,5.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,6.0,23.0,0.0,3.0,9.0,11.0,2.0,23.0,0.0,0.0,0.0,10.0,30.0,7.0,0.0,0.0,0.0,3.0,1.0,13.0,7.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Gaku Shibasaki,26.0,1992.0,MF,Japan,4.0,4.0,339.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,199.0,250.0,3453.0,1022.0,95.0,108.0,63.0,76.0,30.0,48.0,1.0,6.0,18.0,5.0,1.0,22.0,1.0,0.0,0.0,7.0,2.0,0.0,16.0,0.0,0.0,0.0,26.0,3.0,3.0,282.0,10.0,50.0,183.0,49.0,2.0,282.0,3.0,2.0,1.0,154.0,680.0,323.0,5.0,6.0,1.0,3.0,2.0,199.0,5.0,8.0,6.0,3.0,4.0,1.0,3.0,8.0,5.0,7.0,2.0,5.0,4.0,6.0,0.0
Gary Cahill,32.0,1985.0,DF,England,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,45.0,687.0,223.0,21.0,22.0,14.0,15.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,50.0,5.0,22.0,27.0,1.0,0.0,50.0,0.0,0.0,0.0,36.0,101.0,44.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,0.0
Gelson Martins,23.0,1995.0,FW,Portugal,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,83.0,15.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,15.0,0.0,4.0,7.0,5.0,0.0,15.0,3.0,1.0,2.0,12.0,46.0,23.0,0.0,0.0,0.0,2.0,1.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Gen Shoji,25.0,1992.0,DF,Japan,3.0,3.0,270.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,160.0,179.0,3045.0,1112.0,61.0,65.0,76.0,82.0,19.0,27.0,0.0,0.0,5.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,7.0,208.0,15.0,63.0,143.0,2.0,0.0,208.0,2.0,1.0,1.0,107.0,557.0,353.0,4.0,3.0,0.0,1.0,1.0,145.0,0.0,6.0,2.0,2.0,4.0,0.0,3.0,4.0,1.0,3.0,3.0,0.0,3.0,13.0,0.0
Genki Haraguchi,27.0,1991.0,FW,Japan,3.0,3.0,244.0,1.0,3.0,1.0,15.8,0.0,0.0,0.0,69.0,84.0,878.0,124.0,37.0,43.0,18.0,20.0,4.0,5.0,0.0,2.0,5.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,3.0,125.0,9.0,25.0,64.0,36.0,4.0,125.0,2.0,1.0,1.0,65.0,359.0,121.0,3.0,1.0,0.0,6.0,4.0,86.0,8.0,11.0,7.0,5.0,3.0,3.0,7.0,10.0,3.0,4.0,1.0,3.0,2.0,6.0,1.0
Gerard Piqué,31.0,1987.0,DF,Spain,4.0,4.0,390.0,0.0,9.0,2.0,12.4,0.0,0.0,0.0,328.0,355.0,6386.0,2239.0,108.0,115.0,188.0,196.0,29.0,41.0,0.0,2.0,43.0,0.0,0.0,23.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,26.0,21.0,12.0,394.0,15.0,125.0,247.0,23.0,11.0,394.0,1.0,0.0,1.0,302.0,1810.0,1388.0,11.0,7.0,1.0,3.0,0.0,299.0,0.0,3.0,2.0,2.0,1.0,0.0,3.0,5.0,2.0,1.0,1.0,0.0,5.0,16.0,0.0
Ghaylène Chaalali,24.0,1994.0,MF,Tunisia,1.0,1.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,66.0,81.0,1242.0,241.0,28.0,32.0,26.0,31.0,11.0,16.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,96.0,0.0,5.0,73.0,20.0,0.0,96.0,1.0,1.0,0.0,54.0,187.0,91.0,1.0,3.0,0.0,1.0,2.0,72.0,3.0,7.0,5.0,0.0,6.0,1.0,1.0,4.0,3.0,4.0,0.0,4.0,1.0,0.0,0.0
Giancarlo González,30.0,1988.0,DF,Costa,3.0,3.0,270.0,0.0,2.0,1.0,7.3,0.0,0.0,0.0,73.0,83.0,1733.0,484.0,10.0,11.0,46.0,48.0,17.0,23.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,7.0,124.0,21.0,69.0,53.0,3.0,3.0,124.0,1.0,0.0,1.0,56.0,281.0,130.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,2.0,4.0,23.0,0.0
Giorgian De Arrascaeta,24.0,1994.0,MF,Uruguay,2.0,1.0,86.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,50.0,764.0,211.0,17.0,18.0,13.0,18.0,7.0,10.0,0.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,4.0,1.0,0.0,62.0,0.0,5.0,33.0,25.0,2.0,62.0,3.0,2.0,1.0,47.0,250.0,126.0,4.0,3.0,0.0,5.0,3.0,46.0,8.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Giovani dos Santos,29.0,1989.0,FW,Mexico,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,72.0,1.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,7.0,2.0,1.0,10.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
