Player,Age,Born,Pos,Nation,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aleksandar Mitrović,23.0,1994.0,FW,Serbia,3.0,3.0,266.0,1.0,14.0,5.0,11.7,0.0,0.0,0.0,31.0,65.0,330.0,35.0,20.0,39.0,6.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,7.0,3.0,0.0,0.0,0.0,0.0,5.0,21.0,15.0,99.0,7.0,10.0,34.0,57.0,22.0,99.0,3.0,2.0,1.0,53.0,276.0,97.0,4.0,3.0,2.0,6.0,9.0,86.0,13.0,5.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,6.0,0.0
Aleksandar Prijović,28.0,1990.0,FW,Serbia,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,22.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandr Erokhin,28.0,1989.0,FW,Russia,2.0,0.0,91.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,127.0,54.0,6.0,9.0,0.0,2.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,6.0,28.0,2.0,4.0,9.0,15.0,7.0,28.0,2.0,1.0,1.0,10.0,68.0,36.0,1.0,0.0,2.0,3.0,0.0,17.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
Aleksandr Golovin,22.0,1996.0,MF,Russia,4.0,4.0,401.0,1.0,3.0,1.0,23.5,1.0,0.0,0.0,105.0,150.0,1575.0,442.0,60.0,70.0,34.0,50.0,6.0,17.0,2.0,6.0,5.0,2.0,1.0,9.0,1.0,0.0,0.0,15.0,4.0,0.0,14.0,0.0,0.0,0.0,27.0,4.0,3.0,194.0,3.0,31.0,80.0,91.0,11.0,194.0,7.0,5.0,2.0,118.0,730.0,349.0,14.0,9.0,7.0,10.0,10.0,113.0,20.0,13.0,5.0,3.0,6.0,4.0,3.0,9.0,6.0,8.0,0.0,8.0,5.0,3.0,0.0
Aleksandr Samedov,33.0,1984.0,FW,Russia,5.0,5.0,356.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,114.0,159.0,1569.0,505.0,66.0,74.0,28.0,44.0,10.0,23.0,0.0,5.0,6.0,8.0,3.0,14.0,0.0,0.0,0.0,8.0,8.0,0.0,20.0,0.0,0.0,0.0,27.0,4.0,6.0,190.0,1.0,27.0,75.0,91.0,6.0,190.0,8.0,5.0,3.0,119.0,508.0,206.0,3.0,9.0,0.0,10.0,1.0,126.0,20.0,6.0,5.0,4.0,2.0,0.0,3.0,9.0,6.0,3.0,0.0,3.0,2.0,3.0,0.0
Aleksei Miranchuk,22.0,1995.0,MF,Russia,1.0,1.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,21.0,249.0,10.0,6.0,7.0,7.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,27.0,0.0,3.0,18.0,7.0,0.0,27.0,0.0,0.0,0.0,19.0,65.0,27.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Iwobi,22.0,1996.0,FW,Nigeria,3.0,1.0,63.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,23.0,320.0,113.0,10.0,10.0,6.0,7.0,2.0,4.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,35.0,2.0,6.0,16.0,13.0,3.0,35.0,3.0,1.0,2.0,23.0,125.0,31.0,1.0,3.0,1.0,3.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
Alfred N'Diaye,28.0,1990.0,MF,Senegal,2.0,2.0,149.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,46.0,782.0,248.0,10.0,11.0,20.0,23.0,8.0,11.0,0.0,0.0,8.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,57.0,1.0,15.0,37.0,5.0,3.0,57.0,1.0,1.0,0.0,22.0,88.0,35.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0
Alfreð Finnbogason,29.0,1989.0,FW,Iceland,3.0,3.0,262.0,1.0,5.0,2.0,12.4,0.0,0.0,0.0,39.0,55.0,499.0,82.0,22.0,34.0,10.0,11.0,2.0,3.0,0.0,4.0,3.0,2.0,0.0,6.0,1.0,0.0,0.0,6.0,2.0,1.0,1.0,1.0,0.0,0.0,10.0,6.0,11.0,79.0,1.0,9.0,40.0,33.0,10.0,79.0,3.0,3.0,0.0,55.0,174.0,67.0,2.0,1.0,0.0,6.0,6.0,52.0,20.0,4.0,1.0,0.0,2.0,2.0,0.0,5.0,5.0,2.0,0.0,2.0,3.0,1.0,0.0
Ali Al-Bulaihi,28.0,1989.0,DF,Saudi,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,41.0,643.0,281.0,19.0,20.0,11.0,14.0,5.0,7.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,51.0,6.0,28.0,23.0,0.0,0.0,51.0,0.0,0.0,0.0,26.0,122.0,81.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,5.0,1.0
