Player,Pos,Nation,Age,Born,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Vitinha,MF,Portugal,22.0,2000.0,3.0,1.0,120.0,0.0,2.0,2.0,28.2,0.0,0.0,0.0,100.0,108.0,1762.0,378.0,51.0,54.0,36.0,39.0,12.0,13.0,0.0,1.0,15.0,2.0,0.0,14.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,118.0,1.0,7.0,79.0,32.0,0.0,118.0,2.0,1.0,1.0,89.0,412.0,215.0,2.0,3.0,0.0,2.0,1.0,102.0,7.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
Steven Vitória,DF,Canada,35.0,1987.0,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,186.0,2837.0,1119.0,77.0,83.0,66.0,70.0,16.0,30.0,0.0,0.0,8.0,0.0,0.0,10.0,1.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,2.0,204.0,14.0,85.0,118.0,1.0,0.0,204.0,1.0,0.0,0.0,102.0,476.0,289.0,0.0,0.0,0.0,1.0,1.0,142.0,0.0,3.0,3.0,1.0,2.0,0.0,3.0,3.0,0.0,4.0,2.0,2.0,0.0,7.0,0.0
Dušan Vlahović,FW,Serbia,22.0,2000.0,2.0,1.0,79.0,1.0,3.0,3.0,10.9,0.0,0.0,0.0,6.0,11.0,105.0,20.0,2.0,6.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,20.0,0.0,4.0,8.0,8.0,3.0,20.0,1.0,0.0,1.0,11.0,19.0,2.0,0.0,0.0,0.0,3.0,1.0,14.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikola Vlašić,FW,Croatia,24.0,1997.0,6.0,1.0,209.0,0.0,5.0,1.0,17.2,0.0,0.0,0.0,45.0,55.0,570.0,94.0,27.0,27.0,15.0,18.0,0.0,2.0,0.0,0.0,4.0,2.0,1.0,4.0,0.0,0.0,0.0,4.0,6.0,0.0,4.0,0.0,0.0,0.0,10.0,2.0,6.0,81.0,1.0,10.0,35.0,38.0,8.0,81.0,9.0,3.0,2.0,58.0,296.0,119.0,4.0,3.0,1.0,5.0,6.0,63.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0
Mohammed Waad,MF,Qatar,22.0,1999.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,185.0,28.0,6.0,8.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,5.0,8.0,3.0,0.0,16.0,1.0,1.0,0.0,10.0,53.0,22.0,0.0,0.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Kyle Walker,DF,England,32.0,1990.0,3.0,3.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,181.0,3151.0,837.0,65.0,68.0,76.0,83.0,20.0,28.0,0.0,0.0,11.0,2.0,0.0,18.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,10.0,4.0,2.0,197.0,3.0,54.0,119.0,27.0,0.0,197.0,3.0,2.0,0.0,130.0,452.0,203.0,3.0,0.0,0.0,1.0,0.0,129.0,4.0,3.0,1.0,2.0,1.0,0.0,3.0,5.0,2.0,2.0,0.0,2.0,3.0,3.0,0.0
Kendall Waston,DF,Costa,34.0,1988.0,3.0,2.0,225.0,0.0,1.0,1.0,10.5,0.0,0.0,0.0,57.0,71.0,1225.0,437.0,16.0,19.0,32.0,35.0,8.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,3.0,107.0,30.0,75.0,28.0,4.0,3.0,107.0,0.0,0.0,0.0,52.0,169.0,67.0,0.0,0.0,0.0,1.0,1.0,59.0,0.0,7.0,4.0,6.0,1.0,0.0,3.0,4.0,1.0,2.0,1.0,1.0,5.0,14.0,0.0
Timothy Weah,FW,United,22.0,2000.0,4.0,4.0,316.0,1.0,5.0,3.0,17.5,0.0,0.0,0.0,90.0,108.0,1291.0,206.0,58.0,67.0,21.0,23.0,7.0,10.0,0.0,6.0,6.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,8.0,0.0,0.0,0.0,10.0,2.0,3.0,133.0,0.0,9.0,55.0,72.0,11.0,133.0,2.0,2.0,0.0,83.0,512.0,127.0,5.0,4.0,3.0,9.0,5.0,102.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0
Wout Weghorst,FW,Netherlands,29.0,1992.0,4.0,0.0,64.0,2.0,2.0,2.0,12.0,0.0,0.0,0.0,9.0,15.0,115.0,32.0,4.0,6.0,2.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,22.0,0.0,2.0,11.0,9.0,4.0,22.0,0.0,0.0,0.0,11.0,24.0,3.0,0.0,0.0,0.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Silvan Widmer,DF,Switzerland,29.0,1993.0,3.0,3.0,265.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,127.0,169.0,2070.0,814.0,62.0,70.0,53.0,70.0,10.0,20.0,1.0,2.0,12.0,3.0,2.0,14.0,1.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,13.0,3.0,1.0,211.0,13.0,70.0,95.0,47.0,6.0,211.0,2.0,1.0,0.0,85.0,421.0,239.0,5.0,8.0,1.0,5.0,6.0,126.0,15.0,10.0,6.0,9.0,1.0,0.0,6.0,6.0,0.0,3.0,0.0,3.0,2.0,15.0,0.0
