Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Kiril Despodov,24.0,1996.0,BUL,FW,Ludogorets,6.0,5.0,413.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,17.5,2.0,1101.0,334.0,39.0,52.0,21.0,38.0,7.0,18.0,7.0,2.0,3.0,0.0,0.0,6.0,11.0,8.0,8.0,0.0,0.0,0.0,20.0,1.0,5.0,175.0,0.0,17.0,87.0,90.0,5.0,155.0,7.0,20.0,8.0,1.0,123.0,685.0,469.0,21.0,8.0,2.0,14.0,8.0,210.0,120.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,18.0,18.0,25.0,17.0,5.0,0.0,0.0,5.0,4.0,0.0,0.0
Kirill Zinovich,18.0,2003.0,BLR,MF,Loko,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,12.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koji Miyoshi,24.0,1997.0,JPN,MF,Antwerp,3.0,1.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,685.0,236.0,16.0,20.0,9.0,18.0,8.0,11.0,4.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,8.0,1.0,1.0,68.0,0.0,8.0,30.0,38.0,4.0,60.0,3.0,6.0,4.0,0.0,38.0,188.0,102.0,6.0,3.0,1.0,3.0,2.0,55.0,42.0,10.0,2.0,1.0,2.0,0.0,2.0,4.0,24.0,3.0,14.0,5.0,5.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0
Komnen Andrić,26.0,1995.0,SRB,FW,Dinamo,5.0,2.0,216.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,15.2,0.0,672.0,70.0,21.0,27.0,17.0,27.0,3.0,5.0,1.0,5.0,1.0,0.0,0.0,6.0,8.0,2.0,0.0,0.0,0.0,0.0,10.0,12.0,15.0,99.0,3.0,9.0,61.0,32.0,9.0,95.0,4.0,5.0,5.0,0.0,58.0,241.0,78.0,2.0,2.0,0.0,10.0,4.0,130.0,76.0,11.0,0.0,0.0,1.0,0.0,0.0,2.0,31.0,11.0,7.0,16.0,8.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
Konrad De La Fuente,20.0,2001.0,USA,FW,Marseille,4.0,1.0,155.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,24.2,0.0,597.0,101.0,28.0,37.0,9.0,16.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,2.0,83.0,0.0,4.0,19.0,65.0,20.0,82.0,12.0,18.0,12.0,0.0,82.0,473.0,263.0,18.0,1.0,6.0,5.0,3.0,89.0,68.0,19.0,1.0,1.0,0.0,0.0,1.0,0.0,32.0,15.0,3.0,18.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Konrad Laimer,24.0,1997.0,AUT,MF,RB,6.0,6.0,468.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,4.0,20.4,0.0,4010.0,961.0,116.0,124.0,92.0,106.0,20.0,30.0,4.0,11.0,9.0,3.0,0.0,9.0,5.0,1.0,6.0,0.0,0.0,0.0,42.0,7.0,11.0,324.0,8.0,75.0,192.0,95.0,15.0,315.0,5.0,6.0,5.0,0.0,241.0,1515.0,1002.0,38.0,16.0,4.0,5.0,9.0,255.0,234.0,19.0,9.0,10.0,3.0,2.0,3.0,11.0,155.0,49.0,66.0,65.0,24.0,7.0,0.0,0.0,7.0,6.0,3.0,0.0
Konstantin Maradishvili,21.0,2000.0,RUS,MF,Loko,6.0,5.0,417.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,19.5,0.0,1829.0,591.0,53.0,66.0,38.0,51.0,10.0,24.0,5.0,9.0,4.0,0.0,0.0,15.0,7.0,0.0,4.0,0.0,0.0,0.0,28.0,2.0,7.0,203.0,8.0,36.0,116.0,60.0,5.0,187.0,8.0,15.0,9.0,1.0,143.0,560.0,317.0,17.0,7.0,1.0,9.0,10.0,179.0,134.0,24.0,5.0,1.0,5.0,1.0,1.0,11.0,124.0,39.0,30.0,74.0,20.0,10.0,0.0,0.0,10.0,7.0,1.0,0.0
Kostas Manolas,30.0,1991.0,GRE,DF,Napoli,5.0,4.0,354.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,3331.0,879.0,46.0,50.0,105.0,111.0,14.0,22.0,0.0,5.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,27.0,13.0,3.0,226.0,37.0,118.0,115.0,4.0,1.0,217.0,0.0,0.0,0.0,0.0,131.0,750.0,339.0,11.0,1.0,0.0,0.0,0.0,149.0,147.0,0.0,2.0,7.0,0.0,1.0,3.0,1.0,30.0,8.0,23.0,5.0,2.0,5.0,2.0,0.0,3.0,2.0,23.0,0.0
Koya Kitagawa,25.0,1996.0,JPN,FW,Rapid,5.0,1.0,157.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.2,0.0,424.0,77.0,12.0,16.0,9.0,13.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,5.0,45.0,1.0,7.0,24.0,16.0,4.0,43.0,0.0,1.0,0.0,0.0,24.0,145.0,96.0,4.0,2.0,1.0,1.0,0.0,58.0,25.0,5.0,2.0,1.0,0.0,1.0,0.0,2.0,43.0,7.0,9.0,25.0,9.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
Krepin Diatta,22.0,1999.0,SEN,MF,Monaco,3.0,2.0,196.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,17.2,0.0,850.0,202.0,43.0,51.0,17.0,25.0,1.0,5.0,3.0,5.0,5.0,1.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,11.0,3.0,2.0,117.0,2.0,11.0,45.0,68.0,13.0,116.0,6.0,9.0,6.0,0.0,91.0,498.0,308.0,18.0,4.0,4.0,6.0,7.0,118.0,95.0,20.0,3.0,1.0,2.0,2.0,3.0,1.0,23.0,4.0,4.0,11.0,8.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0
