Player,Pos,Nation,Age,Born,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Nikolai Alho,DF,Finland,27.0,1993.0,1.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,40.0,11.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,1.0,6.0,2.0,9.0,0.0,0.0,0.0,7.0,61.0,43.0,2.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ezgjan Alioski,DF,N.,28.0,1992.0,3.0,3.0,270.0,1.0,2.0,1.0,22.3,0.0,0.0,1.0,126.0,176.0,2276.0,1035.0,62.0,71.0,47.0,58.0,16.0,36.0,0.0,3.0,12.0,3.0,1.0,17.0,2.0,0.0,0.0,5.0,4.0,0.0,14.0,0.0,0.0,0.0,13.0,1.0,3.0,213.0,6.0,56.0,95.0,63.0,4.0,212.0,7.0,0.0,7.0,82.0,674.0,428.0,7.0,10.0,1.0,13.0,1.0,122.0,16.0,9.0,5.0,3.0,2.0,4.0,4.0,8.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0
Joe Allen,MF,Wales,30.0,1990.0,4.0,4.0,337.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,113.0,128.0,1845.0,421.0,51.0,55.0,48.0,57.0,11.0,12.0,0.0,1.0,9.0,0.0,0.0,7.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,7.0,158.0,12.0,43.0,89.0,28.0,5.0,158.0,2.0,1.0,1.0,85.0,431.0,245.0,6.0,3.0,1.0,4.0,3.0,99.0,7.0,4.0,3.0,1.0,1.0,2.0,2.0,11.0,9.0,2.0,1.0,1.0,4.0,8.0,0.0
Ethan Ampadu,DF,Wales,20.0,2000.0,3.0,1.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,33.0,541.0,203.0,9.0,11.0,14.0,15.0,4.0,5.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,43.0,7.0,20.0,18.0,5.0,0.0,43.0,0.0,0.0,0.0,22.0,161.0,67.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
Joachim Andersen,DF,Denmark,24.0,1996.0,3.0,0.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,38.0,733.0,279.0,11.0,11.0,20.0,20.0,4.0,6.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,51.0,9.0,26.0,22.0,4.0,1.0,51.0,0.0,0.0,0.0,25.0,190.0,121.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,5.0,0.0
Paulus Arajuuri,DF,Finland,32.0,1988.0,3.0,3.0,270.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,83.0,96.0,1452.0,542.0,33.0,36.0,42.0,47.0,6.0,10.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,16.0,11.0,10.0,132.0,27.0,83.0,44.0,6.0,1.0,132.0,0.0,0.0,0.0,52.0,240.0,127.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,6.0,5.0,1.0,5.0,18.0,0.0
Stuart Armstrong,MF,Scotland,28.0,1992.0,3.0,2.0,150.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,47.0,60.0,833.0,253.0,16.0,19.0,24.0,29.0,4.0,6.0,0.0,2.0,5.0,4.0,1.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,4.0,83.0,2.0,7.0,49.0,31.0,2.0,83.0,3.0,1.0,2.0,45.0,355.0,197.0,4.0,6.0,0.0,5.0,1.0,49.0,7.0,4.0,2.0,2.0,2.0,0.0,2.0,7.0,5.0,1.0,0.0,1.0,1.0,2.0,0.0
Marko Arnautović,FW,Austria,31.0,1989.0,3.0,2.0,217.0,1.0,8.0,3.0,19.0,0.0,0.0,0.0,45.0,65.0,580.0,90.0,29.0,39.0,14.0,18.0,1.0,2.0,0.0,4.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,7.0,5.0,4.0,86.0,2.0,3.0,45.0,40.0,11.0,86.0,7.0,6.0,1.0,41.0,245.0,83.0,3.0,4.0,0.0,5.0,6.0,66.0,11.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Ludwig Augustinsson,DF,Sweden,26.0,1994.0,4.0,4.0,349.0,0.0,1.0,1.0,8.6,0.0,0.0,0.0,78.0,134.0,1238.0,541.0,40.0,49.0,27.0,46.0,7.0,31.0,0.0,1.0,6.0,3.0,2.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,13.0,0.0,0.0,0.0,24.0,7.0,5.0,159.0,17.0,55.0,62.0,44.0,5.0,159.0,2.0,1.0,1.0,70.0,379.0,150.0,6.0,3.0,1.0,2.0,0.0,72.0,20.0,3.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,2.0,1.0,10.0,0.0
Daniel Avramovski,MF,N.,25.0,1995.0,1.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,76.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,2.0,3.0,1.0,1.0,6.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaan Ayhan,MF,Türkiye,26.0,1994.0,3.0,2.0,180.0,0.0,3.0,2.0,16.2,0.0,0.0,0.0,117.0,127.0,2112.0,749.0,50.0,53.0,55.0,55.0,11.0,16.0,0.0,2.0,9.0,1.0,0.0,9.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,6.0,144.0,9.0,49.0,81.0,15.0,3.0,144.0,2.0,1.0,1.0,108.0,347.0,184.0,0.0,2.0,0.0,1.0,0.0,113.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,7.0,0.0
César Azpilicueta,DF,Spain,31.0,1989.0,4.0,4.0,400.0,1.0,5.0,3.0,10.7,0.0,0.0,0.0,285.0,329.0,4157.0,1209.0,169.0,179.0,102.0,122.0,8.0,12.0,0.0,4.0,20.0,3.0,1.0,27.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,22.0,7.0,2.0,363.0,9.0,65.0,214.0,85.0,14.0,363.0,1.0,0.0,1.0,197.0,1010.0,554.0,12.0,7.0,0.0,4.0,2.0,255.0,23.0,3.0,1.0,0.0,3.0,0.0,2.0,3.0,1.0,5.0,1.0,4.0,1.0,4.0,0.0
Gareth Bale,MF,Wales,31.0,1989.0,4.0,4.0,355.0,0.0,9.0,2.0,17.7,0.0,0.0,1.0,70.0,105.0,1528.0,581.0,29.0,32.0,28.0,36.0,13.0,29.0,2.0,6.0,15.0,9.0,1.0,16.0,1.0,0.0,0.0,3.0,6.0,0.0,10.0,1.0,0.0,0.0,5.0,7.0,11.0,144.0,5.0,14.0,65.0,66.0,14.0,143.0,6.0,3.0,3.0,90.0,745.0,312.0,11.0,11.0,4.0,5.0,7.0,109.0,16.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,3.0,3.0,5.0,0.0
Antonín Barák,MF,Czech,26.0,1994.0,3.0,2.0,183.0,0.0,3.0,1.0,19.7,0.0,0.0,0.0,81.0,99.0,1344.0,440.0,43.0,45.0,27.0,34.0,10.0,17.0,0.0,4.0,4.0,3.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,1.0,4.0,113.0,0.0,13.0,53.0,50.0,1.0,113.0,6.0,4.0,2.0,65.0,418.0,201.0,4.0,6.0,0.0,3.0,5.0,76.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0
