Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aaron Ramsey,30.0,1990.0,WAL,MF,Juventus,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,386.0,78.0,8.0,8.0,11.0,11.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,1.0,4.0,9.0,12.0,0.0,25.0,1.0,1.0,0.0,17.0,89.0,29.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
Aaron Wan-Bissaka,23.0,1997.0,ENG,DF,Manchester,6.0,5.0,419.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,251.0,301.0,3734.0,1148.0,143.0,155.0,86.0,104.0,11.0,21.0,0.0,1.0,11.0,3.0,0.0,19.0,0.0,1.0,0.0,4.0,2.0,0.0,9.0,0.0,0.0,0.0,34.0,1.0,3.0,353.0,17.0,125.0,160.0,73.0,4.0,353.0,10.0,8.0,2.0,173.0,1235.0,764.0,15.0,7.0,0.0,6.0,4.0,224.0,12.0,12.0,7.0,4.0,4.0,4.0,5.0,6.0,1.0,4.0,1.0,3.0,11.0,8.0,0.0
Abdou Diallo,25.0,1996.0,SEN,DF,Paris,2.0,2.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,126.0,1992.0,981.0,41.0,46.0,50.0,57.0,12.0,15.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,1.0,152.0,25.0,80.0,66.0,6.0,0.0,152.0,2.0,1.0,1.0,86.0,473.0,305.0,0.0,0.0,0.0,0.0,1.0,97.0,1.0,6.0,2.0,5.0,1.0,0.0,1.0,3.0,2.0,6.0,3.0,3.0,5.0,9.0,0.0
Achraf Hakimi,22.0,1998.0,MAR,DF,Paris,8.0,8.0,717.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,436.0,485.0,5446.0,1397.0,269.0,287.0,117.0,127.0,9.0,16.0,0.0,6.0,19.0,2.0,0.0,16.0,2.0,0.0,0.0,3.0,7.0,0.0,9.0,1.0,0.0,0.0,42.0,1.0,5.0,565.0,31.0,189.0,243.0,136.0,14.0,565.0,21.0,11.0,10.0,288.0,1345.0,711.0,16.0,11.0,5.0,11.0,5.0,394.0,47.0,16.0,6.0,11.0,3.0,2.0,12.0,28.0,16.0,13.0,2.0,11.0,5.0,15.0,0.0
Adama Traoré,26.0,1995.0,MLI,FW,Sheriff,6.0,6.0,529.0,2.0,11.0,5.0,18.4,0.0,0.0,0.0,73.0,102.0,1091.0,175.0,49.0,60.0,21.0,32.0,3.0,5.0,1.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,8.0,7.0,1.0,3.0,0.0,0.0,0.0,20.0,14.0,16.0,177.0,13.0,42.0,77.0,63.0,16.0,177.0,19.0,12.0,7.0,109.0,741.0,320.0,12.0,9.0,5.0,15.0,11.0,113.0,23.0,8.0,6.0,3.0,4.0,1.0,2.0,11.0,9.0,6.0,2.0,4.0,6.0,7.0,0.0
Adel Taarabt,32.0,1989.0,MAR,MF,Benfica,9.0,4.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,157.0,1927.0,474.0,63.0,78.0,47.0,52.0,9.0,11.0,0.0,2.0,7.0,1.0,0.0,15.0,2.0,0.0,0.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,32.0,1.0,1.0,188.0,6.0,42.0,117.0,33.0,2.0,188.0,13.0,7.0,6.0,112.0,653.0,262.0,7.0,1.0,1.0,5.0,5.0,116.0,7.0,3.0,2.0,3.0,0.0,0.0,3.0,10.0,7.0,3.0,0.0,3.0,3.0,1.0,0.0
Adi Nalic,23.0,1997.0,BIH,MF,Malmö,5.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,45.0,386.0,81.0,26.0,29.0,6.0,8.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,9.0,1.0,4.0,56.0,1.0,12.0,30.0,16.0,2.0,56.0,2.0,2.0,0.0,41.0,224.0,93.0,3.0,1.0,0.0,2.0,6.0,41.0,7.0,5.0,4.0,3.0,2.0,0.0,3.0,6.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0
Adrien Rabiot,26.0,1995.0,FRA,MF,Juventus,7.0,6.0,536.0,0.0,7.0,2.0,24.2,0.0,0.0,0.0,249.0,286.0,3950.0,955.0,110.0,124.0,101.0,108.0,19.0,24.0,0.0,0.0,23.0,4.0,0.0,25.0,2.0,0.0,0.0,6.0,4.0,0.0,5.0,0.0,0.0,0.0,44.0,8.0,8.0,360.0,13.0,74.0,202.0,88.0,8.0,360.0,4.0,3.0,1.0,213.0,1233.0,577.0,14.0,9.0,2.0,13.0,5.0,245.0,16.0,14.0,11.0,7.0,5.0,2.0,4.0,9.0,5.0,9.0,1.0,8.0,7.0,7.0,0.0
Alan Patrick,30.0,1991.0,BRA,MF,Shakhtar,4.0,3.0,266.0,0.0,6.0,1.0,22.8,0.0,0.0,0.0,123.0,149.0,1891.0,509.0,67.0,75.0,39.0,43.0,10.0,14.0,1.0,6.0,13.0,4.0,0.0,18.0,0.0,0.0,0.0,5.0,6.0,0.0,5.0,0.0,0.0,0.0,16.0,0.0,2.0,171.0,4.0,21.0,86.0,68.0,4.0,171.0,12.0,10.0,2.0,113.0,627.0,332.0,11.0,7.0,2.0,3.0,5.0,139.0,13.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0
Alberto Moreno,29.0,1992.0,ESP,MF,Villarreal,7.0,3.0,311.0,1.0,3.0,2.0,10.4,0.0,0.0,0.0,118.0,148.0,1747.0,393.0,60.0,66.0,53.0,65.0,2.0,8.0,0.0,6.0,6.0,5.0,1.0,16.0,2.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,6.0,176.0,6.0,40.0,52.0,86.0,8.0,176.0,7.0,2.0,5.0,110.0,535.0,237.0,6.0,11.0,1.0,6.0,5.0,135.0,20.0,2.0,1.0,2.0,0.0,0.0,2.0,5.0,3.0,1.0,0.0,1.0,5.0,3.0,0.0
