Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aaron Ramsey,28.0,1990.0,WAL,MF,Juventus,6.0,2.0,202.0,1.0,3.0,1.0,11.9,0.0,0.0,0.0,93.0,107.0,1246.0,212.0,56.0,58.0,28.0,30.0,3.0,4.0,0.0,4.0,8.0,3.0,0.0,11.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,130.0,3.0,7.0,58.0,65.0,8.0,130.0,1.0,0.0,1.0,67.0,394.0,157.0,3.0,3.0,1.0,6.0,1.0,110.0,11.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Abdou Diallo,23.0,1996.0,SEN,DF,Paris,3.0,1.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,84.0,1053.0,452.0,40.0,43.0,27.0,30.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,90.0,7.0,37.0,49.0,4.0,0.0,90.0,0.0,0.0,0.0,60.0,258.0,178.0,0.0,1.0,0.0,0.0,0.0,67.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0
Abdulla Yusuf Helal,26.0,1993.0,BHR,FW,Slavia,2.0,0.0,38.0,0.0,2.0,1.0,9.2,0.0,0.0,0.0,7.0,10.0,60.0,16.0,5.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,15.0,0.0,0.0,6.0,10.0,3.0,15.0,1.0,0.0,1.0,12.0,64.0,22.0,1.0,3.0,0.0,1.0,3.0,14.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Achraf Hakimi,20.0,1998.0,MAR,MF,Dortmund,8.0,8.0,707.0,4.0,16.0,5.0,15.4,0.0,0.0,0.0,432.0,521.0,6013.0,1810.0,270.0,301.0,124.0,148.0,20.0,34.0,0.0,10.0,23.0,12.0,6.0,32.0,0.0,0.0,0.0,9.0,15.0,1.0,27.0,0.0,0.0,0.0,37.0,3.0,4.0,614.0,15.0,150.0,221.0,247.0,36.0,614.0,28.0,17.0,11.0,365.0,2081.0,1177.0,40.0,18.0,15.0,15.0,12.0,457.0,78.0,20.0,5.0,11.0,6.0,3.0,14.0,17.0,3.0,6.0,1.0,5.0,7.0,10.0,0.0
Adama Soumaoro,27.0,1992.0,FRA,DF,Lille,1.0,1.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,32.0,501.0,241.0,7.0,8.0,16.0,19.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,40.0,4.0,23.0,17.0,0.0,0.0,40.0,0.0,0.0,0.0,12.0,37.0,14.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0
Adel Taarabt,30.0,1989.0,MAR,MF,Benfica,4.0,4.0,360.0,0.0,8.0,1.0,23.9,0.0,0.0,0.0,208.0,244.0,3538.0,1007.0,109.0,122.0,65.0,76.0,28.0,31.0,1.0,4.0,28.0,2.0,0.0,36.0,1.0,0.0,0.0,3.0,9.0,0.0,5.0,0.0,0.0,0.0,37.0,2.0,2.0,287.0,9.0,43.0,170.0,78.0,6.0,287.0,15.0,11.0,4.0,191.0,1171.0,730.0,16.0,11.0,3.0,7.0,5.0,217.0,12.0,4.0,2.0,2.0,1.0,1.0,3.0,9.0,6.0,2.0,0.0,2.0,3.0,6.0,0.0
Adem Büyük,31.0,1987.0,TUR,FW,Galatasaray,2.0,1.0,93.0,1.0,3.0,1.0,10.2,0.0,0.0,0.0,16.0,25.0,161.0,11.0,12.0,16.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,8.0,37.0,1.0,3.0,19.0,15.0,4.0,37.0,2.0,1.0,1.0,24.0,79.0,24.0,0.0,2.0,0.0,4.0,2.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Ademola Lookman,21.0,1997.0,NGA,FW,RB,1.0,1.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,23.0,211.0,30.0,13.0,14.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,1.0,11.0,16.0,1.0,28.0,0.0,0.0,0.0,20.0,131.0,54.0,3.0,2.0,0.0,2.0,4.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrien Rabiot,24.0,1995.0,FRA,MF,Juventus,5.0,4.0,367.0,0.0,2.0,1.0,17.8,0.0,0.0,0.0,184.0,226.0,2539.0,543.0,103.0,116.0,69.0,80.0,2.0,8.0,0.0,9.0,9.0,5.0,3.0,15.0,0.0,0.0,0.0,5.0,11.0,1.0,17.0,0.0,0.0,0.0,30.0,12.0,6.0,268.0,4.0,48.0,137.0,89.0,7.0,268.0,10.0,6.0,4.0,162.0,1006.0,576.0,18.0,15.0,1.0,11.0,2.0,194.0,31.0,12.0,8.0,6.0,3.0,3.0,6.0,13.0,7.0,3.0,2.0,1.0,1.0,3.0,1.0
Adrien Tameze,25.0,1994.0,CMR,MF,Atalanta,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,17.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
