Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Abbas Huseynov,26.0,1995.0,AZE,DF,Qarabağ,6.0,6.0,509.0,1.0,2.0,1.0,12.6,0.0,0.0,0.0,200.0,254.0,3096.0,1136.0,101.0,123.0,88.0,106.0,7.0,16.0,0.0,13.0,11.0,10.0,4.0,19.0,0.0,0.0,0.0,7.0,9.0,5.0,14.0,0.0,0.0,0.0,26.0,10.0,10.0,295.0,13.0,65.0,120.0,112.0,14.0,295.0,8.0,4.0,4.0,131.0,558.0,279.0,12.0,4.0,6.0,4.0,4.0,136.0,33.0,7.0,6.0,1.0,3.0,3.0,3.0,9.0,6.0,4.0,0.0,4.0,8.0,5.0,0.0
Abdellah Zoubir,29.0,1991.0,FRA,FW,Qarabağ,8.0,8.0,707.0,1.0,16.0,5.0,13.5,0.0,0.0,0.0,308.0,388.0,4487.0,941.0,185.0,212.0,106.0,124.0,12.0,22.0,1.0,26.0,18.0,15.0,3.0,41.0,0.0,0.0,0.0,7.0,11.0,2.0,20.0,0.0,0.0,0.0,41.0,4.0,10.0,496.0,0.0,20.0,153.0,328.0,75.0,496.0,67.0,39.0,28.0,353.0,2633.0,1276.0,56.0,31.0,37.0,28.0,24.0,404.0,119.0,3.0,2.0,1.0,2.0,0.0,0.0,4.0,4.0,3.0,0.0,3.0,1.0,1.0,0.0
Adam Hložek,19.0,2002.0,CZE,MF,Sparta,2.0,2.0,180.0,1.0,2.0,2.0,14.5,0.0,0.0,0.0,30.0,46.0,372.0,79.0,19.0,27.0,9.0,14.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,5.0,71.0,2.0,12.0,28.0,34.0,6.0,71.0,3.0,2.0,1.0,52.0,376.0,189.0,8.0,4.0,2.0,8.0,5.0,54.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0
Adam Karabec,18.0,2003.0,CZE,MF,Sparta,2.0,1.0,77.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,30.0,205.0,50.0,8.0,13.0,2.0,6.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,2.0,40.0,0.0,4.0,20.0,17.0,1.0,40.0,4.0,2.0,2.0,30.0,151.0,65.0,2.0,1.0,0.0,3.0,1.0,25.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Pudil,16.0,2005.0,CZE,FW,Slavia,1.0,1.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,49.0,10.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,18.0,3.0,7.0,7.0,4.0,1.0,18.0,2.0,2.0,0.0,11.0,24.0,14.0,0.0,0.0,0.0,4.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adar Azrual,19.0,2002.0,ISR,DF,Maccabi,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19.0,354.0,231.0,4.0,5.0,7.0,10.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,23.0,1.0,9.0,11.0,3.0,0.0,23.0,0.0,0.0,0.0,10.0,77.0,28.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Ademola Lookman,23.0,1997.0,NGA,FW,Leicester,8.0,4.0,453.0,0.0,8.0,2.0,11.6,0.0,0.0,0.0,133.0,170.0,1574.0,503.0,93.0,104.0,30.0,42.0,2.0,3.0,3.0,13.0,7.0,5.0,0.0,11.0,0.0,0.0,0.0,6.0,7.0,3.0,8.0,0.0,0.0,0.0,25.0,1.0,4.0,243.0,4.0,19.0,110.0,117.0,30.0,243.0,17.0,10.0,7.0,173.0,842.0,337.0,7.0,11.0,5.0,18.0,19.0,182.0,51.0,12.0,7.0,1.0,10.0,1.0,4.0,11.0,7.0,10.0,0.0,10.0,4.0,1.0,0.0
Adewale Oladoye,19.0,2001.0,NGA,MF,Gent,3.0,0.0,9.0,0.0,1.0,1.0,28.9,0.0,0.0,0.0,1.0,3.0,21.0,18.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,2.0,4.0,1.0,0.0,7.0,0.0,0.0,0.0,4.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adler Da Silva,22.0,1998.0,SUI,FW,Slovan,6.0,1.0,126.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,38.0,371.0,104.0,18.0,20.0,5.0,7.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,48.0,2.0,4.0,23.0,22.0,2.0,48.0,4.0,3.0,1.0,30.0,160.0,83.0,1.0,1.0,1.0,2.0,1.0,35.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Adrian Durrer,20.0,2001.0,SUI,DF,Basel,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,78.0,9.0,3.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,2.0,6.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
