Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aaron Ramsey,27.0,1990.0,WAL,MF,Arsenal,7.0,6.0,477.0,2.0,11.0,4.0,18.1,1.0,1.0,1.0,297.0,354.0,4746.0,1174.0,154.0,173.0,97.0,113.0,27.0,37.0,1.0,8.0,35.0,5.0,0.0,49.0,0.0,0.0,0.0,8.0,9.0,2.0,8.0,1.0,0.0,0.0,35.0,4.0,6.0,408.0,1.0,40.0,235.0,137.0,28.0,407.0,11.0,7.0,4.0,218.0,1339.0,572.0,14.0,6.0,3.0,7.0,7.0,312.0,27.0,9.0,5.0,2.0,4.0,3.0,0.0,4.0,4.0,6.0,0.0,6.0,7.0,1.0,0.0
Aatif Chahechouhe,32.0,1986.0,MAR,FW,Fenerbahçe,1.0,1.0,63.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,37.0,579.0,110.0,19.0,19.0,10.0,10.0,4.0,5.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,42.0,0.0,2.0,25.0,15.0,1.0,42.0,7.0,5.0,2.0,35.0,305.0,178.0,6.0,3.0,1.0,0.0,3.0,38.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abbas Huseynov,23.0,1995.0,AZE,DF,Qarabağ,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,225.0,124.0,14.0,14.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,5.0,13.0,4.0,0.0,22.0,1.0,1.0,0.0,10.0,27.0,25.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Abdellah Zoubir,26.0,1991.0,FRA,FW,Qarabağ,6.0,6.0,507.0,1.0,5.0,4.0,21.8,0.0,0.0,0.0,183.0,230.0,2588.0,467.0,123.0,134.0,41.0,58.0,13.0,18.0,0.0,7.0,11.0,5.0,1.0,19.0,1.0,0.0,0.0,4.0,5.0,0.0,9.0,0.0,0.0,0.0,33.0,1.0,5.0,283.0,2.0,31.0,133.0,122.0,15.0,283.0,15.0,8.0,7.0,172.0,1278.0,613.0,18.0,12.0,7.0,12.0,12.0,218.0,33.0,8.0,7.0,3.0,3.0,2.0,1.0,3.0,2.0,6.0,0.0,6.0,1.0,1.0,0.0
Abdoul Sissoko,28.0,1990.0,FRA,MF,Akhisarspor,6.0,5.0,500.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,183.0,229.0,3416.0,873.0,73.0,87.0,76.0,87.0,27.0,40.0,0.0,2.0,8.0,1.0,0.0,8.0,1.0,0.0,0.0,8.0,3.0,0.0,2.0,0.0,0.0,0.0,42.0,4.0,5.0,272.0,16.0,102.0,161.0,11.0,2.0,272.0,2.0,2.0,0.0,146.0,603.0,251.0,1.0,1.0,0.0,1.0,4.0,168.0,2.0,6.0,5.0,3.0,3.0,0.0,1.0,4.0,3.0,7.0,3.0,4.0,16.0,4.0,0.0
Abdoulay Diaby,27.0,1991.0,MLI,FW,Sporting,6.0,4.0,323.0,2.0,6.0,2.0,16.6,0.0,0.0,0.0,63.0,78.0,970.0,201.0,29.0,35.0,22.0,28.0,6.0,8.0,0.0,0.0,1.0,2.0,1.0,6.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,14.0,2.0,3.0,127.0,1.0,15.0,67.0,47.0,6.0,127.0,6.0,5.0,1.0,76.0,442.0,163.0,5.0,6.0,0.0,19.0,0.0,87.0,19.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,0.0,4.0,4.0,0.0,0.0
Abzal Beisebekov,25.0,1992.0,KAZ,MF,Astana,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,71.0,18.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,1.0,5.0,8.0,2.0,0.0,15.0,3.0,1.0,2.0,4.0,23.0,14.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Acorán,35.0,1983.0,ESP,FW,AÉK,6.0,5.0,446.0,0.0,5.0,2.0,17.9,0.0,0.0,0.0,142.0,191.0,2004.0,570.0,90.0,107.0,41.0,60.0,6.0,8.0,1.0,13.0,12.0,8.0,2.0,23.0,1.0,0.0,0.0,7.0,19.0,1.0,9.0,0.0,0.0,0.0,32.0,3.0,4.0,248.0,3.0,32.0,119.0,104.0,19.0,248.0,15.0,9.0,6.0,166.0,1207.0,654.0,20.0,18.0,6.0,12.0,4.0,191.0,39.0,10.0,5.0,5.0,4.0,1.0,2.0,5.0,3.0,4.0,0.0,4.0,6.0,2.0,0.0
Adam Marušić,25.0,1992.0,MNE,DF,Lazio,4.0,3.0,293.0,1.0,2.0,1.0,15.6,0.0,0.0,0.0,112.0,130.0,1488.0,693.0,69.0,77.0,34.0,39.0,3.0,6.0,0.0,1.0,5.0,3.0,1.0,8.0,0.0,1.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,19.0,2.0,3.0,166.0,17.0,50.0,66.0,50.0,6.0,166.0,5.0,1.0,4.0,74.0,369.0,211.0,9.0,3.0,4.0,2.0,2.0,84.0,11.0,6.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,13.0,0.0
Adam Ounas,21.0,1996.0,ALG,MF,Napoli,4.0,1.0,117.0,1.0,9.0,4.0,18.9,0.0,0.0,0.0,38.0,54.0,704.0,175.0,17.0,23.0,13.0,16.0,6.0,10.0,1.0,2.0,4.0,3.0,0.0,7.0,1.0,0.0,0.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,7.0,1.0,1.0,75.0,0.0,8.0,32.0,36.0,12.0,75.0,5.0,2.0,3.0,60.0,502.0,246.0,10.0,6.0,7.0,3.0,5.0,66.0,19.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Adem Ljajić,26.0,1991.0,SRB,MF,Beşiktaş,5.0,4.0,344.0,0.0,10.0,1.0,20.3,1.0,0.0,0.0,188.0,243.0,2704.0,631.0,104.0,114.0,65.0,81.0,8.0,24.0,2.0,8.0,14.0,4.0,0.0,22.0,1.0,0.0,0.0,2.0,3.0,0.0,18.0,0.0,0.0,0.0,25.0,0.0,3.0,281.0,6.0,26.0,136.0,125.0,12.0,281.0,5.0,3.0,2.0,166.0,1048.0,557.0,15.0,16.0,5.0,8.0,6.0,208.0,26.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,3.0,0.0,3.0,2.0,3.0,0.0
Adil Rami,32.0,1985.0,FRA,DF,Marseille,4.0,4.0,264.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,154.0,173.0,2794.0,892.0,66.0,71.0,61.0,69.0,21.0,27.0,0.0,1.0,4.0,0.0,0.0,9.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,4.0,8.0,185.0,13.0,75.0,101.0,10.0,3.0,185.0,0.0,0.0,0.0,136.0,691.0,388.0,3.0,4.0,1.0,0.0,1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,6.0,0.0
Adrian Stanilewicz,18.0,2000.0,POL,FW,Leverkusen,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian Winter,32.0,1986.0,SUI,DF,Zürich,6.0,4.0,322.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,88.0,135.0,1239.0,495.0,55.0,66.0,27.0,40.0,4.0,16.0,0.0,2.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,4.0,3.0,0.0,8.0,0.0,0.0,0.0,14.0,3.0,7.0,174.0,10.0,51.0,80.0,45.0,5.0,174.0,1.0,1.0,0.0,70.0,401.0,195.0,6.0,9.0,1.0,5.0,1.0,80.0,8.0,5.0,1.0,1.0,4.0,0.0,1.0,3.0,2.0,6.0,1.0,5.0,6.0,10.0,0.0
Adriano,33.0,1984.0,BRA,DF,Beşiktaş,2.0,2.0,167.0,0.0,3.0,2.0,24.0,0.0,0.0,0.0,102.0,139.0,1931.0,626.0,42.0,51.0,42.0,55.0,17.0,29.0,0.0,1.0,16.0,2.0,1.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,12.0,6.0,8.0,154.0,3.0,24.0,93.0,37.0,0.0,154.0,3.0,3.0,0.0,84.0,577.0,334.0,8.0,4.0,0.0,2.0,0.0,94.0,1.0,3.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,4.0,4.0,0.0
Adrien Hunou,24.0,1994.0,FRA,FW,Rennes,6.0,3.0,276.0,2.0,4.0,3.0,11.0,0.0,0.0,0.0,36.0,50.0,431.0,69.0,21.0,26.0,7.0,12.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,7.0,3.0,7.0,66.0,2.0,7.0,27.0,33.0,8.0,66.0,0.0,0.0,0.0,36.0,146.0,47.0,2.0,3.0,1.0,2.0,2.0,45.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,4.0,0.0,3.0,0.0
Adrien Regattin,26.0,1991.0,MAR,FW,Akhisarspor,5.0,4.0,328.0,0.0,6.0,3.0,24.0,0.0,0.0,0.0,95.0,130.0,1431.0,372.0,49.0,60.0,35.0,42.0,7.0,18.0,0.0,5.0,9.0,5.0,2.0,12.0,0.0,0.0,0.0,5.0,9.0,4.0,13.0,0.0,0.0,0.0,18.0,3.0,10.0,162.0,0.0,19.0,80.0,65.0,3.0,162.0,3.0,2.0,1.0,111.0,649.0,315.0,9.0,4.0,0.0,8.0,5.0,132.0,24.0,4.0,2.0,3.0,1.0,0.0,3.0,9.0,6.0,3.0,0.0,3.0,3.0,3.0,0.0
Adrien Trebel,27.0,1991.0,FRA,MF,Anderlecht,4.0,4.0,346.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,215.0,284.0,4040.0,1436.0,102.0,120.0,65.0,87.0,38.0,57.0,0.0,8.0,33.0,5.0,1.0,39.0,0.0,0.0,0.0,3.0,4.0,0.0,26.0,0.0,0.0,0.0,24.0,4.0,4.0,332.0,4.0,34.0,214.0,89.0,4.0,332.0,10.0,6.0,4.0,153.0,873.0,430.0,7.0,9.0,0.0,13.0,5.0,211.0,15.0,16.0,8.0,4.0,9.0,3.0,5.0,8.0,3.0,5.0,0.0,5.0,6.0,5.0,0.0
Adrián Sardinero,27.0,1990.0,ESP,FW,Apollon,4.0,4.0,310.0,0.0,4.0,1.0,9.3,0.0,0.0,0.0,65.0,86.0,892.0,251.0,34.0,40.0,24.0,34.0,3.0,4.0,0.0,2.0,7.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,10.0,2.0,3.0,117.0,2.0,15.0,63.0,39.0,10.0,117.0,3.0,1.0,2.0,64.0,331.0,146.0,5.0,5.0,1.0,7.0,4.0,85.0,19.0,5.0,3.0,2.0,3.0,0.0,2.0,3.0,1.0,2.0,0.0,2.0,3.0,2.0,0.0
Ainsley Maitland-Niles,20.0,1997.0,ENG,DF,Arsenal,10.0,9.0,804.0,1.0,6.0,3.0,16.7,0.0,0.0,0.0,397.0,488.0,5585.0,1936.0,236.0,262.0,118.0,144.0,20.0,38.0,2.0,5.0,29.0,11.0,1.0,40.0,0.0,0.0,0.0,9.0,4.0,0.0,13.0,0.0,1.0,0.0,57.0,6.0,6.0,608.0,23.0,142.0,291.0,183.0,13.0,608.0,30.0,17.0,13.0,320.0,1804.0,999.0,33.0,20.0,5.0,19.0,8.0,353.0,58.0,22.0,13.0,13.0,8.0,1.0,9.0,21.0,12.0,13.0,1.0,12.0,13.0,16.0,1.0
Alain Nef,36.0,1982.0,SUI,DF,Zürich,7.0,4.0,368.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,152.0,212.0,3249.0,1474.0,48.0,63.0,72.0,93.0,31.0,52.0,0.0,2.0,14.0,0.0,0.0,20.0,1.0,0.0,0.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,15.0,10.0,5.0,261.0,16.0,136.0,101.0,26.0,6.0,261.0,3.0,2.0,1.0,98.0,558.0,314.0,5.0,2.0,0.0,2.0,1.0,127.0,0.0,8.0,4.0,5.0,3.0,0.0,2.0,5.0,3.0,7.0,4.0,3.0,6.0,20.0,0.0
Alan Patrick,27.0,1991.0,BRA,MF,Shakhtar,2.0,2.0,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,114.0,126.0,1926.0,680.0,55.0,60.0,46.0,47.0,10.0,15.0,0.0,3.0,10.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,3.0,152.0,3.0,31.0,100.0,23.0,3.0,152.0,9.0,6.0,3.0,110.0,608.0,348.0,7.0,3.0,0.0,4.0,2.0,111.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,8.0,7.0,5.0,1.0,4.0,3.0,3.0,0.0
