Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Matthijs de Ligt,22.0,1999.0,NED,DF,Bayern,7.0,7.0,614.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,440.0,474.0,8734.0,2860.0,117.0,124.0,275.0,282.0,47.0,63.0,0.0,0.0,40.0,3.0,0.0,28.0,1.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,11.0,6.0,526.0,49.0,242.0,263.0,23.0,2.0,526.0,0.0,0.0,0.0,405.0,1992.0,962.0,1.0,6.0,0.0,2.0,1.0,416.0,3.0,5.0,3.0,2.0,3.0,0.0,1.0,3.0,2.0,6.0,4.0,2.0,10.0,21.0,0.0
Mattia De Sciglio,29.0,1992.0,ITA,DF,Juventus,3.0,1.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,60.0,765.0,256.0,24.0,27.0,17.0,19.0,4.0,8.0,0.0,1.0,5.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,67.0,1.0,15.0,30.0,23.0,1.0,67.0,2.0,1.0,0.0,37.0,227.0,130.0,4.0,4.0,0.0,1.0,1.0,49.0,8.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Mattéo Guendouzi,23.0,1999.0,FRA,MF,Marseille,6.0,5.0,418.0,2.0,7.0,2.0,24.1,1.0,1.0,1.0,223.0,257.0,3524.0,871.0,116.0,126.0,82.0,93.0,15.0,21.0,0.0,5.0,28.0,5.0,1.0,36.0,1.0,0.0,0.0,2.0,6.0,0.0,5.0,0.0,0.0,0.0,26.0,1.0,3.0,293.0,7.0,21.0,171.0,103.0,5.0,292.0,0.0,0.0,0.0,245.0,1539.0,830.0,14.0,18.0,0.0,6.0,5.0,232.0,28.0,4.0,3.0,1.0,2.0,1.0,3.0,5.0,2.0,3.0,2.0,1.0,6.0,1.0,0.0
Matìas Soulé,19.0,2003.0,ARG,MF,Juventus,3.0,0.0,44.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,291.0,42.0,8.0,9.0,6.0,6.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,28.0,1.0,1.0,12.0,16.0,4.0,28.0,6.0,3.0,1.0,17.0,162.0,81.0,3.0,2.0,1.0,1.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Maurits Kjærgaard,19.0,2003.0,DEN,MF,RB,6.0,6.0,495.0,0.0,9.0,1.0,24.1,0.0,0.0,0.0,96.0,152.0,1276.0,557.0,59.0,76.0,24.0,45.0,4.0,18.0,0.0,11.0,14.0,6.0,2.0,17.0,0.0,0.0,0.0,6.0,1.0,0.0,19.0,0.0,0.0,0.0,43.0,0.0,1.0,229.0,9.0,34.0,99.0,100.0,6.0,229.0,8.0,3.0,5.0,130.0,875.0,401.0,14.0,13.0,2.0,9.0,8.0,111.0,16.0,21.0,11.0,6.0,10.0,5.0,9.0,18.0,9.0,10.0,2.0,8.0,4.0,2.0,0.0
Mavis Tchibota,26.0,1996.0,CGO,FW,Maccabi,4.0,1.0,93.0,0.0,4.0,1.0,22.6,0.0,0.0,0.0,15.0,27.0,209.0,81.0,10.0,11.0,3.0,10.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,1.0,48.0,1.0,5.0,19.0,26.0,8.0,48.0,8.0,1.0,6.0,33.0,216.0,85.0,4.0,1.0,4.0,3.0,3.0,31.0,8.0,2.0,2.0,0.0,1.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Maximilian Wöber,24.0,1998.0,AUT,DF,RB,3.0,2.0,165.0,0.0,2.0,1.0,10.2,0.0,0.0,0.0,32.0,72.0,551.0,326.0,14.0,25.0,13.0,29.0,4.0,13.0,1.0,3.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,11.0,6.0,4.0,92.0,8.0,24.0,37.0,32.0,5.0,92.0,0.0,0.0,0.0,32.0,193.0,37.0,1.0,2.0,0.0,0.0,1.0,29.0,9.0,9.0,6.0,6.0,2.0,1.0,3.0,5.0,2.0,3.0,1.0,2.0,0.0,5.0,0.0
Mehdi Taremi,30.0,1992.0,IRN,FW,Porto,7.0,7.0,611.0,5.0,22.0,10.0,15.7,0.0,2.0,2.0,129.0,177.0,1624.0,449.0,91.0,110.0,31.0,43.0,2.0,3.0,2.0,14.0,10.0,8.0,1.0,19.0,2.0,1.0,1.0,9.0,11.0,2.0,1.0,0.0,0.0,0.0,22.0,15.0,18.0,262.0,12.0,38.0,109.0,115.0,48.0,260.0,11.0,3.0,6.0,141.0,611.0,277.0,14.0,5.0,9.0,15.0,3.0,172.0,31.0,8.0,6.0,0.0,3.0,5.0,4.0,11.0,7.0,6.0,0.0,6.0,1.0,10.0,0.0
Memphis,28.0,1994.0,NED,FW,Barcelona,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,221.0,58.0,8.0,8.0,4.0,5.0,2.0,3.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,2.0,11.0,6.0,1.0,19.0,3.0,1.0,2.0,15.0,65.0,16.0,0.0,2.0,0.0,0.0,1.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milan Havel,27.0,1994.0,CZE,DF,Viktoria,6.0,5.0,424.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,92.0,127.0,1442.0,639.0,50.0,55.0,34.0,47.0,6.0,19.0,0.0,3.0,9.0,6.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,12.0,4.0,0.0,169.0,21.0,64.0,55.0,50.0,3.0,169.0,4.0,2.0,1.0,67.0,368.0,249.0,11.0,8.0,3.0,2.0,0.0,94.0,11.0,12.0,5.0,6.0,3.0,3.0,7.0,8.0,1.0,6.0,0.0,6.0,4.0,12.0,0.0
Milan Škriniar,27.0,1995.0,SVK,DF,Inter,8.0,6.0,536.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,314.0,344.0,5695.0,1678.0,122.0,128.0,168.0,181.0,23.0,28.0,0.0,4.0,21.0,1.0,0.0,17.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,9.0,405.0,49.0,197.0,183.0,25.0,3.0,405.0,0.0,0.0,0.0,220.0,818.0,390.0,4.0,2.0,0.0,1.0,1.0,275.0,3.0,9.0,6.0,7.0,2.0,0.0,4.0,5.0,1.0,11.0,9.0,2.0,4.0,24.0,0.0
Mislav Oršić,29.0,1992.0,CRO,FW,Dinamo,6.0,6.0,490.0,2.0,13.0,3.0,21.7,1.0,0.0,0.0,121.0,172.0,1736.0,531.0,67.0,79.0,36.0,51.0,8.0,20.0,0.0,4.0,8.0,7.0,1.0,15.0,1.0,0.0,0.0,2.0,5.0,1.0,16.0,0.0,0.0,0.0,16.0,0.0,4.0,218.0,0.0,23.0,81.0,117.0,10.0,218.0,6.0,2.0,2.0,156.0,942.0,490.0,13.0,15.0,4.0,15.0,5.0,163.0,43.0,5.0,4.0,1.0,4.0,0.0,2.0,6.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0
Mitchel Bakker,22.0,2000.0,NED,MF,Leverkusen,5.0,4.0,338.0,0.0,6.0,1.0,19.1,0.0,0.0,0.0,171.0,211.0,2519.0,796.0,109.0,118.0,52.0,65.0,8.0,20.0,0.0,4.0,14.0,3.0,0.0,21.0,2.0,0.0,0.0,6.0,2.0,1.0,6.0,1.0,0.0,0.0,30.0,5.0,1.0,252.0,11.0,74.0,104.0,74.0,9.0,252.0,10.0,5.0,3.0,133.0,604.0,303.0,9.0,7.0,3.0,8.0,3.0,172.0,32.0,9.0,5.0,2.0,3.0,4.0,7.0,8.0,1.0,6.0,0.0,6.0,4.0,5.0,0.0
Modou Biramé Ndiaye,25.0,1996.0,SEN,MF,Viktoria,4.0,2.0,182.0,0.0,3.0,1.0,26.1,0.0,0.0,0.0,46.0,61.0,974.0,447.0,15.0,21.0,22.0,25.0,8.0,12.0,0.0,0.0,7.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,0.0,87.0,8.0,34.0,45.0,11.0,0.0,87.0,4.0,3.0,1.0,29.0,109.0,36.0,0.0,0.0,0.0,2.0,2.0,38.0,0.0,4.0,1.0,3.0,1.0,0.0,2.0,8.0,6.0,2.0,0.0,2.0,6.0,4.0,0.0
Mohamed Salah,30.0,1992.0,EGY,FW,Liverpool,8.0,7.0,624.0,8.0,22.0,12.0,13.8,0.0,1.0,1.0,182.0,223.0,2438.0,622.0,99.0,110.0,59.0,74.0,7.0,13.0,2.0,13.0,8.0,15.0,0.0,25.0,0.0,0.0,0.0,2.0,3.0,4.0,10.0,0.0,0.0,0.0,21.0,1.0,3.0,299.0,0.0,21.0,97.0,182.0,49.0,298.0,23.0,9.0,10.0,204.0,1202.0,557.0,24.0,18.0,16.0,25.0,20.0,249.0,87.0,3.0,1.0,2.0,1.0,0.0,2.0,5.0,3.0,3.0,0.0,3.0,2.0,1.0,0.0
Mohamed Simakan,22.0,2000.0,FRA,DF,RB,7.0,6.0,511.0,1.0,2.0,1.0,10.8,0.0,0.0,0.0,267.0,347.0,4320.0,1377.0,148.0,172.0,88.0,111.0,23.0,43.0,3.0,7.0,16.0,6.0,3.0,24.0,1.0,0.0,0.0,6.0,16.0,0.0,9.0,0.0,0.0,0.0,30.0,11.0,3.0,407.0,9.0,109.0,200.0,100.0,21.0,407.0,11.0,6.0,3.0,253.0,1208.0,648.0,14.0,9.0,2.0,7.0,3.0,257.0,31.0,16.0,9.0,5.0,9.0,2.0,10.0,17.0,7.0,2.0,0.0,2.0,12.0,7.0,0.0
Mohamed Tijani,25.0,1997.0,BEN,DF,Viktoria,3.0,2.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,71.0,1242.0,597.0,14.0,15.0,29.0,33.0,11.0,21.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,90.0,17.0,63.0,23.0,5.0,3.0,90.0,1.0,0.0,1.0,48.0,270.0,120.0,1.0,0.0,0.0,0.0,0.0,55.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,10.0,0.0
Mohammad Abu Fani,24.0,1998.0,ISR,MF,Maccabi,6.0,4.0,400.0,0.0,11.0,2.0,25.1,1.0,0.0,0.0,198.0,230.0,3416.0,732.0,97.0,111.0,65.0,73.0,28.0,31.0,0.0,9.0,22.0,7.0,0.0,29.0,1.0,0.0,0.0,13.0,12.0,0.0,2.0,0.0,0.0,0.0,35.0,0.0,3.0,280.0,1.0,52.0,153.0,83.0,7.0,280.0,13.0,7.0,4.0,209.0,1128.0,469.0,6.0,7.0,0.0,6.0,6.0,210.0,20.0,9.0,6.0,6.0,1.0,2.0,3.0,8.0,5.0,7.0,2.0,5.0,3.0,0.0,0.0
Mohammed Daramy,20.0,2002.0,DEN,FW,FC,6.0,6.0,443.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,111.0,139.0,1635.0,314.0,57.0,66.0,43.0,48.0,6.0,10.0,0.0,6.0,4.0,7.0,2.0,14.0,1.0,0.0,0.0,2.0,5.0,4.0,5.0,0.0,0.0,0.0,16.0,2.0,0.0,186.0,1.0,22.0,74.0,98.0,21.0,186.0,32.0,12.0,15.0,113.0,1172.0,793.0,26.0,13.0,10.0,9.0,8.0,133.0,32.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,4.0,0.0,0.0
Moise Kean,22.0,2000.0,ITA,FW,Juventus,5.0,1.0,111.0,1.0,4.0,2.0,10.7,0.0,0.0,0.0,12.0,18.0,235.0,57.0,4.0,4.0,6.0,6.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,5.0,32.0,0.0,4.0,11.0,17.0,5.0,32.0,4.0,2.0,0.0,22.0,206.0,120.0,6.0,3.0,3.0,6.0,5.0,21.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Morato,21.0,2001.0,BRA,DF,Benfica,2.0,1.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,108.0,2033.0,641.0,34.0,36.0,42.0,44.0,22.0,24.0,0.0,1.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,4.0,117.0,18.0,59.0,56.0,3.0,0.0,117.0,1.0,0.0,1.0,78.0,342.0,189.0,0.0,0.0,0.0,0.0,0.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,0.0
Moritz Jenz,23.0,1999.0,GER,DF,Celtic,6.0,6.0,540.0,0.0,3.0,1.0,11.6,0.0,0.0,0.0,427.0,457.0,8050.0,2824.0,136.0,145.0,267.0,283.0,23.0,27.0,0.0,0.0,28.0,0.0,0.0,29.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,7.0,2.0,510.0,48.0,216.0,290.0,6.0,4.0,510.0,0.0,0.0,0.0,396.0,2075.0,1309.0,7.0,2.0,0.0,1.0,3.0,406.0,0.0,8.0,4.0,5.0,3.0,0.0,4.0,8.0,4.0,16.0,11.0,5.0,8.0,15.0,1.0
Moussa Diaby,23.0,1999.0,FRA,FW,Leverkusen,6.0,6.0,505.0,2.0,16.0,10.0,18.6,0.0,0.0,0.0,149.0,202.0,1937.0,418.0,99.0,109.0,39.0,58.0,6.0,18.0,0.0,6.0,8.0,14.0,2.0,19.0,0.0,0.0,0.0,3.0,2.0,1.0,16.0,0.0,0.0,0.0,21.0,0.0,5.0,261.0,1.0,15.0,115.0,135.0,24.0,261.0,14.0,6.0,7.0,164.0,1153.0,694.0,22.0,12.0,11.0,20.0,5.0,205.0,50.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0
Mykhailo Mudryk,21.0,2001.0,UKR,FW,Chelsea,8.0,7.0,610.0,3.0,12.0,7.0,40.099999999999994,1.0,0.0,0.0,125.0,178.0,1671.0,462.0,89.0,102.0,26.0,43.0,6.0,19.0,2.0,7.0,6.0,5.0,1.0,15.0,3.0,0.0,0.0,8.0,11.0,6.0,24.0,0.0,0.0,0.0,28.0,0.0,9.0,264.0,10.0,53.0,105.0,113.0,22.0,264.0,40.0,13.0,20.0,181.0,1610.0,870.0,27.0,24.0,10.0,19.0,20.0,193.0,37.0,7.0,2.0,4.0,3.0,0.0,4.0,10.0,6.0,2.0,0.0,2.0,1.0,2.0,0.0
Mykola Matviyenko,26.0,1996.0,UKR,DF,Shakhtar,6.0,6.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,444.0,6943.0,2506.0,165.0,172.0,196.0,207.0,29.0,58.0,0.0,0.0,10.0,0.0,0.0,6.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,6.0,1.0,517.0,135.0,367.0,152.0,0.0,0.0,517.0,3.0,1.0,2.0,351.0,1558.0,780.0,2.0,1.0,0.0,0.0,0.0,355.0,0.0,10.0,4.0,9.0,1.0,0.0,6.0,9.0,3.0,13.0,4.0,9.0,9.0,35.0,0.0
