Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aaron Appindangoyé,28.0,1992.0,GAB,DF,Sivasspor,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,133.0,2140.0,870.0,35.0,37.0,54.0,57.0,16.0,34.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,6.0,3.0,157.0,15.0,85.0,69.0,3.0,1.0,157.0,2.0,1.0,1.0,104.0,452.0,216.0,2.0,0.0,0.0,1.0,0.0,102.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,4.0,15.0,0.0
Aaron Wan-Bissaka,22.0,1997.0,ENG,DF,Manchester,9.0,9.0,723.0,0.0,2.0,1.0,16.1,0.0,0.0,0.0,396.0,463.0,5643.0,1877.0,231.0,249.0,141.0,159.0,10.0,26.0,1.0,2.0,39.0,3.0,2.0,42.0,2.0,0.0,0.0,5.0,4.0,0.0,14.0,0.0,0.0,0.0,40.0,6.0,4.0,549.0,30.0,165.0,253.0,138.0,6.0,549.0,16.0,11.0,5.0,293.0,1459.0,686.0,14.0,9.0,1.0,5.0,11.0,327.0,29.0,19.0,9.0,10.0,6.0,3.0,7.0,13.0,6.0,9.0,1.0,8.0,13.0,28.0,0.0
Abbas Huseynov,25.0,1995.0,AZE,DF,Qarabağ,3.0,2.0,210.0,0.0,2.0,1.0,26.7,0.0,0.0,0.0,73.0,102.0,1059.0,471.0,40.0,47.0,25.0,35.0,4.0,12.0,0.0,0.0,2.0,1.0,0.0,6.0,1.0,0.0,0.0,6.0,1.0,0.0,5.0,0.0,1.0,0.0,9.0,3.0,1.0,122.0,2.0,36.0,58.0,28.0,0.0,122.0,3.0,0.0,3.0,57.0,197.0,92.0,2.0,0.0,0.0,1.0,1.0,63.0,5.0,5.0,5.0,3.0,2.0,0.0,2.0,4.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0
Abdallah Sima,19.0,2001.0,SEN,FW,Slavia,11.0,9.0,797.0,4.0,18.0,9.0,17.9,0.0,0.0,0.0,122.0,181.0,1862.0,531.0,72.0,91.0,40.0,59.0,8.0,18.0,0.0,10.0,7.0,5.0,0.0,19.0,1.0,0.0,0.0,12.0,5.0,2.0,8.0,0.0,0.0,0.0,36.0,13.0,25.0,302.0,10.0,48.0,129.0,137.0,27.0,302.0,25.0,13.0,12.0,164.0,1138.0,504.0,18.0,10.0,7.0,28.0,8.0,184.0,48.0,11.0,8.0,4.0,4.0,3.0,7.0,9.0,2.0,15.0,2.0,13.0,5.0,9.0,0.0
Abdellah Zoubir,28.0,1991.0,FRA,FW,Qarabağ,5.0,5.0,436.0,1.0,5.0,3.0,16.5,0.0,0.0,0.0,174.0,199.0,2416.0,427.0,105.0,118.0,57.0,59.0,5.0,6.0,1.0,2.0,13.0,4.0,0.0,15.0,0.0,0.0,0.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,28.0,3.0,8.0,253.0,1.0,20.0,134.0,105.0,13.0,253.0,33.0,23.0,10.0,183.0,1260.0,589.0,13.0,21.0,6.0,15.0,15.0,207.0,44.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,4.0,2.0,1.0,0.0
Abdoul-Fessal Tapsoba,18.0,2001.0,BFA,FW,Standard,3.0,2.0,206.0,2.0,9.0,3.0,12.7,0.0,0.0,0.0,17.0,32.0,234.0,25.0,10.0,17.0,7.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,4.0,7.0,8.0,59.0,0.0,6.0,26.0,27.0,9.0,59.0,2.0,0.0,2.0,24.0,108.0,35.0,2.0,2.0,1.0,7.0,2.0,40.0,17.0,4.0,3.0,3.0,1.0,0.0,2.0,3.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0
Abdoulaye Seck,28.0,1992.0,SEN,DF,Antwerp,6.0,6.0,518.0,0.0,5.0,2.0,8.4,0.0,0.0,0.0,276.0,392.0,5930.0,2079.0,85.0,112.0,138.0,181.0,49.0,84.0,0.0,0.0,17.0,0.0,0.0,19.0,4.0,1.0,1.0,13.0,4.0,0.0,4.0,0.0,1.0,0.0,44.0,30.0,7.0,471.0,51.0,225.0,225.0,23.0,7.0,471.0,8.0,7.0,1.0,226.0,893.0,428.0,1.0,1.0,0.0,5.0,1.0,246.0,1.0,13.0,5.0,8.0,5.0,0.0,7.0,10.0,3.0,12.0,6.0,6.0,11.0,32.0,0.0
Abdulla Yusuf Helal,27.0,1993.0,BHR,FW,Slovan,5.0,5.0,358.0,1.0,17.0,4.0,18.5,1.0,0.0,0.0,44.0,90.0,741.0,147.0,20.0,42.0,17.0,31.0,4.0,6.0,0.0,2.0,7.0,0.0,0.0,7.0,1.0,0.0,0.0,6.0,12.0,4.0,2.0,0.0,0.0,0.0,17.0,34.0,32.0,155.0,14.0,19.0,70.0,69.0,17.0,155.0,7.0,4.0,3.0,74.0,479.0,217.0,6.0,7.0,1.0,13.0,4.0,102.0,14.0,5.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,2.0,3.0,0.0,13.0,0.0
Abel Ruiz,20.0,2000.0,ESP,FW,Braga,4.0,2.0,189.0,0.0,5.0,2.0,11.0,0.0,0.0,0.0,38.0,49.0,497.0,18.0,20.0,25.0,15.0,18.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,73.0,2.0,4.0,29.0,41.0,9.0,73.0,3.0,2.0,1.0,40.0,236.0,158.0,4.0,4.0,3.0,8.0,1.0,54.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,2.0,3.0,3.0,0.0
Adalberto Peñaranda,23.0,1997.0,VEN,MF,CSKA,2.0,1.0,84.0,0.0,4.0,1.0,20.3,0.0,0.0,0.0,23.0,29.0,384.0,93.0,8.0,10.0,10.0,14.0,2.0,2.0,0.0,2.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,48.0,0.0,3.0,22.0,25.0,4.0,48.0,10.0,3.0,7.0,37.0,294.0,120.0,3.0,3.0,3.0,5.0,7.0,37.0,8.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Gnezda Čerin,21.0,1999.0,SVN,MF,Rijeka,3.0,3.0,266.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.0,114.0,1522.0,290.0,41.0,51.0,42.0,48.0,6.0,10.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,6.0,135.0,6.0,38.0,85.0,12.0,1.0,135.0,1.0,1.0,0.0,62.0,308.0,132.0,1.0,2.0,0.0,4.0,2.0,82.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,3.0,0.0,3.0,2.0,3.0,0.0
Adam Hložek,18.0,2002.0,CZE,FW,Sparta,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,114.0,44.0,7.0,9.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,17.0,0.0,2.0,6.0,9.0,1.0,17.0,0.0,0.0,0.0,8.0,67.0,17.0,0.0,2.0,0.0,2.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Adam Karabec,17.0,2003.0,CZE,MF,Sparta,5.0,2.0,143.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,67.0,774.0,178.0,22.0,32.0,14.0,18.0,6.0,10.0,1.0,3.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,3.0,1.0,81.0,0.0,6.0,34.0,41.0,10.0,81.0,2.0,1.0,1.0,45.0,255.0,96.0,4.0,3.0,2.0,5.0,0.0,53.0,7.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0
Adama Soumaoro,28.0,1992.0,FRA,DF,Lille,2.0,1.0,103.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.0,96.0,1900.0,523.0,23.0,25.0,52.0,54.0,16.0,17.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,104.0,7.0,48.0,55.0,2.0,2.0,104.0,0.0,0.0,0.0,69.0,258.0,111.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
Adel Taarabt,31.0,1989.0,MAR,MF,Benfica,6.0,5.0,389.0,0.0,3.0,2.0,28.2,0.0,0.0,0.0,209.0,244.0,3283.0,792.0,113.0,131.0,74.0,82.0,16.0,20.0,1.0,7.0,22.0,2.0,0.0,25.0,1.0,0.0,0.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,33.0,1.0,0.0,279.0,6.0,28.0,193.0,67.0,3.0,279.0,18.0,13.0,5.0,195.0,1209.0,643.0,11.0,15.0,1.0,8.0,7.0,212.0,4.0,4.0,1.0,0.0,4.0,0.0,1.0,8.0,7.0,5.0,4.0,1.0,4.0,1.0,0.0
Adnan Januzaj,25.0,1995.0,BEL,FW,Real,7.0,5.0,400.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,105.0,171.0,2064.0,837.0,50.0,63.0,38.0,55.0,16.0,43.0,0.0,12.0,8.0,17.0,6.0,26.0,0.0,0.0,0.0,4.0,15.0,0.0,47.0,0.0,0.0,0.0,19.0,2.0,0.0,241.0,2.0,15.0,75.0,156.0,20.0,241.0,40.0,29.0,11.0,166.0,1273.0,542.0,20.0,11.0,9.0,17.0,11.0,175.0,52.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,0.0
Adolfo Gaich,21.0,1999.0,ARG,FW,CSKA,5.0,1.0,153.0,1.0,1.0,1.0,21.1,0.0,0.0,0.0,11.0,22.0,119.0,27.0,8.0,13.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,19.0,42.0,2.0,4.0,14.0,24.0,7.0,42.0,1.0,0.0,1.0,16.0,133.0,8.0,1.0,0.0,1.0,7.0,1.0,24.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0
