Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Clinton Mata,26.0,1992.0,ANG,DF,Club,4.0,4.0,359.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2495.0,951.0,47.0,55.0,62.0,69.0,16.0,45.0,1.0,14.0,1.0,0.0,1.0,6.0,10.0,0.0,3.0,0.0,0.0,0.0,35.0,8.0,2.0,220.0,16.0,97.0,116.0,28.0,1.0,200.0,3.0,3.0,3.0,0.0,139.0,708.0,388.0,18.0,6.0,1.0,1.0,3.0,121.0,115.0,1.0,13.0,12.0,6.0,1.0,11.0,4.0,89.0,23.0,44.0,42.0,3.0,5.0,0.0,0.0,5.0,10.0,12.0,1.0
Clément Lenglet,24.0,1995.0,FRA,DF,Barcelona,9.0,8.0,721.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,9.7,0.0,10952.0,3663.0,157.0,167.0,264.0,275.0,87.0,124.0,0.0,27.0,2.0,0.0,0.0,12.0,6.0,1.0,0.0,0.0,0.0,0.0,63.0,9.0,13.0,645.0,101.0,311.0,346.0,23.0,5.0,632.0,2.0,4.0,2.0,0.0,478.0,2481.0,1465.0,37.0,5.0,0.0,1.0,1.0,509.0,495.0,4.0,5.0,5.0,3.0,0.0,2.0,7.0,97.0,35.0,62.0,30.0,5.0,26.0,12.0,0.0,14.0,10.0,24.0,0.0
Colin Dagba,20.0,1998.0,FRA,DF,Paris,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.1,0.0,739.0,215.0,32.0,34.0,11.0,13.0,5.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,64.0,1.0,23.0,22.0,20.0,2.0,53.0,0.0,1.0,0.0,0.0,40.0,145.0,66.0,4.0,0.0,1.0,0.0,0.0,49.0,43.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,3.0,6.0,6.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0
Corentin Tolisso,24.0,1994.0,FRA,MF,Bayern,10.0,3.0,346.0,3.0,4.0,0.0,0.0,0.0,0.0,14.0,6.0,19.2,0.0,5006.0,1059.0,80.0,90.0,109.0,119.0,45.0,54.0,8.0,38.0,7.0,2.0,0.0,4.0,8.0,1.0,8.0,0.0,0.0,0.0,41.0,6.0,2.0,310.0,5.0,42.0,189.0,101.0,19.0,308.0,5.0,10.0,5.0,0.0,253.0,1218.0,554.0,27.0,5.0,2.0,2.0,2.0,275.0,249.0,24.0,5.0,0.0,2.0,4.0,2.0,2.0,82.0,19.0,17.0,44.0,21.0,6.0,0.0,0.0,6.0,3.0,1.0,0.0
Cristiano Biraghi,26.0,1992.0,ITA,DF,Inter,4.0,3.0,219.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,14.2,0.0,1309.0,611.0,26.0,30.0,30.0,41.0,10.0,24.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0,9.0,1.0,0.0,120.0,10.0,38.0,42.0,46.0,2.0,85.0,0.0,0.0,0.0,0.0,49.0,205.0,105.0,5.0,3.0,1.0,0.0,1.0,64.0,55.0,5.0,2.0,1.0,2.0,2.0,2.0,0.0,58.0,16.0,20.0,22.0,16.0,13.0,2.0,0.0,11.0,0.0,3.0,0.0
Cristiano Ronaldo,34.0,1985.0,POR,FW,Juventus,8.0,8.0,711.0,4.0,1.0,1.0,1.0,0.0,0.0,40.0,14.0,19.4,9.0,3483.0,783.0,164.0,181.0,78.0,91.0,5.0,18.0,4.0,21.0,6.0,1.0,0.0,8.0,10.0,11.0,10.0,0.0,0.0,0.0,26.0,8.0,9.0,397.0,4.0,23.0,173.0,239.0,51.0,373.0,14.0,20.0,14.0,1.0,293.0,1799.0,1023.0,61.0,24.0,9.0,13.0,12.0,446.0,330.0,87.0,0.0,1.0,0.0,0.0,0.0,2.0,70.0,12.0,8.0,21.0,41.0,3.0,0.0,0.0,3.0,4.0,4.0,0.0
César Azpilicueta,29.0,1989.0,ESP,DF,Chelsea,7.0,7.0,612.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,9.8,0.0,6892.0,2729.0,161.0,181.0,181.0,207.0,37.0,54.0,6.0,28.0,8.0,4.0,0.0,12.0,1.0,0.0,20.0,0.0,0.0,0.0,59.0,15.0,7.0,524.0,22.0,155.0,251.0,142.0,17.0,454.0,2.0,5.0,2.0,0.0,322.0,1329.0,761.0,31.0,8.0,3.0,4.0,1.0,350.0,331.0,20.0,9.0,8.0,6.0,2.0,5.0,5.0,100.0,26.0,38.0,42.0,20.0,17.0,2.0,0.0,15.0,3.0,20.0,0.0
Daler Kuzyaev,26.0,1993.0,RUS,MF,Zenit,4.0,1.0,138.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,13.8,0.0,765.0,209.0,25.0,29.0,21.0,24.0,2.0,4.0,4.0,2.0,1.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,9.0,4.0,4.0,83.0,3.0,17.0,37.0,34.0,4.0,83.0,0.0,0.0,0.0,0.0,47.0,346.0,217.0,12.0,3.0,0.0,3.0,2.0,66.0,58.0,14.0,1.0,1.0,1.0,0.0,2.0,10.0,64.0,13.0,32.0,20.0,12.0,4.0,1.0,0.0,3.0,6.0,2.0,0.0
Daley Blind,29.0,1990.0,NED,DF,Ajax,5.0,5.0,427.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,22.6,0.0,5701.0,2454.0,69.0,77.0,147.0,162.0,42.0,76.0,1.0,26.0,2.0,0.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,59.0,14.0,7.0,375.0,36.0,197.0,181.0,22.0,2.0,365.0,3.0,3.0,3.0,0.0,265.0,1395.0,755.0,17.0,3.0,0.0,0.0,4.0,258.0,255.0,0.0,5.0,3.0,4.0,2.0,4.0,4.0,55.0,23.0,28.0,24.0,3.0,11.0,5.0,0.0,6.0,6.0,22.0,0.0
Daley Sinkgraven,24.0,1995.0,NED,DF,Leverkusen,2.0,1.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1407.0,392.0,36.0,38.0,31.0,32.0,10.0,13.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,2.0,96.0,5.0,30.0,65.0,6.0,0.0,91.0,1.0,1.0,1.0,0.0,71.0,452.0,254.0,7.0,1.0,0.0,1.0,0.0,70.0,69.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,29.0,8.0,6.0,18.0,5.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0
