Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Marko Gobeljić,25.0,1992.0,SRB,DF,Red,4.0,3.0,302.0,1.0,4.0,1.0,13.4,0.0,0.0,0.0,86.0,130.0,1310.0,604.0,50.0,67.0,30.0,41.0,6.0,16.0,0.0,3.0,5.0,2.0,2.0,8.0,3.0,0.0,0.0,9.0,2.0,0.0,7.0,0.0,0.0,0.0,18.0,5.0,5.0,193.0,18.0,64.0,92.0,42.0,5.0,193.0,6.0,2.0,4.0,94.0,504.0,188.0,6.0,7.0,1.0,11.0,2.0,81.0,14.0,7.0,3.0,6.0,1.0,0.0,3.0,4.0,1.0,6.0,1.0,5.0,11.0,14.0,0.0
Marko Livaja,24.0,1993.0,CRO,FW,AEK,1.0,1.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,246.0,97.0,3.0,7.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,24.0,0.0,5.0,12.0,7.0,0.0,24.0,0.0,0.0,0.0,15.0,35.0,11.0,0.0,0.0,0.0,1.0,1.0,21.0,5.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko Marin,29.0,1989.0,GER,MF,Red,5.0,5.0,414.0,1.0,6.0,4.0,15.3,0.0,0.0,0.0,122.0,169.0,1761.0,526.0,77.0,91.0,33.0,41.0,8.0,25.0,2.0,9.0,13.0,2.0,0.0,10.0,1.0,0.0,0.0,4.0,8.0,2.0,16.0,0.0,0.0,0.0,28.0,0.0,1.0,200.0,1.0,33.0,104.0,66.0,10.0,200.0,15.0,9.0,6.0,141.0,702.0,310.0,9.0,8.0,2.0,8.0,2.0,135.0,16.0,5.0,4.0,2.0,1.0,2.0,0.0,9.0,9.0,1.0,0.0,1.0,4.0,1.0,0.0
Marko Rog,23.0,1995.0,CRO,FW,Napoli,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,65.0,12.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,2.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Marlos,30.0,1988.0,UKR,FW,Shakhtar,3.0,3.0,265.0,0.0,5.0,1.0,17.4,0.0,0.0,0.0,136.0,155.0,2170.0,322.0,70.0,75.0,44.0,51.0,14.0,17.0,1.0,6.0,10.0,6.0,0.0,13.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,176.0,2.0,21.0,90.0,68.0,8.0,176.0,6.0,4.0,2.0,129.0,990.0,517.0,12.0,12.0,1.0,5.0,5.0,143.0,14.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0
Marouane Fellaini,30.0,1987.0,BEL,MF,Manchester,5.0,3.0,304.0,1.0,5.0,1.0,11.6,0.0,0.0,0.0,175.0,198.0,2563.0,612.0,95.0,105.0,58.0,62.0,11.0,14.0,0.0,6.0,9.0,4.0,1.0,15.0,0.0,0.0,0.0,8.0,6.0,2.0,3.0,0.0,0.0,0.0,27.0,12.0,7.0,239.0,17.0,44.0,149.0,47.0,14.0,239.0,1.0,0.0,1.0,107.0,374.0,159.0,1.0,1.0,1.0,1.0,3.0,163.0,13.0,11.0,6.0,4.0,7.0,0.0,4.0,8.0,4.0,5.0,0.0,5.0,5.0,11.0,0.0
Marquinhos,24.0,1994.0,BRA,MF,Paris,7.0,7.0,630.0,1.0,3.0,2.0,9.2,0.0,0.0,0.0,423.0,463.0,7594.0,1912.0,159.0,168.0,196.0,210.0,45.0,53.0,0.0,3.0,23.0,2.0,0.0,18.0,2.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,43.0,6.0,7.0,527.0,33.0,216.0,269.0,42.0,6.0,527.0,3.0,2.0,1.0,281.0,1209.0,559.0,2.0,4.0,0.0,3.0,5.0,393.0,1.0,11.0,6.0,3.0,7.0,1.0,2.0,5.0,3.0,7.0,2.0,5.0,11.0,14.0,0.0
Martin Linnes,26.0,1991.0,NOR,DF,Galatasaray,5.0,5.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,228.0,2884.0,930.0,84.0,106.0,76.0,88.0,13.0,21.0,0.0,1.0,18.0,2.0,0.0,24.0,2.0,0.0,0.0,4.0,4.0,1.0,9.0,0.0,0.0,0.0,35.0,1.0,2.0,273.0,14.0,75.0,126.0,74.0,3.0,273.0,8.0,5.0,3.0,84.0,465.0,232.0,8.0,4.0,0.0,4.0,3.0,146.0,18.0,16.0,10.0,12.0,4.0,0.0,9.0,11.0,2.0,9.0,2.0,7.0,1.0,7.0,1.0
Martin Terrier,21.0,1997.0,FRA,FW,Lyon,3.0,2.0,158.0,0.0,5.0,3.0,19.7,0.0,0.0,0.0,35.0,47.0,425.0,149.0,23.0,25.0,10.0,14.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,3.0,63.0,1.0,10.0,26.0,28.0,5.0,63.0,1.0,1.0,0.0,33.0,254.0,115.0,3.0,4.0,1.0,3.0,2.0,46.0,7.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,4.0,2.0,1.0,0.0
Martin Zeman,29.0,1989.0,CZE,FW,Viktoria,1.0,1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,27.0,289.0,76.0,12.0,13.0,4.0,6.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,4.0,30.0,2.0,6.0,13.0,11.0,0.0,30.0,1.0,0.0,1.0,20.0,114.0,36.0,2.0,1.0,0.0,1.0,0.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
