Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Sh,SoT,Avg_Sh_Dist,FK,PK,PKatt,Cmp,Att,Pass_TD,Pass_PD,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,Ast,KP,Pas_A3,PPA,CrsPA,PrgP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,TO_Att,TO_Succ,Tkld,Carries,Carries_TD,Carries_PD,PrgC,Carries_A3,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD_succ,Tkl_VD_att,Tkl_VD_lost,Blocks,Blocked_shot,Blocked_pass,Int,Clr,Err
Aaron Ramsey,29.0,1990.0,WAL,MF,Juventus,7.0,5.0,357.0,0.0,8.0,2.0,18.7,0.0,0.0,0.0,178.0,217.0,2798.0,721.0,101.0,112.0,62.0,75.0,13.0,22.0,0.0,6.0,18.0,5.0,1.0,28.0,1.0,0.0,0.0,5.0,0.0,1.0,5.0,0.0,0.0,0.0,16.0,5.0,1.0,254.0,5.0,43.0,136.0,79.0,13.0,254.0,6.0,4.0,2.0,138.0,613.0,264.0,5.0,6.0,1.0,6.0,2.0,198.0,27.0,4.0,2.0,2.0,1.0,1.0,1.0,6.0,5.0,1.0,0.0,1.0,9.0,4.0,0.0
Aaron Wan-Bissaka,22.0,1997.0,ENG,DF,Manchester,6.0,6.0,469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,260.0,2675.0,1020.0,131.0,146.0,62.0,81.0,4.0,15.0,1.0,3.0,12.0,2.0,0.0,15.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,31.0,1.0,5.0,322.0,26.0,111.0,143.0,70.0,5.0,322.0,3.0,3.0,0.0,147.0,716.0,320.0,10.0,7.0,0.0,5.0,3.0,171.0,14.0,14.0,6.0,9.0,4.0,1.0,9.0,12.0,3.0,10.0,2.0,8.0,9.0,15.0,0.0
Abdou Diallo,24.0,1996.0,SEN,DF,Paris,8.0,6.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,291.0,3336.0,1472.0,139.0,146.0,78.0,102.0,9.0,23.0,1.0,2.0,9.0,2.0,0.0,11.0,0.0,0.0,0.0,8.0,1.0,0.0,8.0,0.0,1.0,0.0,37.0,7.0,7.0,348.0,40.0,178.0,144.0,31.0,1.0,348.0,11.0,8.0,3.0,192.0,859.0,358.0,2.0,2.0,0.0,7.0,0.0,204.0,8.0,12.0,9.0,10.0,2.0,0.0,8.0,11.0,3.0,5.0,3.0,2.0,5.0,14.0,0.0
Abraham Frimpong,27.0,1993.0,GHA,DF,Ferencváros,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,93.0,1886.0,598.0,17.0,19.0,53.0,57.0,14.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,1.0,114.0,16.0,84.0,30.0,0.0,0.0,114.0,2.0,2.0,0.0,65.0,228.0,101.0,0.0,0.0,0.0,3.0,1.0,70.0,0.0,4.0,2.0,3.0,1.0,0.0,1.0,3.0,2.0,6.0,3.0,3.0,4.0,4.0,1.0
Achraf Hakimi,21.0,1998.0,MAR,DF,Inter,5.0,4.0,358.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,154.0,196.0,2348.0,617.0,83.0,95.0,56.0,67.0,10.0,18.0,1.0,4.0,2.0,5.0,3.0,11.0,1.0,0.0,0.0,2.0,5.0,1.0,19.0,0.0,0.0,1.0,25.0,5.0,4.0,236.0,5.0,29.0,83.0,126.0,10.0,236.0,10.0,4.0,6.0,116.0,520.0,273.0,11.0,6.0,5.0,6.0,2.0,134.0,43.0,8.0,4.0,3.0,3.0,2.0,3.0,10.0,7.0,6.0,1.0,5.0,7.0,2.0,1.0
Adam Marušić,27.0,1992.0,MNE,DF,Lazio,8.0,8.0,720.0,0.0,2.0,1.0,16.5,0.0,0.0,0.0,236.0,286.0,3622.0,1132.0,123.0,147.0,88.0,101.0,14.0,21.0,1.0,9.0,11.0,4.0,3.0,12.0,2.0,0.0,0.0,5.0,12.0,1.0,8.0,0.0,0.0,0.0,41.0,8.0,9.0,356.0,23.0,134.0,140.0,84.0,7.0,356.0,12.0,6.0,6.0,161.0,916.0,369.0,6.0,3.0,2.0,8.0,3.0,194.0,34.0,10.0,2.0,6.0,4.0,0.0,7.0,10.0,3.0,5.0,0.0,5.0,12.0,19.0,0.0
Adnan Kovačević,26.0,1993.0,BIH,DF,Ferencváros,2.0,2.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,134.0,2223.0,859.0,35.0,40.0,72.0,79.0,6.0,12.0,0.0,0.0,4.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,155.0,20.0,76.0,77.0,2.0,1.0,155.0,0.0,0.0,0.0,97.0,429.0,237.0,0.0,0.0,0.0,0.0,2.0,114.0,1.0,8.0,3.0,5.0,2.0,1.0,3.0,4.0,1.0,3.0,3.0,0.0,5.0,4.0,0.0
Adrien Hunou,26.0,1994.0,FRA,FW,Rennes,3.0,1.0,89.0,0.0,3.0,2.0,16.7,0.0,0.0,0.0,14.0,19.0,171.0,22.0,7.0,7.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,26.0,0.0,4.0,9.0,13.0,5.0,26.0,0.0,0.0,0.0,12.0,28.0,7.0,0.0,0.0,0.0,2.0,2.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrien Rabiot,25.0,1995.0,FRA,MF,Juventus,7.0,5.0,500.0,1.0,7.0,4.0,24.0,0.0,0.0,0.0,300.0,341.0,5101.0,1311.0,139.0,153.0,128.0,142.0,28.0,33.0,1.0,6.0,30.0,6.0,1.0,30.0,2.0,0.0,0.0,12.0,7.0,0.0,6.0,0.0,0.0,0.0,38.0,11.0,4.0,403.0,16.0,66.0,246.0,96.0,11.0,403.0,7.0,3.0,4.0,249.0,1518.0,790.0,11.0,9.0,3.0,7.0,0.0,275.0,16.0,18.0,12.0,8.0,7.0,3.0,7.0,15.0,8.0,3.0,0.0,3.0,16.0,5.0,0.0
Adrien Truffert,18.0,2001.0,FRA,DF,Rennes,5.0,2.0,242.0,0.0,3.0,1.0,22.2,0.0,0.0,0.0,145.0,191.0,2128.0,520.0,86.0,95.0,49.0,66.0,6.0,15.0,0.0,2.0,7.0,3.0,1.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,0.0,0.0,0.0,21.0,3.0,2.0,221.0,6.0,63.0,93.0,67.0,3.0,221.0,5.0,4.0,1.0,127.0,805.0,393.0,8.0,12.0,0.0,3.0,1.0,134.0,16.0,9.0,6.0,6.0,1.0,2.0,4.0,8.0,4.0,1.0,0.0,1.0,5.0,7.0,0.0
