Player,Age,Born,Nation,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Aaron Ramsey,30.0,1990.0,WAL,MF,Juventus,2.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,492.0,86.0,8.0,8.0,8.0,8.0,7.0,7.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,5.0,10.0,14.0,0.0,25.0,1.0,1.0,1.0,0.0,22.0,127.0,40.0,3.0,1.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Aaron Wan-Bissaka,23.0,1997.0,ENG,DF,Manchester,6.0,5.0,419.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,13.4,0.0,4035.0,1263.0,138.0,151.0,101.0,118.0,13.0,23.0,1.0,7.0,3.0,1.0,0.0,3.0,3.0,0.0,7.0,0.0,0.0,0.0,44.0,1.0,2.0,355.0,15.0,128.0,172.0,87.0,4.0,317.0,10.0,12.0,10.0,0.0,229.0,1423.0,891.0,28.0,8.0,0.0,5.0,2.0,234.0,226.0,5.0,7.0,4.0,2.0,6.0,2.0,0.0,44.0,11.0,19.0,17.0,8.0,10.0,2.0,0.0,8.0,14.0,7.0,0.0
Abdou Diallo,25.0,1996.0,SEN,DF,Paris,2.0,2.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2178.0,996.0,40.0,44.0,47.0,53.0,20.0,27.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,1.0,152.0,29.0,82.0,72.0,7.0,0.0,142.0,1.0,3.0,1.0,0.0,93.0,536.0,263.0,2.0,0.0,0.0,0.0,0.0,98.0,96.0,0.0,3.0,5.0,1.0,1.0,0.0,2.0,30.0,11.0,14.0,14.0,2.0,6.0,3.0,0.0,3.0,9.0,5.0,0.0
Achraf Hakimi,22.0,1998.0,MAR,DF,Paris,8.0,8.0,717.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,23.0,0.0,6307.0,1744.0,258.0,275.0,149.0,161.0,18.0,25.0,7.0,10.0,4.0,1.0,0.0,6.0,8.0,0.0,7.0,1.0,0.0,0.0,44.0,3.0,4.0,572.0,39.0,202.0,239.0,164.0,16.0,514.0,11.0,21.0,12.0,0.0,385.0,1720.0,1086.0,38.0,14.0,6.0,7.0,12.0,434.0,397.0,16.0,12.0,16.0,4.0,4.0,13.0,16.0,139.0,45.0,77.0,32.0,30.0,17.0,2.0,0.0,15.0,9.0,12.0,0.0
Adama Traoré,26.0,1995.0,MLI,FW,Sheriff,6.0,6.0,529.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,5.0,17.8,0.0,1171.0,189.0,49.0,60.0,20.0,33.0,6.0,10.0,2.0,0.0,2.0,0.0,0.0,9.0,6.0,1.0,2.0,0.0,0.0,0.0,22.0,13.0,19.0,193.0,13.0,49.0,94.0,71.0,19.0,185.0,10.0,21.0,11.0,0.0,115.0,734.0,427.0,19.0,11.0,3.0,21.0,12.0,194.0,130.0,19.0,6.0,2.0,5.0,0.0,4.0,7.0,99.0,24.0,23.0,48.0,28.0,11.0,3.0,0.0,8.0,4.0,7.0,0.0
Adel Taarabt,32.0,1989.0,MAR,MF,Benfica,9.0,4.0,345.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2116.0,517.0,58.0,70.0,53.0,64.0,11.0,14.0,2.0,9.0,1.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,36.0,2.0,1.0,181.0,6.0,45.0,111.0,36.0,2.0,175.0,6.0,11.0,7.0,0.0,141.0,749.0,325.0,13.0,1.0,1.0,3.0,8.0,128.0,117.0,7.0,3.0,1.0,2.0,0.0,1.0,7.0,42.0,19.0,16.0,23.0,3.0,2.0,0.0,0.0,2.0,6.0,1.0,0.0
Adi Nalic,23.0,1997.0,BIH,MF,Malmö,5.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,90.0,22.0,24.0,10.0,11.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,7.0,2.0,4.0,64.0,1.0,17.0,32.0,18.0,2.0,64.0,1.0,3.0,2.0,1.0,47.0,252.0,107.0,5.0,1.0,0.0,2.0,7.0,60.0,45.0,7.0,6.0,3.0,3.0,0.0,2.0,3.0,27.0,9.0,11.0,11.0,5.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0
Adrien Rabiot,26.0,1995.0,FRA,MF,Juventus,7.0,6.0,536.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,2.0,24.0,0.0,4472.0,1014.0,108.0,121.0,104.0,114.0,30.0,38.0,0.0,19.0,4.0,0.0,0.0,11.0,7.0,0.0,3.0,0.0,0.0,0.0,52.0,12.0,8.0,358.0,15.0,80.0,205.0,96.0,11.0,352.0,3.0,6.0,5.0,0.0,246.0,1591.0,816.0,42.0,12.0,3.0,7.0,10.0,267.0,238.0,16.0,14.0,13.0,5.0,2.0,3.0,5.0,141.0,52.0,59.0,52.0,30.0,13.0,2.0,0.0,11.0,12.0,6.0,0.0
Alan Patrick,30.0,1991.0,BRA,MF,Shakhtar,4.0,3.0,266.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,21.9,0.0,2045.0,498.0,62.0,71.0,43.0,49.0,14.0,19.0,6.0,10.0,5.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,5.0,175.0,4.0,22.0,100.0,67.0,4.0,170.0,6.0,6.0,6.0,2.0,129.0,624.0,345.0,15.0,5.0,1.0,4.0,9.0,162.0,141.0,14.0,2.0,1.0,1.0,1.0,0.0,2.0,47.0,17.0,6.0,23.0,18.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0
Alberto Moreno,29.0,1992.0,ESP,MF,Villarreal,7.0,3.0,311.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,10.5,0.0,2170.0,494.0,59.0,64.0,52.0,63.0,12.0,20.0,6.0,8.0,4.0,1.0,0.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,19.0,2.0,8.0,187.0,6.0,40.0,73.0,90.0,9.0,177.0,3.0,7.0,3.0,1.0,134.0,592.0,361.0,21.0,9.0,0.0,5.0,4.0,164.0,142.0,21.0,0.0,1.0,0.0,0.0,1.0,3.0,53.0,12.0,19.0,20.0,14.0,1.0,0.0,0.0,1.0,8.0,1.0,0.0
